Index,Source,P/C,,,,Count
1,(AP Photo/Eric Gay),Professional - ap,,,,2
2,(AP Photo/Carolyn Kaster),Professional - ap,,,,2
3,(AP Photo/Elise Amendola),Professional - ap,,,,1
4,(AP Photo/File),Professional - file,,,,1
5,(Geoff Grammer/Albuquerque Journal),Professional - journal,,,,2
6,"(AP Photo/Eric Christian Smith, File)",Professional - file,,,,1
7,(Angela Kocherga/Albuquerque Journal),Professional - journal,,,,3
8,(Clara Garcia/News-Bulletin),                              ,,,,2
9,No Image,                              ,,,,108
10,(Morgan Petroski/Albuquerque Journal),Professional - journal,,,,1
11,"(AP Photo/John Bazemore, File)",Professional - file,,,,2
12,(Courtesy of Dale Dunn),                              ,,,,2
13,No Credit,                              ,,,,96
14,(Jim Thompson/Albuquerque Journal),Professional - journal,,,,14
15,"(AP Photo/Evan Vucci, File)",Professional - file,,,,2
16,(Don Ryan/Associated Press),Professional - associated press,,,,1
17,"(AP Photo/Jae C. Hong, File)",Professional - file,,,,1
18,"(AP Photo/Rick Scuteri, File)",Professional - file,,,,1
19,(AP Photo/Tom R. Smedes),Professional - ap,,,,1
20,(Albuquerque Journal photos),Professional - journal,,,,2
21,(AP Photo/Steve Helber),Professional - ap,,,,5
22,(AP Photo/J. Scott Applewhite),Professional - ap,,,,3
23,"(AP Photo/Michael Dwyer, File)",Professional - file,,,,1
24,"(Roberto E. Rosales\/Albuquerque Journal)""",Professional - journal,,,,3
25,(Eddie Moore/Albuquerque Journal),Professional - journal,,,,24
26,(Source: U.S. Border Patrol),                              ,,,,1
27,"(AP Photo/Felicia Fonseca, File)",Professional - file,,,,1
28,(Courtesy Virgin Galactic/MarsScientific.com and Trumbull Studios),Professional - co.,,,,1
29,(Jim Thompson / Albuquerque Journal),Professional - journal,,,,1
30,(Roberto E. Rosales/Journal),Professional - journal,,,,5
31,(BCSO),Professional - bcso,,,,1
32,(MDC),                              ,,,,2
33,(Courtesy APD),Professional - apd,,,,1
34,(Source: Santa Fe Fire Department),Professional - department,,,,1
35,"(AP Photo/Andrew Harnik, File)",Professional - file,,,,1
36,(Bob Brown/Richmond Times-Dispatch via AP),Professional - ap,,,,1
37,(Todd Bailey/The Hobbs Daily News-Sun via AP),Professional - ap,,,,1
38,(AP Photo/Jose Luis Magana),Professional - ap,,,,1
39,(Courtesy of city Of Albuquerque),Professional - city,,,,1
40,(Adolphe Pierre-Louis/Albuquerque Journal),Professional - journal,,,,9
41,(Greg Sorber/Albuquerque Journal),Professional - journal,,,,10
42,(AP Photo/Silvia Izquierdo),Professional - ap,,,,1
43,(AP Photo/Armando Franca),Professional - ap,,,,1
44,(Greg Sorber/Journal file),Professional - file,,,,1
45,(Courtesy of Trish Binkley via AP),Professional - ap,,,,1
46,"(Bob Brown/Richmond Times-Dispatch via AP, File)",Professional - file,,,,1
47,(AP Photo/Andrew Harnik),Professional - ap,,,,2
