Index,Source,P/C,,,,Count
1,Photo by Metropolitan Emergency Medical Services,Professional - service,,,,1
2,No Credit,                              ,,,,97
3,Photo by John Sykes Jr.,                              ,,,,6
4,No Image,                              ,,,,79
5,Photo by Staton Breidenthal,Professional - file,,,,19
6,"(left), associate director of land resources with the Arkansas Department of Environmental Quality, leads Arkansas’ U.S. Sen. Tom Cotton and others on a tour Friday at the stump dump fi re site in Bella Vista.  - 
                        Photo by Ben Goff",Professional - department,,,,1
7,"Photo by Allen Sharpe, Spurs and Feathers",                              ,,,,1
8,Photo by Thomas Metthe,Professional - college,,,,11
9,"/Danny Johnston, File)",Professional - file,,,,3
10,Photo by Stephen B. Thornton,                              ,,,,1
11,/Bill Feig),                              ,,,,3
12,/JOHN SYKES JR.),                              ,,,,1
13,Photo by Pulaski County sheriff's office,Professional - county,,,,2
14,"/19-- Crime scene tape remains at a home in the 7300 block of Fairways Drive after Little Rock Police responded around 12:30 a.m. after a 911 call reporting an armed, masked intruder inside the residence. Officers found a 34-year-old man fatally shot inside the home.",Professional - police,,,,1
15,"/CHARLIE KAIJO A flock of Geese forage, Thursday, June 7, 2018 at Lake Bentonville north of the Bentonville Airport in Bentonville.",                              ,,,,1
16,Photo by Gavin Lesnick,                              ,,,,1
17,Photo by Jeff Mitchell,                              ,,,,2
18,"(right) were inducted into the Sam M. Walton College of Business Arkansas Business Hall of Fame on Friday, Feb. 8, 2018, at the Statehouse Convention Center in Little Rock.
 - 
                        Photo by Thomas Metthe",Professional - college,,,,1
19,"(left) listens as Bill Schwyhart, partner in Pinnacle Investments, addresses an audience at the groundbreaking ceremony for the Walmart Neighborhood Market on Pinnacle Parkway in Rogers in this 2008 file photo.",Professional - file,,,,1
20,Photo by Arkansas State Parks,Professional - state,,,,1
21,Photo by Ben Goff,Professional - department,,,,2
22,"(right), a Benton County deputy public defender, at the Benton County Courthouse in Bentonville. Hardin, a former police chief and officer, pleaded guilty to raping Amy Harrison in 1997 at Tillery Elementary School in Rogers. Harrison was a teacher at the time.",Professional - school,,,,1
23,/MIKE JONES Grant Hardin walks through the Benton County Courthouse Thursday for a court appearance.,Professional - county,,,,1
24,"(left) is shown in this file photo with his father, former U.S. Sen. Tim Hutchinson.
 - 
                        Photo by Staton Breidenthal",Professional - file,,,,1
25,Photo by Democrat-Gazette file photo,Professional - file,,,,1
26,Photo by Mitchell PE Masilun,                              ,,,,2
27,/WARRICK PAGE),                              ,,,,1
28,Photo by Newton County sheriff's office,Professional - county,,,,1
29,(middle),Professional - university,,,,1
30,(Photo via Texarkana Gazette),Professional - gazette,,,,3
31,"Photo by Andy Shupe
                                  Barbara Robertson of Huntsville stands outside the Lower Whorton Church near Huntsville, the site where she attended school with black student Laverne Cook in the late 1940s. “We were close, I guess,” Robertson said. “We went to school every day, played together every day. We would eat out of her lunch bucket just like she would eat out of ours. We all brought food. Like a picnic. It was fun.”",Professional - school,,,,1
32,Photo by Andy Shupe,Professional - school,,,,2
