Index,Source,P/C,,,,Count
1,(Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network),Professional - news,,,,1
2,(Photo: AUSTIN HUMPHREYS/The Coloradoan),                              ,,,,1
3,(Photo: TOM TINGLE/The Republic via USA TODAY Network),Professional - the republic,,,,1
4,"(Photo: RHONA WISE, AFP/Getty Images)",Professional - getty,,,,1
5,(Photo: CAMILLE FINE/USA TODAY),Professional - usa today,,,,1
6,"(Photo: (AP Photos. Scott Applewhite, left, and Rich Schultz)",Professional - ap,,,,1
7,(Photo: Hali Tauxe/Tallahassee Democrat),                              ,,,,1
8,"(Photo: Shawn Thew, EPA-EFE)",                              ,,,,1
9,(Photo: Zach Pagano/NBC/NBCU Photo Bank via Getty Images),Professional - nbc,,,,1
10,(Photo: MICHAEL LAUGHLIN/ South Florida Sun-Sentinel via AP),Professional - ap,,,,1
11,"(Photo: Evan Gole, Evan Gole/STAPLES Center)",Professional - center,,,,1
12,Evan Gole/STAPLES Center,Professional - center,,,,1
13,"Evan Gole, Evan Gole/STAPLES Center",Professional - center,,,,8
14,(Photo: Federal court records),Professional - record,,,,1
15,(Photo: Courtesy of The Cleveland Daily Banner),                              ,,,,1
16,(Photo: Brett Kelman/The Tennessean),Professional - tennesse,,,,3
17,(Photo: File/Gannett Mississippi),Professional - file,,,,1
18,(Photo: Kelsey Kremer/The Register),Professional - register,,,,29
19,Joseph Cress/Iowa City Press-Citizen,Professional - city,,,,39
20,Kelsey Kremer/The Register,Professional - register,,,,150
21,(Photo: Zach Boyden-Holmes/The Register),Professional - register,,,,25
22,(Photo: Special to the Register),Professional - register,,,,101
23,"(Photo: Carolyn Kaster, AP)",Professional - ap,,,,1
24,No Image,                              ,,,,40
25,"VINCE BUCCI, AFP/Getty Images",Professional - getty,,,,1
26,"Jason Merritt, Getty Images",Professional - getty,,,,1
27,"Dan MacMedan, USA TODAY",Professional - usa today,,,,2
28,"Alberto E. Rodriguez, Getty Images for NARAS",Professional - getty,,,,1
29,"Dan MacMedan, Dan MacMedan-USA TODAY NETWORK",Professional - usa today,,,,1
30,"Dan MacMedan, Dan MacMedan/USA TODAY NETWORK",Professional - usa today,,,,1
31,"Chris Pizzello, AP",Professional - AP,,,,1
32,"Dan MacMedan, USAT",                              ,,,,2
33,(Photo: Jeffrey Becker/USA TODAY Sports),Professional - usa today,,,,2
34,(Photo: Mark Marturello),                              ,,,,1
35,(Photo: Provided photo/Special to the Register),Professional - register,,,,11
36,(Photo: Polk County Jail/Special to the Register),Professional - jail,,,,1
37,(Photo: Rodney White/The Register),Professional - register,,,,8
38,Lee Navin/For the Register,Professional - register,,,,19
39,"(Photo: TIMOTHY A. CLARY, AFP/Getty Images)",Professional - getty,,,,1
40,(Photo: AP),Professional - ap,,,,2
41,"2012 photo by Joe Klamar, AFP/Getty Images",Professional - getty,,,,1
42,"Ted S. Warren, AP",Professional - AP,,,,1
43,"Dia Dipasupil, Getty Images",Professional - getty,,,,1
44,"Jasper Colt, USA TODAY",Professional - usa today,,,,49
45,"Chip Somodevilla, Getty Images",Professional - getty,,,,1
46,"David Ryder, Getty Images",Professional - getty,,,,1
47,"Richard Drew, AP",Professional - AP,,,,1
48,Courtesy of TIME Magazine via newsmakers,Professional - magazine,,,,1
49,"(Photo: JASON ARMESTO, USA TODAY)",Professional - usa today,,,,2
50,"JASON ARMESTO, USA TODAY",Professional - usa today,,,,8
51,"(Photo: Trevor Ruszkowski, Trevor Ruszkowski-USA TODAY Sports)",Professional - usa today,,,,1
52,"Trevor Ruszkowski, Trevor Ruszkowski-USA TODAY Sports",Professional - usa today,,,,9
53,(Photo: Press-Citizen file photo),Professional - file,,,,2
54,(Photo: Michael Zamora/The Register),Professional - register,,,,6
55,"(Photo: Teresa Lo, USA TODAY)",Professional - usa today,,,,1
56,(Photo: Joseph Cress/Iowa City Press-Citizen),Professional - city,,,,6
57,Jeffrey Becker/USA TODAY Sports,Professional - usa today,,,,6
58,Matthew Putney/AP,Professional - AP,,,,4
59,Bryon Houlgrave/The Register,Professional - register,,,,13
60,Register file photo,Professional - file,,,,67
61,"(Photo: Bryon Houlgrave, The Register)",Professional - register,,,,21
62,(Photo: City of Des Moines),Professional - city,,,,1
63,(Photo: Robert White/AP),Professional - ap,,,,1
64,Zach Boyden-Holmes/The Register,Professional - register,,,,128
65,Brian Taylor Carlson/The Register,Professional - register,,,,5
66,Zach Boyden-Holmes/Juice,                              ,,,,1
67,"Cj Gunther, EPA-EFE",                              ,,,,4
68,"Scott Olson, Getty Images",Professional - getty,,,,3
69,"Brian Powers, The Register via USA TODAY Network",Professional - register,,,,3
