Index,Source,P/C,,,,Count
1,"""Alan Diaz, AP"",",Professional - ap,,,,1
2,"""AP"",",Professional - ap,,,,25
3,"""Steve Griffin, Deseret News"",",Professional - news,,,,128
4,"""Matt Sayles"",",Professional - associated press,,,,5
5,"""Paul R. Giunta"",",                              ,,,,1
6,"""Jordan Strauss"",",                              ,,,,3
7,"""Danny Moloshok"",",                              ,,,,1
8,"""Evan Agostini"",",Professional - associated press,,,,1
9,"""Courtesy Talon hatch"",",                              ,,,,1
10,"""Courtesy Talon Hatch"",",                              ,,,,7
11,"""Ravell Call"",",                              ,,,,4
12,"""Ravell Call, Deseret News"",",Professional - news,,,,27
13,"""YouTube screenshot"",",Citizen - youtube,,,,1
14,"""KOEI TECMO GAMES \/ Team NINJA, Nintendo"",",Professional - nintendo,,,,1
15,"""Film Frame, Marvel Studios"",",Professional - film,,,,1
16,"""Provided by Warner Bros. Pictures"",",Professional - warner bros,,,,5
17,"""Scott G Winterton, Deseret News"",",Professional - news,,,,120
18,"""Carolyn Kaster"",",Professional - associated press,,,,1
19,"""Evan Vucci"",",Professional - associated press,,,,12
20,"""J. Scott Applewhite"",",Professional - apple,,,,3
21,"""Jim Mone"",",Professional - associated press,,,,3
22,"""Glen Stubbe"",",Professional - tribune,,,,2
23,"""Anthony Souffle"",",Professional - tribune,,,,2
24,"""West Valley City Police Department"",",Professional - city,,,,1
25,"""Courtesy of Warner Bros. Pictures"",",Professional - warner bros,,,,1
26,"""Jess Miglio"",",                              ,,,,1
27,"""Szilard Koszticsak"",",                              ,,,,3
28,"""Adobe Stock"",",Professional - adobe,,,,30
29,"""J. Scott Applewhite, AP"",",Professional - ap,,,,2
30,"""Jacquelyn Martin, Associated Press"",",Professional - associated press,,,,1
31,No Credit,                              ,,,,24
32,"""Eric Risberg"",",                              ,,,,8
33,"""Elaine Thompson"",",                              ,,,,3
34,"""Spenser Heaps, Deseret News"",",Professional - news,,,,51
35,"""Rabbi Avremi Zippel"",",                              ,,,,3
36,"""Marcio Jose Sanchez"",",Professional - associated press,,,,2
37,"""Silas Walker, Deseret News"",",Professional - news,,,,90
38,"""Joe Cavaretta, South Florida Sun-Sentinel"",",Professional - south florida sun-sentinel,,,,1
