Index,Source,P/C,,,,Count
1,"""The Associated Press"",",Professional - associated press,,,,107
2,"[Tyler Schank/Dispatch]"",",Professional - dispatch,,,,19
3,"(Meghan Leigh Barnard)"",",                              ,,,,1
4,"[Joshua A. Bickel/Dispatch]"",",Professional - dispatch,,,,40
5,No Credit,                              ,,,,122
6,"""Evan Agostini/Invision/AP"",",Professional - ap,,,,2
7,"""Drew Gurian/Invision/AP"",",Professional - ap,,,,1
8,"""Jordan Strauss/Invision/AP"",",Professional - ap,,,,1
9,"[Fred Squillante/Dispatch photos]"",",Professional - dispatch,,,,1
10,"[Fred Squillante/Dispatch]"",",Professional - dispatch,,,,23
11,"""Fred Squillante"",",                              ,,,,7
12,"[Dispatch file photo]"",",Professional - file,,,,15
13,"[Dispatch file]"",",Professional - file,,,,2
14,"""Photo by Kyle Robertson"",",                              ,,,,4
15,"[Jonathan Quilter/Dispatch]"",
						""rowend"": ""6"",
						""tableend"": ""52"",",Professional - dispatch,,,,1
16,"""Tom Dodge/Columbus Dispatch"",",Professional - dispatch,,,,2
17,"[Adam Cairns/Dispatch file photo]"",",Professional - file,,,,1
18,No Image,                              ,,,,70
19,"[File photo]"",",Professional - file,,,,33
20,"[Deb Cram/Foster's Daily Democrat]"",",                              ,,,,1
21,"[J.Scott Applewhite/The Associated Press]"",",Professional - associated press,,,,1
22,"[Palm Beach County Jail]"",",Professional - jail,,,,1
23,"[National Center for Missing and Exploited Children]"",",Professional - center,,,,1
24,"[John Locher/The Associated Press]"",",Professional - associated press,,,,1
25,"[Adam Cairns/Dispatch]"",",Professional - dispatch,,,,26
26,"[Elise Amendola/The Associated Press]"",",Professional - associated press,,,,1
27,"[Steve Helber/The Associated Press]"",",Professional - associated press,,,,2
28,"[Collier County (Fla.) Sheriff's Office]"",",Professional - county,,,,1
29,"(AP Photo/John Locher)"",",Professional - ap,,,,1
30,"[Family photo]"",",Citizen - family,,,,5
31,"[Courtesy of Christine Allison]"",",                              ,,,,1
32,"[CAPITOL SQUARE REVIEW AND ADVISORY BOARD]"",",                              ,,,,1
33,"(Photo provided by the Ohio State Highway Patrol)"",",Professional - state,,,,1
34,"(File photo)"",",Professional - file,,,,3
35,"[Dominic Valente/The New York Times]"",",Professional - times,,,,1
36,"[Michael Conroy/The Associated Press]"",",Professional - associated press,,,,1
37,"(AP Photo/John Minchillo, File)"",",Professional - file,,,,1
38,"(AP Photo/Nati Harnik, File)"",",Professional - file,,,,1
39,"[Keith Srakocic/The Associated Press]"",",Professional - associated press,,,,1
40,"(AP Photo/Keith Srakocic)"",",Professional - ap,,,,4
41,"(AP Photo/Ted S. Warren)"",",Professional - ap,,,,1
42,"[Tyler Schank]"",",                              ,,,,11
43,"[Adam Cairns]"",",                              ,,,,5
44,"""AP"",",Professional - ap,,,,19
45,"""BRUCE R. BENNETT/palmbeachpost.com"",",Professional - co.,,,,1
46,"""The Washington Post"",",Professional - washington post,,,,1
47,"""(Geoff Forester/The Concord Monitor via AP)"",",Professional - ap,,,,1
48,"(Dispatch photo by Eric Albrecht)"",",Professional - dispatch,,,,3
49,"[John Hulkenberg/ThisWeek Newspapers]"",",Professional - thisweek,,,,1
50,"[Eric Albrecht/Dispatch]"",",Professional - dispatch,,,,44
51,"[morguefile.com/license]"",",Professional - co.,,,,1
52,"[Courtney Hergesheimer/Dispatch]"",",Professional - dispatch,,,,1
53,"[Joshua A. Bickel]"",",                              ,,,,4
54,"[Franklin County sheriff's office]"",",Professional - county,,,,1
55,"[Kyle Robertson/Dispatch]"",",Professional - dispatch,,,,15
56,"""Joel Keeler via AP"",",Professional - ap,,,,1
57,"""Handout Photo"",",Citizen - handout,,,,1
58,"(AP Photo/Charles Rex Arbogast, File)"",",Professional - file,,,,3
59,"[Matt Anzur/ Scripps News]"",",Professional - news,,,,1
60,"""Photo by Tyler Schank"",",                              ,,,,10
61,"[Megan Henry/Dispatch]"",",Professional - dispatch,,,,2
62,"[Kyle Robertson]"",",                              ,,,,3
63,"""Portsmouth Herald/seacoastonline.com via AP"",",Professional - co.,,,,1
64,"""The New York Times via AP, Pool"",",Professional - ap,,,,1
65,"(AP Photo/Paul Sancya)"",",Professional - ap,,,,1
66,"(Photo courtesy of Columbus Division of Police Facebook account)"",",Professional - police,,,,1
67,"(Photo supplied by David Stein)."",",                              ,,,,1
68,"""Dispatch file photo"",",Professional - file,,,,1
69,"""COLUMBUS DISPATCH"",",Professional - dispatch,,,,1
70,"(1991)"",",                              ,,,,1
71,"(1988)"",",                              ,,,,1
72,"(Dispatch file photo)"",",Professional - file,,,,7
73,"[Publishers Clearing House]"",",                              ,,,,1
74,"[Sergey Zelinski/Russian Academy of Sciences ]"",",Professional - academy,,,,1
75,"[Katerina Douka via the New York Times]"",",Professional - times,,,,1
76,"[Tom Higham/University of Oxford]"",",Professional - university,,,,1
77,"[COURTESY BOBBY FLOYD]"",",                              ,,,,1
78,"[Emma Howells / Dispatch]"",",Professional - dispatch,,,,1
79,"(AP Photo/Rick Scuteri)"",",Professional - ap,,,,1
80,"[Undated family photo]"",",Citizen - family,,,,2
81,"[Rick Scuteri/The Associated Press]"",",Professional - associated press,,,,1
82,"[Google]"",",Professional - google,,,,2
83,"[Andy Morrison/The Blade]"",",Professional - blade,,,,1
84,"[Handout Photo/Franklin County Sheriff's Office]"",",Professional - county,,,,2
85,"""Bob Brown/Richmond Times-Dispatch via AP"",",Professional - ap,,,,1
86,"""File photo"",",Professional - file,,,,1
87,"(AP Photo/Tony Dejak)"",",Professional - ap,,,,4
88,"[Photo Courtesy of Art Van]"",",                              ,,,,3
89,"""Joshua A. Bickel/Columbus Dispatch"",",Professional - dispatch,,,,1
90,"[BRENT N. CLARKE/INVISION]"",",Professional - invision,,,,1
91,"(Brooke LaValley/Dispatch)"",",Professional - dispatch,,,,1
92,"[PIXABAY.COM]"",",Professional - co.,,,,1
93,"[Dean Narciso/Dispatch]"",",Professional - dispatch,,,,6
94,"[Doral Chenoweth III/ Dispatch]"",",Professional - dispatch,,,,1
95,"[Brooke LaValley]"",",                              ,,,,1
96,"""Fred Squillante/Columbus Dispatch"",",Professional - dispatch,,,,1
97,"[Dispatch.com]"",",Professional - co.,,,,1
98,"""MGN Online"",",Professional - mgn online,,,,2
99,"[AP Photo]"",",Professional - ap,,,,1
100,"[Mike Cardew/Akron Beacon Journal]"",",Professional - akron beacon journal,,,,2
101,"(Credit Cardinal Health)"",",                              ,,,,1
102,"[JODI MILLER/ALIVE]"",",Professional - alive,,,,2
103,"[Doral Chenoweth III/Dispatch]"",",Professional - dispatch,,,,15
104,"[COURTESY OF JOJO HUMMEL]"",",                              ,,,,1
105,"[Andrew Harnik/The Associated Press]"",",Professional - associated press,,,,1
106,"(AP Photo/David Zalubowski)"",",Professional - ap,,,,2
107,"(AP Photo/John Minchillo)"",",Professional - ap,,,,2
108,"[Marc Kovac/Dispatch]"",",Professional - dispatch,,,,1
109,"[family photo]"",",Citizen - family,,,,2
110,"(Dreamstime/TNS)"",",Professional - tns,,,,2
111,"[Dispatch file photos]"",",Professional - file,,,,1
112,"[Ohio House photo]"",",                              ,,,,1
113,"[Graduate Hotels]"",",Professional - hotel,,,,1
114,"(Credit: Graduate Hotels)"",",Professional - hotel,,,,1
115,"""Richmond Times-Dispatch via AP, File"",",Professional - file,,,,1
116,"""Nogales International via AP"",",Professional - ap,,,,1
117,"""File photo by Joshua A. Bickel/The Columbus Dispatch"",",Professional - file,,,,1
118,"""DHA via AP"",",Professional - ap,,,,1
119,"[Courtesy of Graeter's]"",",                              ,,,,2
120,"[Brooke LaValley/Dispatch]"",",Professional - dispatch,,,,7
121,"(AP Photo/Jonathan Elderfield)"",",Professional - ap,,,,1
122,"(Courtney Hergesheimer/ Dispatch)"",",Professional - dispatch,,,,1
123,"(Columbus Dispatch photo by Tom Dodge)"",",Professional - dispatch,,,,2
124,"[Rick Danzl/The Associated Press]"",",Professional - associated press,,,,1
125,"Photo credit: Joan Marcus"",",                              ,,,,1
126,"[COURTESY CHRISTY BERTOLO]"",",                              ,,,,1
127,"(Courtesy of the Bertolo family)"",",Citizen - family,,,,1
128,"[Dean Narciso /Dispatch]"",",Professional - dispatch,,,,2
129,"[House photo]"",",                              ,,,,1
130,"(Columbus Dispatch photo by Jonathan Quilter)"",",Professional - dispatch,,,,1
131,"[David Zalubowski/Tje Associated Press]"",",Professional - associated press,,,,1
132,"[Jessica J. Trevino/Detroit Free Press]"",",Professional - detroit free press,,,,1
133,"[Mike Schenk/Wooster Daily Record]"",",Professional - record,,,,1
