Index,Source,P/C,,,,Count
1,"(Photo: Michael Wyke, AP)",Professional - ap,,,,1
2,"(Photo: David Zalubowski, AP)",Professional - ap,,,,1
3,Kelly Ragan/kragan@coloradoan.com,Professional - co.,,,,9
4,"(Photo: Ron Chenoy, USA TODAY Sports)",Professional - usa today,,,,1
5,"Matthew Emmons, USA TODAY Sports",Professional - usa today,,,,39
6,"Brett Davis, USA TODAY Sports",Professional - usa today,,,,7
7,"Jasen Vinlove, USA TODAY Sports",Professional - usa today,,,,3
8,"Jennifer Buchanan, USA TODAY Sports",Professional - usa today,,,,2
9,"Aaron Doster, USA TODAY Sports",Professional - usa today,,,,2
10,"Denny Medley, USA TODAY Sports",Professional - usa today,,,,3
11,"Jason Getz, USA TODAY Sports",Professional - usa today,,,,10
12,(Photo: Albert Cesare/The Enquirer),Professional - enquirer,,,,2
13,(Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network),Professional - news,,,,1
14,(Photo: AUSTIN HUMPHREYS/The Coloradoan),                              ,,,,1
15,(Photo: TOM TINGLE/The Republic via USA TODAY Network),Professional - the republic,,,,1
16,"(Photo: RHONA WISE, AFP/Getty Images)",Professional - getty,,,,1
17,(Photo: CAMILLE FINE/USA TODAY),Professional - usa today,,,,1
18,"(Photo: (AP Photos. Scott Applewhite, left, and Rich Schultz)",Professional - ap,,,,1
19,(Photo: Hali Tauxe/Tallahassee Democrat),                              ,,,,1
20,"(Photo: Shawn Thew, EPA-EFE)",                              ,,,,2
21,(Photo: Zach Pagano/NBC/NBCU Photo Bank via Getty Images),Professional - nbc,,,,1
22,(Photo: MICHAEL LAUGHLIN/ South Florida Sun-Sentinel via AP),Professional - ap,,,,1
23,"Jim Mone, AP",Professional - AP,,,,6
24,"Craig Lassig, EPA-EFE",                              ,,,,1
25,"Glen Stubbe, Star Tribune via AP",Professional - AP,,,,2
26,"Anthony Souffle, Star Tribune via AP",Professional - AP,,,,1
27,"(Photo: Gary A. Vasquez, USA TODAY Sports)",Professional - usa today,,,,1
28,"Lynne Sladky, AP",Professional - AP,,,,2
29,"Kim Klement, USA TODAY Sports",Professional - usa today,,,,1
30,"Brad Mills, USA TODAY Sports",Professional - usa today,,,,2
31,"Geoff Burke, USA TODAY Sports",Professional - usa today,,,,5
32,(Photo: hattiesburgmemory / Flickr),Citizen - flickr,,,,1
33,"(Photo: Darron Cummings, AP)",Professional - ap,,,,1
34,Bobby Goddin/For IndyStar,Professional - indystar,,,,9
35,(Photo: Jeanne Houck/The Enquirer),Professional - enquirer,,,,3
36,(Photo: Kareem Elgazzar),Professional - enquirer,,,,20
37,James Weber/The Enquirer,Professional - enquirer,,,,17
38,"(Photo: Ron Chenoy-US PRESSWIRE, US PRESSWIRE)",Professional - press,,,,1
39,(Photo: Albert Cesare / The Enquirer),Professional - enquirer,,,,14
40,Albert Cesare / The Enquirer,Professional - enquirer,,,,61
41,Albert Cesare,Professional - enquirer,,,,5
42,(Photo: The Enquirer/Meg Vogel),Professional - enquirer,,,,15
43,(Photo: Enquirer File Photo),Professional - file,,,,1
44,(Photo: File Photo),Professional - file,,,,1
45,(Photo: Shane Roper-USA TODAY Sports),Professional - usa today,,,,2
46,(Photo: Rudy Gutierrez/El Paso Times file),Professional - file,,,,1
47,(Photo: JASPER COLT/USA TODAY),Professional - usa today,,,,1
48,"(Photo: Rick Jervis, USA TODAY)",Professional - usa today,,,,1
49,"(Photo: Jamie McCarthy, Getty Images)",Professional - getty,,,,2
50,(Photo: John Hodge),                              ,,,,1
51,(Photo: Cindy Carris),                              ,,,,1
52,"Shawn Rocco, The News & Observer",Professional - news,,,,1
53,"Gerry Broome, AP",Professional - AP,,,,1
54,"Mark Zerof, US Presswire",Professional - press,,,,4
55,"Brian Spurlock, US Presswire",Professional - press,,,,1
56,"Kim Klement, US Presswire",Professional - press,,,,1
57,"Andy Lyons, Getty Images",Professional - getty,,,,1
58,"Mark Humphrey, AP",Professional - AP,,,,4
59,"Derick E. Hingle, US Presswire",Professional - press,,,,1
60,"Jason DeCrow, AP",Professional - AP,,,,1
61,"Laura Rauch, AP",Professional - AP,,,,1
62,"(Photo: Rob Kinnan, USA TODAY Sports)",Professional - usa today,,,,1
63,"Grant Halverson, Getty Images",Professional - getty,,,,1
64,"Rob Kinnan, USA TODAY Sports",Professional - usa today,,,,6
65,"Adam Hunger, AP",Professional - AP,,,,1
66,(Photo: Sam Greene),Professional - enquirer,,,,7
67,"(Photo: BRENDAN SMIALOWSKI, AFP/Getty Images)",Professional - getty,,,,1
68,No Image,                              ,,,,36
69,"(Photo: Drew Angerer, Getty Images)",Professional - getty,,,,2
70,Steve Helber/AP,Professional - AP,,,,6
71,Cliff Owen/AP,Professional - AP,,,,1
72,"Laura Vozzella,The Washington P, Laura Vozzella, The Washington P",                              ,,,,1
73,"BOB BROWN, AP",Professional - AP,,,,1
74,(Photo: Joel Ryan/AP),Professional - ap,,,,1
75,(Photo: DANNY MOLOSHOK/INVISION/AP),Professional - ap,,,,1
76,"(Photo: Taylor Jewell, Invision/AP)",Professional - ap,,,,1
77,(Photo: Courtesy of Sundance Insitute),                              ,,,,1
78,(Photo: MICHAEL A. MARIANT/AP),Professional - ap,,,,1
79,(Photo: Carolyn Kaster/ AP),Professional - ap,,,,1
80,"GEORGE FREY, EPA-EFE",                              ,,,,1
81,"Matt Winkelmeyer, Getty Images",Professional - getty,,,,1
82,"Alberto E. Rodriguez, Getty Images for Netflix",Professional - netflix,,,,1
83,"Alberto E. Rodriguez, Getty Images",Professional - getty,,,,1
84,TripAdvisor,Professional - tripadvisor,,,,10
85,"(Photo: TIMOTHY A. CLARY, AFP/Getty Images)",Professional - getty,,,,1
86,(Photo: AP),Professional - ap,,,,3
87,"2012 photo by Joe Klamar, AFP/Getty Images",Professional - getty,,,,1
88,"Ted S. Warren, AP",Professional - AP,,,,1
89,"Dia Dipasupil, Getty Images",Professional - getty,,,,1
90,"Jasper Colt, USA TODAY",Professional - usa today,,,,20
91,"Chip Somodevilla, Getty Images",Professional - getty,,,,1
92,"David Ryder, Getty Images",Professional - getty,,,,1
93,"Richard Drew, AP",Professional - AP,,,,1
94,Courtesy of TIME Magazine via newsmakers,Professional - magazine,,,,1
95,(Photo: Provided),Professional - state,,,,48
96,(Photo: Enquirer file),Professional - file,,,,11
97,(Photo: The Associated Press),Professional - associated press,,,,4
98,(Photo: Provided/Everything But The House),                              ,,,,1
99,(Photo: Sam Greene/The Enquirer),Professional - enquirer,,,,6
100,(Photo: File art),Professional - file,,,,1
101,(Photo: Courtesy U.S. Immigration and Customs Enforcement),                              ,,,,1
102,(Photo: Cara Owsley/The Enquirer),Professional - enquirer,,,,10
103,(Photo: Enquirer/Polly Campbell),Professional - enquirer,,,,1
104,Provided,Professional - police,,,,11
105,(Photo: Clermont County Sheriff),Professional - county,,,,6
106,(Photo: Phil Didion),Professional - enquirer,,,,6
107,(Photo: Andrew Sietsema),                              ,,,,1
108,Andrew Sietsema,Citizen - facebook,,,,3
109,(Photo: Kareem Elgazzar/The Enquirer),Professional - enquirer,,,,3
110,"(Photo: Kareem Elgazzar, )",                              ,,,,3
111,"(Photo: Jasen Vinlove, Jasen Vinlove-USA TODAY Sports)",Professional - usa today,,,,1
112,(Photo: The Enquirer/Cameron Knight),Professional - enquirer,,,,4
113,The Enquirer/Cameron Knight,Professional - enquirer,,,,6
114,Enquirer archive,Professional - enquirer,,,,1
115,(Photo: Associated Press),Professional - associated press,,,,2
116,(Photo: Justin Ford-USA TODAY Sports),Professional - usa today,,,,1
117,(Photo: Frank Hoensch/Redferns via Getty Images),Professional - getty,,,,1
118,"Alastair Grant, AP",Professional - AP,,,,1
119,"Bryan Bedder, Getty Images for Audible",Professional - getty,,,,1
120,"Francois Mori, AP",Professional - AP,,,,1
121,"Julien M. Hekimian, Getty Images for Chanel",Professional - getty,,,,4
122,"Joe Maher, WireImage",Professional - wireimage,,,,1
123,"Mike Coppola, Getty Images for TNT",Professional - tnt,,,,1
124,(Photo: Chuck Gibson/Provided),                              ,,,,2
125,(Photo: Mattel.),                              ,,,,1
126,(Photo: David Ryder / Getty Images),Professional - getty,,,,1
