Index,Source,P/C,,,,Count
1,No Image,                              ,,,,170
2,No Credit,                              ,,,,57
3,(AP Photo/Stacy Bengs),Professional - ap,,,,3
4,(Associated Press: Jim Mone),Professional - associated press,,,,1
5,(STEPHEN MATUREN / GETTY IMAGES),Professional - getty,,,,1
6,(Scott Takushi / Pioneer Press),Professional - pioneer press,,,,100
7,(AP Photo/Jim Mone),Professional - ap,,,,20
8,(AP Photo/Elise Amendola),Professional - ap,,,,1
9,"(Marion Curtis via AP, File)",Professional - file,,,,1
10,(AP Photo/Jacquelyn Martin),Professional - ap,,,,2
11,(AP Photo/POOL/Steve Helber),Professional - ap,,,,1
12,(AP Photo/Shinichiro Tanaka),Professional - ap,,,,2
13,(AP Photo/Alessandro Trovati),Professional - ap,,,,3
14,(AP Photo/Gabriele Facciotti),Professional - ap,,,,3
15,(AP Photo/Giovanni Auletta),Professional - ap,,,,12
16,(Jean-Christophe Bott/Keystone via AP),Professional - ap,,,,2
17,(Jean Pieri / Pioneer Press),Professional - pioneer press,,,,46
18,(AP Photo/Hannah Foslien),Professional - ap,,,,4
19,(Photo courtesy Smallz & Raskind/Bravo Media),Professional - bravo,,,,2
20,(John Autey / Pioneer Press),Professional - pioneer press,,,,12
21,"(Ride Hamilton, Tennessee Williams/New Orleans Literary Festival)",Professional - tennesse,,,,1
22,(Photo for The Washington Post by Doug Kapustin),Professional - washington post,,,,1
23,(Laundry Museum),Professional - museum,,,,1
24,(Photo for The Washington Post by Sylvie Bigar),Professional - washington post,,,,3
25,"(Jess Miglio, Paramount Pictures)",Professional - paramount pictures,,,,1
26,(Photo for the Washington Post by Deb Lindsey),Professional - washington post,,,,1
27,(Fancy Radish),                              ,,,,1
28,(Corry Arnold),                              ,,,,1
29,(Jennifer Chase),Professional - chase,,,,1
30,(Mark Selders / Penn State Athletics),Professional - state,,,,2
31,(AP Photo/Orlin Wagner),Professional - ap,,,,3
32,(AP Photo/Julio Cortez),Professional - ap,,,,2
33,(AP Photo/Al Goldis),Professional - ap,,,,1
34,(Courtesy of the Anoka County Jail),Professional - jail,,,,1
35,(Courtesy of David A. Sherman),                              ,,,,2
36,(Photo by David A. Sherman),                              ,,,,12
37,(Courtesy of Matt Broshat),                              ,,,,2
38,(Bob King / Forum News Service),Professional - news,,,,1
39,(Collier County Sheriff’s Department via AP),Professional - ap,,,,1
40,(Photo by Stacy Zarin Goldberg for the Washington Post),Professional - washington post,,,,1
41,(AP Photo/Bruce Kluckhohn),Professional - ap,,,,1
42,(Photo by Brian Blanco/Getty Images),Professional - getty,,,,1
43,(Warner Animation Group),Professional - group,,,,1
44,(Orion Pictures),                              ,,,,1
45,(Mara H. Gottfried / Pioneer Press),Professional - pioneer press,,,,2
46,(Courtesy of the Hennepin County Sheriff’s Office),Professional - county,,,,3
47,(AP Photo/Scott Threlkeld),Professional - ap,,,,1
48,(Jess Fleming / Pioneer Press),Professional - pioneer press,,,,9
49,(AP Photo/Jeffrey T. Barnes),Professional - ap,,,,22
50,(Andrew Harrer / Bloomberg),Professional - bloomberg,,,,1
51,(Ginger Pinson / Pioneer Press),Professional - pioneer press,,,,2
52,(John Shinkle/Politico),                              ,,,,1
53,(Olivier Douliery/Abaca Press/TNS),Professional - tns,,,,1
54,(Courtesy of the Dakota County sheriff’s office),Professional - county,,,,2
55,(Photo By Jamie Squire/Getty Images),Professional - getty,,,,1
56,(Courtesy photo via Forum News Service),Professional - news,,,,1
57,"(William Conran/PA via AP, FIle)",Professional - file,,,,1
58,"(AP Photo/Drew, File)",Professional - file,,,,1
59,(AP Photo/Andrew Harnik),Professional - ap,,,,9
60,(Photo courtesy Union Depot),                              ,,,,1
61,(Courtesy image),                              ,,,,1
62,(Courtesy of the Geisenkoetter family),Citizen - family,,,,1
63,(Photo by Xavier Tavera),                              ,,,,1
64,(Courtesy of Washington County sheriff’s office),Professional - county,,,,1
65,(Courtesy of ShortsTV),                              ,,,,4
66,(Dave Orrick / Pioneer Press),Professional - pioneer press,,,,5
67,(@babythunderbook),                              ,,,,1
68,(Courtesy of Jennifer Victor-Larsen and Katy Korby),                              ,,,,1
69,(Christopher Magan / Pioneer Press),Professional - pioneer press,,,,6
70,(Eric Miller/ University of Minnesota Athletics),Professional - university,,,,1
71,(Tom McCorkle / For the Washington Post),Professional - washington post,,,,1
72,(Focus Features),Professional - netflix,,,,1
73,(Courtesy of the Hinterland Music Festival),                              ,,,,1
74,(Jevon Clark/The Animal Clinic of Kalispell via AP),Professional - ap,,,,1
75,(AP Photo),Professional - ap,,,,1
76,(Courtesy of Ordway Center for the Performing Arts),Professional - center,,,,1
77,(Paradox Films/StudioCanal/IMDb/TNS),Professional - tns,,,,1
78,"(AP Photo/Richard Drew, File)",Professional - file,,,,2
79,"(AP Photo/Gabriele Facciotti, File )",Professional - file,,,,1
80,(AP Photo/Cliff Owen),Professional - ap,,,,1
81,(AP Photo/Phelan M. Ebenhack),Professional - ap,,,,7
82,(Rendering courtesy of Dakota County),Professional - county,,,,1
83,(Pioneer Press: Scott Takushi),Professional - pioneer press,,,,6
84,(Courtesy of City of Rosemount),Professional - city,,,,2
85,(Courtesy of Como Friends),                              ,,,,2
86,(Como Park Zoo & Conservatory ),Professional - zoo,,,,2
87,(Courtesy of RCA Records),Professional - record,,,,1
88,(Courtesy of All Eyes Media),Professional - media,,,,1
89,(AP Photo/David Zalubowski),Professional - ap,,,,3
90,(Courtesy photo),Professional - county,,,,6
91,(Pioneer Press: John Doman),Professional - pioneer press,,,,1
92,"(Photo/ Brad Dokken, Grand Forks Herald)",Professional - herald,,,,1
93,(Nancy Ngo / Pioneer Press),Professional - pioneer press,,,,12
94,(Andy Rathbun / Pioneer Press),Professional - pioneer press,,,,7
95,(AP Photo/Andy Clayton-King),Professional - ap,,,,11
96,(AP Photo/File),Professional - file,,,,2
97,(Associated Press file photo),Professional - file,,,,2
98,"(AP Photo/David Breslauer, File)",Professional - file,,,,1
99,(AP Photo/Morry Gash),Professional - ap,,,,1
100,(AP Photo/Barry Sweet),Professional - ap,,,,1
101,(AP Photos/Ann Heisenfelt),Professional - ap,,,,1
102,(AP Photo/David Goldman),Professional - ap,,,,6
103,(AP Photo/Charlie Neibergall),Professional - ap,,,,1
104,(Dreamstime),Professional - dreamstime,,,,1
105,(Photo courtesy Minnesota Opera),                              ,,,,1
106,(Pioneer Press: Ben Garvin),Professional - pioneer press,,,,2
107,(Photo coutesy Guthrie Theater),                              ,,,,1
108,"(AP Photo/Stacy Bengs, File)",Professional - file,,,,1
109,(AP Photo/Steve Karnowski),Professional - ap,,,,3
110,(Deanna Weniger / Pioneer Press),Professional - pioneer press,,,,1
111,(Forum News Service),Professional - news,,,,2
112,(Courtesy of KSTP-TV),Professional - kstp-tv,,,,1
113,(hoto by Stacy Zarin Goldberg for the Washington Post),Professional - washington post,,,,1
114,(Pioneer Press: Sherri LaRose-Chiglo),Professional - pioneer press,,,,1
115,(Courtesy photos),                              ,,,,1
116,(Courtesy of Daniel Mick),                              ,,,,1
117,(Courtesy of St. Paul Grill),                              ,,,,1
118,(Pioneer Press: Jean Pieri),Professional - pioneer press,,,,1
119,(Pioneer Press: Nancy Ngo),Professional - pioneer press,,,,1
120,(Nancy Ngo / Pioneer Press).,Professional - pioneer press,,,,1
121,(National Park Service via AP),Professional - ap,,,,1
122,"(T’xer Zhon Kha/The Post-Crescent via AP, Pool)",Professional - ap,,,,1
123,(Ryan Faircloth / Pioneer Press),Professional - pioneer press,,,,1
124,(AP Photo/Nati Harnik),Professional - ap,,,,1
125,(Photo by Charles Gorrill),                              ,,,,1
126,(AP Photo/John Amis),Professional - ap,,,,1
127,(Courtesy of Derrel Todd / Paisley Park Studios),Professional - studio,,,,1
128,(AP Photo/J. Scott Applewhite),Professional - ap,,,,6
129,(AP Photo/Carolyn Kaster),Professional - ap,,,,4
130,"(Doug Mills/The New York Times via AP, Pool)",Professional - ap,,,,4
131,(AP Photo/Brandon Dill),Professional - ap,,,,10
132,(Twitter screen grab),Citizen - twitter,,,,1
133,(Courtesy of Colliers International),Professional - international,,,,1
134,(Win McNamee/Pool via AP),Professional - ap,,,,1
135,(Vatican Media via AP),Professional - ap,,,,1
136,(Photo courtesy of Minnesota Wild),                              ,,,,1
137,(Courtesy of RiverTown Multimedia),Professional - media,,,,1
138,(Photo by Evan Agostini/Invision/AP),Professional - ap,,,,1
139,(Live Nation),Professional - getty,,,,1
140,(Courtesy of David McClister/ATO Records),Professional - record,,,,1
141,(NASA),Professional - nasa,,,,1
142,(DOMINIQUE FAGET/AFP/Getty Images),Professional - getty,,,,1
143,(Courtesy of Team Dino Fight),                              ,,,,6
144,(Photo Courtesy Park Square Theatre),Professional - theatre,,,,1
145,(Photo courtesy Park Square),Professional - theatre,,,,1
146,(Photo by Kevin Winter/Getty Images for BET),Professional - getty,,,,1
147,(Courtesy of Kristi Belcamino),                              ,,,,5
148,(Courtesy of Kristi Belcamno),                              ,,,,1
149,(Courtesy of App in the Air),Professional - app in the air,,,,1
150,(Lynne) Lacey was the salutatorian of the Ashby High School class of 1947.,Professional - school,,,,1
151,(Photo courtesy Jeopardy Productions Inc.),Professional - inc.,,,,1
152,(Ryan Weaver/The Kansas City Star via AP),Professional - ap,,,,1
153,(AP Photo/Manuel Balce Ceneta),Professional - ap,,,,1
154,(Clint Austin / Forum News Service),Professional - news,,,,4
155,(Submitted photo),Citizen - submitted,,,,3
156,(Submitted photo0,Citizen - submitted,,,,1
157,(AP Photo/Paul Sancya),Professional - ap,,,,1
158,(Courtesy of Ramsey County),Professional - county,,,,1
159,(Don Pults / Hill-Murray School),Professional - school,,,,1
160,(Courtesy of Hudson Fire Department),Professional - department,,,,2
161,(ROBYN BECK/AFP/Getty Images),Professional - getty,,,,1
162,(cott Takushi / Pioneer Press),Professional - pioneer press,,,,1
163,(Curtis Compton/Atlanta Journal-Constitution/TNS),Professional - tns,,,,2
164,(AP Photo/Steve Helber),Professional - ap,,,,9
165,(Screen grab from YouTube),Citizen - youtube,,,,1
166,(AP Photo/Chuck Burton),Professional - ap,,,,1
167,(AP Photo/Gerald Herbert),Professional - ap,,,,1
168,(AP Photo/David J. Phillip),Professional - ap,,,,2
169,(Doug Benc/AP Images for Old Spice),Professional - ap,,,,1
170,(Stella Artois via AP),Professional - ap,,,,2
171,(AP Photo/Michael Conroy),Professional - ap,,,,2
172,(Washington Post photo by Katherine Frey),Professional - washington post,,,,1
173,"(AP Photo/Jeff Robbins, File)",Professional - file,,,,2
174,"(AP Photo/Tony Gutierrez, File)",Professional - file,,,,2
175,"(AP Photo/Bill Kostroun, File)",Professional - file,,,,2
176,(Chris Polydoroff / Pioneer Press),Professional - pioneer press,,,,2
177,(Courtesy of Washington County),Professional - county,,,,1
178,(AP Photo/Paul Battaglia),Professional - ap,,,,2
179,(AP Photo/Mark Humphrey),Professional - ap,,,,2
180,(Photo courtesy St. Paul Chamber Orchestra),                              ,,,,1
181,(Eastern Virginia Medical School via AP),Professional - ap,,,,2
