Index,Source,P/C,,,,Count
1,No Image,                              ,,,,106
2,"author"":""TAMIR KALIFA"",""credit"":""New York Times"",""",Professional - times,,,,1
3,"author"":""Erin Adler"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,1
4,No Credit,                              ,,,,32
5,"author"":""Cliff Owen"",""credit"":""Associated Press"",""",Professional - associated press,,,,2
6,"author"":""Katherine Frey"",""credit"":""Associated Press"",""",Professional - associated press,,,,1
7,"author"":""Jeff Wheeler"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,2
8,"author"":""Minnesota Historical Society"",""credit"":null,""",                              ,,,,1
9,"author"":""Brian van der Brug"",""credit"":""Los Angeles Times"",""",Professional - los angeles times,,,,1
10,"author"":""Glen Stubbe"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,13
11,"author"":""Anthony Souffle"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,7
12,"author"":""Chao Xiong - Star Tribune file"",""credit"":null,""",Professional - file,,,,1
13,"author"":""Brian Peterson"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,6
14,"author"":""RENEE JONES SCHNEIDER - Star Tribune"",""credit"":null,""",Professional - star tribune,,,,1
15,"author"":""Richard Tsong-Taatarii"",""credit"":""Minneapolis Star Tribune"",""",Professional - star tribune,,,,4
16,"RICHARD TSONG-TAATARII, Star Tribune",Professional - star tribune,,,,1
17,"Richard Tsong-Taatarii, Star Tribune",Professional - star tribune,,,,2
18,"author"":""GLEN STUBBE \u2022 Star Tribune"",""credit"":null,""",Professional - star tribune,,,,1
19,GLEN STUBBE • Star Tribune,Professional - star tribune,,,,1
20,"author"":""Jim Gehrz"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,1
21,"author"":""Brett Gundlock"",""credit"":""Bloomberg News"",""",Professional - news,,,,1
22,"Bruce Crummy, Associated Press",Professional - associated press,,,,1
23,"author"":""Dean McFaul and Danielle Monaghan"",""credit"":""  "",""",                              ,,,,1
24,"author"":""Courtney Perry \u2022 Special to the Star Tribune"",""credit"":null,""",Professional - star tribune,,,,1
25,"author"":null,""credit"":null,""",                              ,,,,46
26,"author"":""Eric Mortenson"",""credit"":null,""",                              ,,,,1
27,"author"":""Provided"",""credit"":null,""",                              ,,,,5
28,"author"":""Elise Amendola"",""credit"":""Associated Press"",""",Professional - associated press,,,,2
29,"Francois Durand, Tns - Tns",Professional - tns,,,,1
30,"author"":""AARON LAVINSKY \u2022 Star Tribune"",""credit"":null,""",Professional - star tribune,,,,1
31,"author"":""Leila Navidi"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,3
32,"Leila Navidi, Star Tribune",Professional - star tribune,,,,4
33,"author"":""Carolyn Kaster \u2022 Associated Press"",""credit"":null,""",Professional - associated press,,,,1
34,"author"":""Carolyn Van Houten"",""credit"":""Washington Post"",""",Professional - washington post,,,,1
35,Carolyn Van Houten •Washington Post,Professional - washington post,,,,1
36,"author"":""Evan Agostini"",""credit"":""Associated Press"",""",Professional - associated press,,,,3
37,"author"":""Aaron Lavinsky \u2022 aaron.lavinsky@startribune.com"",""credit"":null,""",Professional - co.,,,,1
38,"author"":""Heidi de Marco - Kaiser Health News"",""credit"":null,""",Professional - news,,,,1
39,Heidi de Marco - Kaiser Health News,Professional - news,,,,1
40,"author"":""Karly Domb Sadof \u2022 Associated Press"",""credit"":null,""",Professional - associated press,,,,1
41,"author"":""Parker Michels-Boyce"",""credit"":""New York Times"",""",Professional - times,,,,1
42,"Katherine Frey - Washington Post, Associated Press",Professional - associated press,,,,1
43,"author"":""Alastair Grant"",""credit"":""Associated Press"",""",Professional - associated press,,,,2
44,"Anthony Souffle, Star Tribune",Professional - star tribune,,,,6
45,"author"":""Aaron Lavinsky"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,6
46,"Aaron Lavinsky, Star Tribune",Professional - star tribune,,,,2
47,"author"":""Bruce Bisping"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,1
48,Chao Xiong - Star Tribune file,Professional - file,,,,1
49,"author"":""Scott Threlkeld"",""credit"":""Associated Press"",""",Professional - associated press,,,,1
50,"Andrew Harnik, Associated Press",Professional - associated press,,,,2
51,"author"":""Associated Press"",""credit"":null,""",Professional - associated press,,,,1
52,"author"":""JERRY HOLT \u2022 Star Tribune file"",""credit"":null,""",Professional - file,,,,1
53,"author"":""ELIZABETH FLORES \u2022 Star Tribune"",""credit"":null,""",Professional - star tribune,,,,2
54,"author"":""Steve Helber \u2022 Associated Press"",""credit"":null,""",Professional - associated press,,,,1
55,"author"":""Luis Sinco"",""credit"":""Tns - Tns"",""",Professional - tns,,,,1
56,"author"":""Aaron Vincent Elkaim \u2022 New York Times"",""credit"":null,""",Professional - times,,,,1
57,"author"":""Anthony Souffle - Star Tribune file"",""credit"":null,""",Professional - file,,,,1
58,"author"":""iStock"",""credit"":null,""",Professional - istock,,,,2
59,"author"":""ALEX KORMANN"",""credit"":null,""",                              ,,,,1
60,Anthony Souffle,Professional - AP,,,,2
61,"author"":""David Joles"",""credit"":""Star Tribune"",""",Professional - star tribune,,,,13
62,"author who wrote a children\u2019s book to inspire kids to make a difference in the world."",""author"":""REN\u00c9E JONES SCHNEIDER \u2022 renee.jones@startribune.com"",""credit"":null,""",Professional - co.,,,,1
63,RENÉE JONES SCHNEIDER • renee.jones@startribune.com,Professional - co.,,,,4
64,"author"":""Brian Cahn"",""credit"":""TNS - TNS"",""",Professional - tns,,,,1
65,"author"":""Chris Helgren"",""credit"":""Reuters"",""",Professional - reuters,,,,1
66,"author%20series%20includes%20Leif%20Enger%2C%20Don%20Winslow%2C%20Lorna%20Landvik%20and%20more"",""channel"":""channel=variety"",""server"":""server=startribune.com"",""prop2"":""c2=V20190223"",""prop3"":""c3=Photo"",""prop4"":""c4=Photo Gallery"",""prop5"":""c5="",""prop7"":""c7=Books"",""prop12"":""c12="",""prop15"":""c15="",""prop16"":""c16="",""prop20"":""c20="",""prop24"":""c24=Photo Gallery"",""prop25"":""c25=505567102"",""prop31"":""c31=Related%20Article%20Single%20Image"",""prop33"":""c33="",""prop46"":""c46="",""prop64"":""c64="",""prop71"":""c71=websites"",""eVar92"":""v92=02-24-2019""}')
      }
 </script>
 <div id=""strib-gallery-505567102"">
  <script type=""text/javascript"">
   StarTribune.react.singleImage('strib-gallery-505567102', {
                    analyticsUrlBase: 'http://metrics.startribune.com/b/ss/nmminneapolis/1/JS-2.9.0',
                    analytics: galleryAnalytics,
                    photo: {""url"":""http:\/\/stmedia.startribune.com\/images\/ows_14848605952993.jpg"",""caption"":""Lorna Landvik"",""author"":""Judy Griesedieck"",""credit"":null,""",Professional - co.,,,,1
67,"author"":""Kirsty Wigglesworth"",""credit"":""Associated Press"",""",Professional - associated press,,,,1
68,"author"":""Francois Mori"",""credit"":""Associated Press"",""",Professional - associated press,,,,1
69,"author"":""AP"",""credit"":null,""",Professional - ap,,,,2
70,Shari L. Gross • shari.gross@startribune.com,Professional - co.,,,,1
71,State Homeland Security and Emergency Management,Professional - state,,,,1
72,"Aaron Lavinsky, STAR TRIBUNE",Professional - star tribune,,,,2
73,Leila Navidi,Professional - star tribune,,,,1
74,Minneapolis Police Department,Professional - department,,,,1
75,"author"":""Olivier Douliery"",""credit"":""Tns - Tns"",""",Professional - tns,,,,2
76,"author"":null,""credit"":""Universal Studios"",""",Professional - universal studios,,,,1
77,MGM,Professional - mgm,,,,1
78,ANTHONY SOUFFLE • anthony.souffle@startribune.com,Professional - co.,,,,1
79,"Elizabeth Flores, Star Tribune",Professional - star tribune,,,,3
80,"author"":null,""credit"":""Associated Press"",""",Professional - associated press,,,,4
81,"author"":""Metropolitan State University"",""credit"":null,""",Professional - university,,,,1
82,Northrop Gallery,                              ,,,,1
83,Mpls Photo Center,Professional - center,,,,1
84,"author"":""Janet Moore - Star Tribune file"",""credit"":null,""",Professional - file,,,,1
85,"author"":""Glen Stubbe - Star Tribune file"",""credit"":null,""",Professional - file,,,,1
86,"Doug Mills, New York Times",Professional - times,,,,1
87,"Anonymous, Associated Press",Professional - associated press,,,,1
88,"Charles Dharapak, Associated Press - Ap",Professional - AP,,,,1
89,"author"":""Eric Baradat - TNS file"",""credit"":null,""",Professional - file,,,,1
