Index,Source,P/C,,,,Count
1,(Photo: Robert Hanashiro-USA TODAY NETWORK),Professional - usa today,,,,4
2,Matt Sayles/Invision/AP,Professional - AP,,,,17
3,Robert Hanashiro-USA TODAY NETWORK,Professional - usa today,,,,6
4,(Photo: Matt Sayles/Invision/AP),Professional - ap,,,,2
5,"(Photo: ROBERT HANASHIRO, USA TODAY)",Professional - usa today,,,,2
6,(Photo: ROBERT HANASHIRO/USA TODAY),Professional - usa today,,,,1
7,"(Photo: Robert Hanashiro, USA TODAY)",Professional - usa today,,,,1
8,"ROBERT HANASHIRO, USA TODAY",Professional - usa today,,,,11
9,ROBERT HANASHIRO/USA TODAY,Professional - usa today,,,,6
10,(Photo: Submitted),Citizen - submitted,,,,90
11,Dan MacMedan-USA TODAY NETWORK,Professional - usa today,,,,7
12,Jordan Strauss/Invision/AP,Professional - AP,,,,2
13,Dan MacMedan/USA TODAY NETWORK,Professional - usa today,,,,1
14,(Photo: Alan Poizner / For Tennessean.com),Professional - co.,,,,2
15,(Photo: Larry McCormack / Tennessean.com),Professional - co.,,,,2
16,(Photo: Larry McCormack / tennessean.com),Professional - co.,,,,8
17,(Photo: Jamie Nelson),                              ,,,,2
18,Larry McCormack / tennessean.com,Professional - co.,,,,20
19,Larry McCormack / The Tennessean,Professional - tennesse,,,,59
20,George Walker IV / Tennessean.com,Professional - co.,,,,222
21,Larry McCormack / tennessean,Professional - tennesse,,,,10
22,(Photo: George Walker IV / Tennessean.com),Professional - co.,,,,12
23,(Photo: Getty Images),Professional - getty,,,,7
24,(Photo: Mark Humphrey / AP),Professional - ap,,,,1
25,(Photo: George Walker IV / The Tennessean),Professional - tennesse,,,,49
26,(Photo: Lacy Atkins / The Tennessean),Professional - tennesse,,,,8
27,(Photo: Samuel M. Simpkins / The Tennessean),Professional - tennesse,,,,3
28,No Image,                              ,,,,50
29,(Photo: Courtesy of David Lusk Gallery),                              ,,,,4
30,(Photo: MTSU Photo by Andrew Oppmann),                              ,,,,1
31,Laura Roberts/For The Tennessean,Professional - tennesse,,,,2
32,"(Photo: Jordan Strauss, Jordan Strauss/Invision/AP)",Professional - ap,,,,2
33,(Photo: photo by Elli Lauren),                              ,,,,8
34,(Photo: File),Professional - file,,,,10
35,The Tennessean,Professional - tennesse,,,,9
36,Eldred Reaney / The Tennessean,Professional - tennesse,,,,1
37,Robert C. Holt Jr. / The Tenness,                              ,,,,1
38,File,Professional - file,,,,1
39,Bill Preston / The Tennessean,Professional - tennesse,,,,2
40,Jack Corn / The Tennessean,Professional - tennesse,,,,17
41,Frank Empson / The Tennessean,Professional - tennesse,,,,12
42,Andrew Nelles / The Tennessean,Professional - tennesse,,,,181
43,George Walker IV/The Tennessean,Professional - tennesse,,,,10
44,Vanderbilt,Professional - university,,,,8
45,George Walker IV / The Tennessean,Professional - tennesse,,,,189
46,John Partipilo / The Tennessean,Professional - tennesse,,,,19
47,Jae S. Lee / The Tennessean,Professional - tennesse,,,,5
48,(Photo: Jeb - Nashville Photography Group),Professional - group,,,,1
49,(Photo: Submitted photo),Citizen - submitted,,,,3
50,Andrew Nelles / Tennessean.com,Professional - co.,,,,275
51,"(Photo: Chris Pizzello, Chris Pizzello/Invision/AP)",Professional - ap,,,,1
52,(Photo: Lipscomb Athletics),Professional - athletics,,,,2
53,Jimmy Ellis / The Tennessean,Professional - tennesse,,,,13
54,"Mike DiNovo, USA TODAY Sports",Professional - usa today,,,,1
55,"John David Mercer, USA TODAY Sports",Professional - usa today,,,,5
56,"Jasen Vinlove, USA TODAY Sports",Professional - usa today,,,,1
57,"Adam Hagy, USA TODAY Sports",Professional - usa today,,,,1
58,"Jerome Miron, USA TODAY Sports",Professional - usa today,,,,2
59,"Kelvin Kuo, USA TODAY Sports",Professional - usa today,,,,2
60,"Gary A. Vasquez, USA TODAY Sports",Professional - usa today,,,,1
61,"Peter Casey, USA TODAY Sports",Professional - usa today,,,,1
62,"Michael Thomas Shroyer, USA TODAY Sports",Professional - usa today,,,,1
63,(Photo: Brad Schmitt / Tennessean),Professional - tennesse,,,,1
64,(Photo: Calvin Mattheis/News Sentinel),Professional - news,,,,6
65,Brianna Paciorka/News Sentinel,Professional - news,,,,10
66,Calvin Mattheis/News Sentinel,Professional - news,,,,35
67,"(Photo: Jeff Curry, Jeff Curry-USA TODAY Sports)",Professional - usa today,,,,2
