Index,Source,P/C,,,,Count
1,No Image,                              ,,,,194
2,(Image via Google),Professional - google,,,,1
3,(Derek Gee/News file photo),Professional - file,,,,34
4,(Courtesy of Habitat for Humanity Buffalo),                              ,,,,2
5,No Credit,                              ,,,,72
6,(Derek Gee/Buffalo News file photo),Professional - file,,,,6
7,(Courtesy Empire State Development),Professional - state,,,,1
8,(Harry Scull Jr./Buffalo News file photo),Professional - file,,,,2
9,(Buffalo News file photo),Professional - file,,,,14
10,(Derek Gee/Buffalo News),Professional - news,,,,103
11,(Jefferson Siegel for The Buffalo News),Professional - news,,,,1
12,(Mark Mulville/Buffalo News),Professional - news,,,,76
13,(Robert Kirkham/Buffalo News),Professional - news,,,,27
14,(Sharon Cantillon/News file photo),Professional - file,,,,19
15,(Getty Images),Professional - getty,,,,7
16,(Jamestown Police file photo),Professional - file,,,,1
17,(News file photo),Professional - file,,,,40
18,(Provided by Niagara Falls Police),Professional - police,,,,1
19,(Photo from Erie County District Attorney’s Office),Professional - county,,,,2
20,(John Hickey/Buffalo News),Professional - news,,,,52
21,(James P. McCoy/The Buffalo News),Professional - news,,,,1
22,(Family photo),Citizen - family,,,,10
23,(Image courtesy Eric Koch),                              ,,,,1
24,(Robert L. Smith/The Buffalo News/Courtesy Buffalo History Museum),Professional - news,,,,1
25,"(Photo courtesy Kyle Hess, National Lacrosse League)",                              ,,,,2
26,(Sean Kirst/Buffalo News),Professional - news,,,,6
27,(Google Maps),Professional - google maps,,,,5
28,(Photo courtesy Now-Again Records),Professional - record,,,,2
29,(Now-Again Records),Professional - record,,,,1
30,(Chip Somodevilla/Getty Images),Professional - getty,,,,4
31,(Contributed photo),Citizen - contributed,,,,7
32,(provided photo),                              ,,,,2
33,(Matt Glynn/Buffalo News),Professional - news,,,,5
34,(Sharon Cantillon/Buffalo News file photo),Professional - file,,,,6
35,(Robert Kirkham/News file photo),Professional - file,,,,18
36,(Thomas J. Prohaska/The Buffalo News),Professional - news,,,,5
37,(Crime Stoppers Buffalo),                              ,,,,2
38,(Tom Precious/Buffalo News),Professional - news,,,,5
39,(Barbara O’Brien/Buffalo News),Professional - news,,,,1
40,(Sharon Cantillon/Buffalo News),Professional - news,,,,61
41,(T.J. Pignataro/Buffalo News),Professional - news,,,,2
42,(Mark Mulville/News file photo),Professional - file,,,,16
43,(John Hickey/News file photo),Professional - file,,,,17
44,(Keith McShea/Buffalo News),Professional - news,,,,6
45,(Derek Gee/News fie photo),Professional - news,,,,2
46,(The Nature Conservancy),                              ,,,,2
47,(Google),Professional - google,,,,6
48,Photo from State Police,Professional - police,,,,1
49,(Sandra Tan/Buffalo News),Professional - news,,,,1
50,(Image courtesy of the National Weather Service),Professional - service,,,,3
51,(National Weather Service graphic),Professional - service,,,,4
52,(National Weather Service),Professional - service,,,,12
53,(James P. McCoy/News file photo),Professional - file,,,,1
54,(Olivier Douliery/Abaca Press/TNS),Professional - tns,,,,2
55,(Jerry Zremski/Buffalo News),Professional - news,,,,2
56,(Official White House Photo by Tia Dufour),                              ,,,,2
57,(Photo courtesy of George K. Arthur),                              ,,,,1
58,(International News Photo file photo),Professional - file,,,,1
59,(Photo courtesy of Kelly Payne),                              ,,,,2
60,(Photo courtesy of Carole Taylor),                              ,,,,2
61,(Mark Mulville/Buffalo News file ptho),Professional - file,,,,2
62,(Provided photo),                              ,,,,6
63,(Timothy Kuratek/CBS),Professional - cbs,,,,3
64,(Photo by Susan Schulman),                              ,,,,2
65,(Andrew Galarneau/Buffalo News),Professional - news,,,,2
66,(John Hickey/Buffalo News file photo),Professional - file,,,,2
67,(via Tim Hortons),                              ,,,,1
68,(James P. McCoy/Buffalo News),Professional - news,,,,11
69,(Harold McNeil/Buffalo News),Professional - news,,,,1
70,(Harry Scull Jr./ Buffalo News),Professional - news,,,,1
71,(Harry Scull Jr./Buffalo News).,Professional - news,,,,1
72,(T.J. Pignataro/Buffalo News file photo),Professional - file,,,,1
73,(Weather Prediction Center),Professional - center,,,,3
74,(Photo courtesy Gayla Ross),                              ,,,,2
75,(Photo courtesy of the Erie County District Attorney),Professional - county,,,,1
76,(Photo courtesy of Nichole Martens),                              ,,,,2
77,(News file photos),Professional - file,,,,1
78,(Northeast River Forecast Center),Professional - center,,,,1
79,(Photo by Kevin C. Cox/Getty Images),Professional - co.,,,,1
80,(Vic Carucci/Buffalo News),Professional - news,,,,1
81,(Photo courtesy of the City of Tonawanda Police Department),Professional - city,,,,2
82,(Anne Neville/Buffalo News),Professional - news,,,,9
83,(Rendering courtesy of David Schutte),                              ,,,,6
84,(Photos courtesy of Crime Stoppers Buffalo),                              ,,,,1
85,(Photo courtesy of the Niagara County Sheriff's Office),Professional - county,,,,2
86,(Image courtesy of Joe DiLeo),                              ,,,,3
87,(Courtesy of New York State Police),Professional - police,,,,2
88,(Photo by Bloomberg),Professional - bloomberg,,,,1
89,(Photo courtesy of Community Beer Works/Twitter),Citizen - twitter,,,,2
90,(Harry Scull Jr./Buffalo News),Professional - news,,,,6
91,(Sharon Cantillon/Buffalo News,Professional - news,,,,12
92,(File photo),Professional - file,,,,1
93,(Photo courtesy of the Orchard Park Police Department),Professional - department,,,,1
94,(Photos by Buffalo Niagara American Heart Association staff),Professional - staff,,,,1
95,(Photo courtesy of Autism Services Inc. Arts Programs),Professional - inc.,,,,2
96,(NASA),Professional - nasa,,,,1
97,(TropicalTidbits.com),Professional - co.,,,,3
98,(xmACIS),                              ,,,,4
99,(Brian Connolly/Buffalo News),Professional - news,,,,3
100,(Stephanie Keith/The New York Times),Professional - times,,,,3
101,(Derek Gee/Buffalo News )file photo),Professional - file,,,,5
102,(Buffalo News/Derek Gee),Professional - news,,,,1
103,(Photo courtesy of the Buffalo Police Department),Professional - department,,,,2
104,(provided image),                              ,,,,1
105,(Lou Michel/Buffalo News),Professional - news,,,,4
106,(Mark Mullville/Buffalo News),Professional - news,,,,2
107,(Mike McAndrew/Buffalo News),Professional - news,,,,1
108,(Jamestown Police Department),Professional - department,,,,1
109,(Sharon Gleason/Buffalo News),Professional - news,,,,1
110,(Luke Sharrett/New York Times),Professional - times,,,,5
111,(Maki Becker/Buffalo News),Professional - news,,,,1
112,(Courtesy Niagara County Sheriff's Office),Professional - county,,,,2
113,(Courtesy of Karl Frizlen and Jason Yots),                              ,,,,1
114,(Image courtesy of Ellicott Development Co.),Professional - co.,,,,1
115,(Rachel Mummey/New York Times),Professional - times,,,,1
116,(Photo courtesy of State Police),Professional - police,,,,2
117,(Robert Kirkham/Buffalo News file photo),Professional - file,,,,3
118,(NOAA),Professional - noaa,,,,2
119,"(National Weather Service, Binghamton)",Professional - service,,,,1
120,(Getty Images file photo),Professional - file,,,,1
121,(Dreamstime/TNS),Professional - tns,,,,4
122,(New York State Police),Professional - police,,,,1
123,(Buffalo Diocese's 1995 Priests' Pictorial Directory),Professional - pictorial directory,,,,1
