Index,Source,P/C,,,,Count
1,(Photo: Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA),Professional - usa today,,,,3
2,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDA,Professional - usa today,,,,35
3,(Photo: Special to The News-Press),Professional - press,,,,44
4,(Photo: CCSO),                              ,,,,1
5,(Photo: Alex Driehaus/Naples Daily News),Professional - news,,,,1
6,(Photo: Lee County Sheriff's Office),Professional - county,,,,9
7,(Photo: news-press.com),Professional - co.,,,,9
8,(Photo: Submitted),Citizen - submitted,,,,8
9,(Photo: Michael Braun/The News-Press),Professional - press,,,,3
10,(Photo: NEWS-PRESS STAFF FILE PHOTO/GUY TUBBS),Professional - file,,,,1
11,Kinfay Moroti/news-press.com,Professional - co.,,,,17
12,Kinfay Moroti / The News-Press USA TODAY NETWORK - FLORIDAKinfay Moroti,Professional - usa today,,,,1
13,No Image,                              ,,,,15
14,Kinfay Moroti,Professional - press,,,,32
15,"Kinfay Moroti/news-press.com, Kinfay Moroti/news-press.com",Professional - co.,,,,24
16,"(Photo: Andrew West, Fort Myers News-Press USA TODAY NETWORK- FLORIDA)",Professional - usa today,,,,6
17,(Photo: Melissa Montoya/news-press.com),Professional - co.,,,,1
18,(Photo: Jessica Rodriguez),                              ,,,,2
19,(Photo: CONTRIBUTED PHOTO BY HIGHLANDS COUNTY SHERIFF'S OFFICE),Professional - county,,,,1
20,XAVIER MASCAREÑAS/TCPALM,                              ,,,,9
21,(Photo: Andrea Melendez/The News-Press/USA Today),Professional - usa today,,,,16
22,Andrea Melendez/The News-Press/USA Today,Professional - usa today,,,,37
23,(Photo: Cape Coral Police Department),Professional - department,,,,4
24,(Photo: Andrew West/The News-Press),Professional - press,,,,9
25,(Photo: The News-Press archives),Professional - press,,,,1
26,(Photo: The News-Press),Professional - press,,,,5
27,(Photo: Ricardo Rolon/The News-Press),Professional - press,,,,19
28,Ricardo Rolon/The News-Press,Professional - press,,,,17
29,(Photo: Courtesy Willie Weatherley),                              ,,,,1
30,(Photo: Central Florida Behavioral Health Network),                              ,,,,1
31,Andrew West/The News-Press,Professional - press,,,,7
32,Patricia Borns/The News-Press,Professional - press,,,,1
33,(Photo: NEWS-PRESS STAFF FILE PHOTO/RICARDO ROLON),Professional - file,,,,1
34,(Photo: Melissa  Montoya/news-press.com),Professional - co.,,,,1
35,(Photo: Amanda Inscore/The News-Press),Professional - press,,,,13
36,(Photo: Bryan Cooney),                              ,,,,4
37,"(Photo: Gary A. Vasquez, Gary A. Vasquez-USA TODAY Sports)",Professional - usa today,,,,1
38,(Photo: Tom Tingle/The Republic),Professional - the republic,,,,1
39,Tom Tingle/The Republic,Professional - the republic,,,,2
40,Patrick Breen/The Republic,Professional - the republic,,,,5
41,"(Photo: MattGush, Getty Images/ iStockphoto)",Professional - getty,,,,1
42,(Photo: File),Professional - file,,,,2
43,(Photo: Kinfay Moroti),Professional - press,,,,11
44,Special to The News-Press,Professional - press,,,,34
45,(Photo: Florida Highway Patrol),                              ,,,,1
46,"(Photo: Matthew Brown, Westchester (N.Y.) Journal News)",Professional - news,,,,1
47,"Andrew West, Fort Myers News-Press USA TODAY NETWORK- FLORIDA",Professional - usa today,,,,10
48,(Photo: Special to the News-Press),Professional - press,,,,1
49,(Photo: Getty Images/iStockphoto),Professional - getty,,,,1
50,Amanda Inscore/The News-Press,Professional - press,,,,11
51,(Photo: Courtesy photo),Professional - department,,,,3
52,Submitted,Citizen - submitted,,,,4
53,"Reed, Ed,",                              ,,,,2
54,Courtesy photo,Professional - department,,,,3
55,(Photo: Bill Cotterell/Democrat),                              ,,,,1
56,(Photo: Dorothy Edwards/Naples Daily News),Professional - news,,,,17
57,(Photo: Andrea Melendez),Professional - register,,,,2
58,(Photo: Kinfay Moroti/news-press.com),Professional - co.,,,,8
59,(Photo: Amanda Inscore/news-press.com AMANDA INSCORE/THE NEWS-PRESS),Professional - co.,,,,1
60,(Photo: Annabelle Tometich/The News-Press),Professional - press,,,,3
61,(Photo: Courtesy Clancey's),                              ,,,,1
62,Courtesy Clancey's,                              ,,,,4
63,Annabelle Tometich/The News-Press,Professional - press,,,,7
64,(Photo: Erie Coffeeshop & Bakery),                              ,,,,1
65,(Photo: Edison Festival of Light),                              ,,,,1
66,(Photo: Brooke Baitinger),                              ,,,,2
67,"Andrew West, The News-Press",Professional - press,,,,17
68,(Photo: Amy Bennett Williams/The News-Press),Professional - press,,,,3
69,"(Photo: Andrew West, The News-Press)",Professional - press,,,,1
70,"(Photo: Andrew West/The News-Press, Andrew West/ The News-Press)",Professional - press,,,,1
71,(Photo: PROVIDED PHOTO),Professional - register,,,,1
72,(Photo: Thyrie Bland/The News-Press),Professional - press,,,,1
73,(Photo: Andrea Melendez/The News-Press),Professional - press,,,,3
74,(Photo: The News-Press file photo),Professional - file,,,,4
75,(Photo: Courtesy The Sandbar),                              ,,,,1
76,(Photo: Special to The News-Press.),Professional - press,,,,1
77,(Photo: Special to Grandeur),                              ,,,,1
78,(Photo: Courtesy Metro Development),                              ,,,,1
79,(Photo: Courtesy Crystal Lagoons.),                              ,,,,1
80,(Photo: Courtesy Blaze Pizza),                              ,,,,2
81,Tim Aten/Naples Daily News,Professional - news,,,,2
82,Blaze Pizza,                              ,,,,1
83,Courtesy: Blaze Pizza,                              ,,,,1
84,Courtesy Blaze Pizza,                              ,,,,2
85,(Photo: City of Fort Myers),Professional - city,,,,1
86,(Photo: File photo/news-press.com),Professional - file,,,,2
87,(Photo: TCPalm),                              ,,,,4
88,(Photo: PHOTO CONTRIBUTED BY LAURENCE STEINBERG),Citizen - contributed,,,,1
89,"(Photo: Contributed image from Gogtay et al. (2004), PNAS)",Citizen - contributed,,,,1
