Index,Source,P/C,,,,Count
1,"Photo: 
            
        Joshua Paul/Bloomberg News",Professional - news,,,,1
2,"Photo: 
            
        mohd rasfan/Agence France-Presse/Getty Images",Professional - press,,,,1
3,"Photo: 
            
        Associated Press",Professional - associated press,,,,14
4,"Photo: 
            
        Neal Preston/Warner Bros./Associated Press",Professional - warner bros,,,,2
5,"Photo: 
            
        Pete Souza",                              ,,,,3
6,"Photo: 
            
        Jim Bennett/FilmMagic/Getty Images",Professional - getty,,,,1
7,"Photo: 
            
        Andrew Harrer/Bloomberg News",Professional - news,,,,11
8,"Photo: 
            
        Todd Williamson/Getty Images for Amazon Studios",Professional - getty,,,,1
9,"Photo: 
            
        Mike Coppola/VF18/Getty Images for VF",Professional - getty,,,,1
10,"Photo: 
            
        J. Countess/WireImage/Getty Images",Professional - wireimage,,,,1
11,"Photo: 
            
        Billy Farrell/BFA",                              ,,,,1
12,"Photo: 
            
        Paul Souders/Getty Images",Professional - getty,,,,1
13,"Photo: 
            
        JAAP ARRIENS/NURPHOTO/ZUMA PRESS/",Professional - press,,,,1
14,"Photo: 
            
        Getty Images (4)",Professional - getty,,,,1
15,"Photo: 
            
        Ethan Miller/Getty Images",Professional - getty,,,,2
16,"Photo: 
            
        Paras Griffin/WireImage/Getty Images",Professional - wireimage,,,,1
17,"Photo: 
            
        Bloomberg",Professional - bloomberg,,,,1
18,"Photo: 
            
        Tim Foley",                              ,,,,1
19,"Photo: 
            
        Ignacio Marin/Bloomberg News",Professional - news,,,,1
20,"Photo: 
            
        iStock/Getty Images",Professional - istock,,,,1
21,"Photo: 
            
        Reed Saxon/Associated Press",Professional - associated press,,,,1
22,"Photo: 
            
        iStock",Professional - istock,,,,4
23,"Photo: 
            
        Elizabeth Greenwood",                              ,,,,1
24,"Photo: 
            
        Stephen Maturen/Getty Images",Professional - getty,,,,1
25,"Photo: 
            
        Jim Mone/Associated Press",Professional - associated press,,,,2
26,"Photo: 
            
        Chris Ratcliffe/Bloomberg News",Professional - news,,,,5
27,"Photo: 
            
        Warner Bros./Associated Press",Professional - warner bros,,,,1
28,"Photo: 
            
        Alexander Heid",                              ,,,,1
29,"Photo: 
            
        Johnny Frohman for The Wall Street Journal",Professional - wall street journal,,,,5
30,"Photo: 
            
        Joanna Stern/The Wall Street Journal",Professional - wall street journal,,,,1
31,"Photo: 
            
        Cliff Owen/Associated Press",Professional - associated press,,,,1
32,"Photo: 
            
        daphne benoit/Agence France-Presse/Getty Images",Professional - press,,,,1
33,"Photo: 
            
        /Associated Press",Professional - associated press,,,,3
34,"Photo: 
            
        Jonas Bendiksen/Magnum Photos with support from the Pulitzer Center (6)",Professional - center,,,,1
35,No Credit,                              ,,,,98
36,"Photo: 
            
        Iran Office of The President/EPA/Shutterstock",Professional - epa,,,,1
37,"Photo: 
            
        Maryam Rahmanian for The Wall Street Journal",Professional - wall street journal,,,,2
38,"Photo: 
            
        Jack Manning/Three Lions/Getty Images",Professional - getty,,,,1
39,"Photo: 
            
        AISA/Everett Collection",                              ,,,,1
