Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,20
2,(Kristen Page-Kirby/Express),Professional - press,,,,3
3,(Becky Krystal/The Washington POst),Professional - washington post,,,,1
4,(Thinkstock/Getty Images),Professional - getty,,,,1
5,(Katherine Frey/The Washington Post),Professional - washington post,,,,3
6,(PivotalWeather.com/PivotalWeather.com),Professional - co.,,,,14
7,(CWG/CWG),Professional - cwg,,,,1
8,(National Weather Service),Professional - service,,,,1
9,(Washington Post/Washington Post),Professional - washington post,,,,1
10,(Sadie Dingfelder/Sadie Dingfelder),                              ,,,,14
11,(katsnap photography/Katsnap photography),                              ,,,,1
12,(Billy Poggi/Bailiwick Clothing),Professional - clothing,,,,1
13,(Progressive Motorcycle Shows/Progressive Motorcycle Shows),                              ,,,,3
14,(Washington Post Express/Washington Post Express Illustration),Professional - press,,,,6
15,(Lori McCue/Express),Professional - press,,,,2
16,(Beth Mechum),                              ,,,,1
17,(Will Newton/For The Washington Post),Professional - washington post,,,,2
18,(Fritz Hahn/The Washington Post),Professional - washington post,,,,1
19,(Juliana Molina/Pizzeria Paradiso),                              ,,,,1
20,(Noah Fecks/Spin),                              ,,,,1
21,No Image,                              ,,,,9
22,(PBS and HBO/Sesame Street),Professional - hbo,,,,1
23,(Jacob Moss for the Hip-Hop Museum DC),Professional - museum,,,,2
24,(Jacob Moss for Hip-Hop Museum DC),Professional - museum,,,,4
25,(AP),Professional - ap,,,,1
26,(Jonathan Newton/The Washington Post),Professional - washington post,,,,2
27,(Nick Wass),Professional - AP,,,,1
28,(Photo credit: Peter Mountain/Peter Mountain),                              ,,,,2
29,(Comedy Central/Comedy Central),Professional - comedy,,,,2
30,(Lisa Nicchi),                              ,,,,2
31,(New York Academy of Art),Professional - academy,,,,2
32,(Ryan Maxwell Photography),                              ,,,,2
33,(Allison Shelley/Reuters),Professional - reuters,,,,1
34,(For Express)),Professional - press,,,,2
35,(Dylan Langille/Greensky Bluegrass),                              ,,,,1
36,(Nicholas Hunt/Getty Images),Professional - getty,,,,1
37,(Noam Galai/Getty Images),Professional - getty,,,,1
38,(CWG),Professional - cwg,,,,1
39,(Capital Weather Gang),Professional - capital weather gang,,,,3
40,(Capital Weather Gang)),Professional - capital weather gang,,,,1
41,(Midwestern Regional Climate Center)),Professional - center,,,,1
42,(J. David Ake/Associated Press),Professional - associated press,,,,1
43,(U.S. Capitol Police),Professional - police,,,,1
44,(Jared Siskin/Getty Images for Netflix),Professional - netflix,,,,1
45,(ANGELA WEISS/AFP/Getty Images),Professional - getty,,,,1
46,(Nationals),                              ,,,,2
47,(National Zoo),Professional - zoo,,,,1
48,(Linda Davidson/The Washington Post).,Professional - washington post,,,,1
49,(Tania Hauyon/Tania Hauyon),                              ,,,,3
50,(Adam Glanzman/Getty Images),Professional - getty,,,,1
51,(VALERY HACHE/AFP/Getty Images),Professional - getty,,,,1
52,(Jamie McCarthy/Getty Images for Aerie),Professional - getty,,,,1
53,(Billie Weiss/Express illustration/Getty Images),Professional - press,,,,2
54,(Scott Cunningham/Getty Images),Professional - getty,,,,2
55,(Christian Petersen/Getty Images/Express Illustration),Professional - press,,,,1
56,(John Sonderman via Flickr),Citizen - flickr,,,,1
57,(J. Katarzyna Woronowicz/J. Katarzyna Woronowicz),                              ,,,,2
58,(Christopher Mueller/Christopher Mueller),                              ,,,,6
59,(Matthew Simmons/Getty Images For Namm),Professional - getty,,,,1
60,(Matt Kennedy/Marvel Studios-Disney/AP),Professional - ap,,,,1
61,(Purple Line Transit Partners),                              ,,,,1
62,(Cooper Neill/Getty Images for Poo~Pourri),Professional - getty,,,,2
63,(Mark Miller/The Washington Post),Professional - washington post,,,,1
64,(Jonathan Newton / The Washington Post),Professional - washington post,,,,1
65,(National Museum of American History),Professional - american,,,,6
66,(CBS/CBS),Professional - cbs,,,,1
67,(Wally Fong/AP),Professional - ap,,,,1
68,(Hugh Talman/Smithsonian’s National Museum of American History),Professional - american,,,,2
69,(John Kelly / The Washington Post),Professional - washington post,,,,1
70,(Chanel Jaali Photography/Chanel Jaali Photography),Professional - chanel jaali,,,,1
71,(Amy Harris/Amy Harris/Invision/AP),Professional - ap,,,,1
72,(Craig Sjodin) CAELYNN,                              ,,,,1
73,(Nicholas Hunt/Getty Images for MTV),Professional - mtv,,,,1
74,(Kerry Brown/20th Century Fox via AP),Professional - fox,,,,2
75,(Weather Underground),                              ,,,,4
76,(Michael Moretti via Flickr),Citizen - flickr,,,,1
77,(Bill O'Leary/The Washington Post),Professional - washington post,,,,1
78,(Astrid Riecken/For The Washington Post),Professional - washington post,,,,1
79,(Rosalie O'Connor/Rosalie O’Connor),                              ,,,,1
80,(Robert Perdziola/Robert Perdziola),                              ,,,,4
81,(STR/AFP/Getty Images),Professional - getty,,,,1
82,"(Dave Kotinsky/Getty Images for NAACP Legal Defense and Educational Fund, Inc.)",Professional - inc.,,,,1
83,(WeatherBell.com),Professional - co.,,,,1
84,(NWS),Professional - noaa,,,,1
85,(Michael S. Williamson/The Washington Post),Professional - washington post,,,,5
86,(Calla Kessler/The Washington Post),Professional - washington post,,,,1
87,(COLIN HOVDE/C. Stanley Photography.),Professional - stanley photography,,,,1
88,(Mark Andre via Flickr),Citizen - flickr,,,,1
89,(Express/Jenna Kendle),Professional - press,,,,1
90,(Vivien Killilea/Getty Images for Electric Entertainment),Professional - getty,,,,1
91,(Ezra Shaw/Getty Images),Professional - getty,,,,1
92,(VINCENZO PINTO/AFP/Getty Images),Professional - getty,,,,1
