Index,Source,P/C,,,,Count
1,ISTOCK,Professional - istock,,,,1
2,No Credit,                              ,,,,86
3,Dane County Sheriff's Office,Professional - county,,,,89
4,NASA,Professional - nasa,,,,1
5,State Journal archives,Professional - journal,,,,8
6,iStock,Professional - istock,,,,3
7,No Image,                              ,,,,199
8,AP Photo/George Brich,Professional - ap,,,,1
9,"By Witchblue - Witchblue, Public Domain, Link",Citizen - public domain,,,,1
10,"By kulo - originally posted to Flickr as DSCN3958, CC BY-SA 2.0, Link",Citizen - flickr,,,,1
11,AP photo//leo jarzomb,Professional - ap,,,,1
12,"By Benmckune, Public Domain, Link",Citizen - public domain,,,,1
13,AP Photo/Chris Pizzello,Professional - ap,,,,1
14,AP Photo/Damian Dovarganes,Professional - ap,,,,2
15,Dietmar Rabich,                              ,,,,1
16,"By ayustety from Tokyo, Japan - Godzilla, CC BY-SA 2.0, Link",                              ,,,,1
17,AP Photo/Nick Ut,Professional - ap,,,,1
18,Associated Press,Professional - associated press,,,,4
19,JULIAN BULLITT,                              ,,,,1
20,JAMES GILL,                              ,,,,1
21,Greg Dixon Photo,                              ,,,,6
22,ALASTAIR GRANT,Professional - AP,,,,1
23,STR,Professional - getty,,,,5
24,ASSOCIATED PRESS,Professional - associated press,,,,14
25,JOHN STILLWELL,Professional - AP,,,,1
26,Matt Dunham,Professional - associated press,,,,1
27,"TIM DAMOS, Baraboo News Republic",Professional - news,,,,1
28,UW Athletic Communications,                              ,,,,1
29,"BEN MARGOT, ASSOCIATED PRESS",Professional - associated press,,,,1
30,"CHARLIE RIEDEL, ASSOCIATED PRESS",Professional - associated press,,,,2
31,"MORRY GASH, ASSOCIATED PRESS",Professional - associated press,,,,2
32,"CARLOS OSORIO, ASSOCIATED PRESS",Professional - associated press,,,,13
33,"JAE HONG, ASSOCIATED PRESS",Professional - associated press,,,,1
34,STATE JOURNAL ARCHIVES,Professional - journal,,,,24
35,"JOHN HART, STATE JOURNAL",Professional - journal,,,,29
36,"AARON GASH, Associated Press",Professional - associated press,,,,1
37,JOHN HART STATE JOURNAL,Professional - journal,,,,17
38,Associated Press archives,Professional - associated press,,,,5
39,"GREG DIXON, FOR THE STATE JOURNAL",Professional - journal,,,,3
40,AP Photo/Adrian Dennis,Professional - ap,,,,1
41,AP Photo/Eric Miller,Professional - ap,,,,1
42,"AP Photo/Sinead Lynch/The Times, London/WPA pool",Professional - ap,,,,1
43,AP Photo/Fiona Hanson/WPA pool,Professional - ap,,,,1
44,Photo by Scott Gries/Invision/AP,Professional - AP,,,,1
45,Photo by Joel Ryan/Invision/AP,Professional - AP,,,,1
46,"AP Photo/ Stefan Rousseau, Pool",Professional - ap,,,,1
47,"AP Photo/John Stillwell, Pool",Professional - ap,,,,1
48,"Emily Hamer, Wisconsin Center for Investigative Journalism",Professional - journal,,,,1
49,LinkedIn,                              ,,,,1
50,"STEVE APPS, STATE JOURNAL",Professional - journal,,,,52
51,SPENCER MICKA,                              ,,,,2
52,Mindaugas Kulbis,Professional - associated press,,,,2
53,HOGP,Professional - ap,,,,2
54,LILY DONG,                              ,,,,1
55,KALEY RAE PHOTOGRAPHY,                              ,,,,1
56,STEVE APPS,Professional - AP,,,,9
57,BARRY ADAMS,Professional - journal,,,,3
58,"AMBER ARNOLD, STATE JOURNAL",Professional - journal,,,,73
59,"GERALD HERBERT, ASSOCIATED PRESS",Professional - associated press,,,,2
60,"MATT SLOCUM, ASSOCIATED PRESS",Professional - associated press,,,,1
61,Mike DeVries,Professional - times,,,,1
62,"JOHN HART, STATE JOURNAL ARCHIVES",Professional - journal,,,,5
63,Heather Stanek/Times-Press,Professional - times,,,,1
64,Kathy Willens,Professional - AP,,,,2
65,"Ana Ramos Contreras, Wisconsin Energy Institute",Professional - institute,,,,1
66,The Washington Post,Professional - washington post,,,,3
67,Chris Pizzello,Professional - ap,,,,3
68,Evan Agostini,Professional - getty,,,,1
69,Scott Roth,Professional - ap,,,,1
70,Joel C Ryan,Professional - ap,,,,1
71,Amy Harris,Professional - AP,,,,2
72,Willy Sanjuan,Professional - AP,,,,3
73,Clay Enos,Professional - tnt,,,,1
74,Michael Zorn,                              ,,,,1
75,Charles Sykes,Professional - ap,,,,1
76,ELECTRONIC THEATRE CONTROLS,Professional - theatre,,,,1
77,ILLINOIS STATE ATHLETICS,Professional - athletics,,,,1
78,C&N; Photographers,                              ,,,,1
79,Green County Sheriff's Office,Professional - county,,,,1
80,Image provided by Madison Police Department,Professional - department,,,,8
81,Dane County Jail,Professional - jail,,,,24
82,"STEVE APPS, STATE JOURNAL ARCHIVES",Professional - journal,,,,5
83,MICHELLE STOCKER/Capital Times,Professional - times,,,,2
84,Madison365,                              ,,,,2
85,PHOTO BY MICHELLE STOCKER,                              ,,,,4
86,MICHELLE STOCKER,Professional - times,,,,6
