Index,Source,P/C,,,,Count
1,No Image,                              ,,,,82
2,(Photo11: Darryl Webb/Special for The Republic),Professional - the republic,,,,1
3,(Photo11: The Republic),Professional - the republic,,,,36
4,(Photo11: Rob Schumacher/The Republic),Professional - the republic,,,,23
5,Cheryl Evans/The Republic,Professional - the republic,,,,38
6,(Photo11: The Church of Jesus Christ of Latter-day Saints),Professional - church,,,,2
7,(Photo11: Arizona Department of Corrections),Professional - department,,,,2
8,(Photo11: Glendale Police Department),Professional - department,,,,1
9,(Photo11: Sezeryadigar/Getty Images),Professional - getty,,,,1
10,"(Photo11: Xesai, Getty Images)",Professional - getty,,,,1
11,(Photo11: Carly Henry/Cronkite News),Professional - news,,,,1
12,(Photo11: Anya Magnuson/Cronkite News),Professional - news,,,,2
13,(Photo11: Tom Tingle/The Republic),Professional - the republic,,,,50
14,David Wallace/The Republic,Professional - the republic,,,,6
15,(Photo11: Matt York/Associated Press),Professional - associated press,,,,1
16,(Photo11: Thomas Hawthorne/The Republic),Professional - the republic,,,,6
17,(Photo11: Netflix),Professional - netflix,,,,1
18,(Photo11: Courtesy of City of Surprise),Professional - city,,,,1
19,(Photo11: Michael Schennum/The Republic),Professional - the republic,,,,5
20,(Photo11: Courtesy of Spinelli's),                              ,,,,3
21,(Photo11: Courtesy of Vicki Potolicchio),                              ,,,,1
22,(Photo11: Mummies of the World),Professional - the world,,,,5
23,(Photo11: Arizona Department of Transportation),Professional - department,,,,3
24,(Photo11: handout),Citizen - handout,,,,4
25,(Photo11: Nick Oza/The Republic),Professional - the republic,,,,36
26,(Photo11: Michelle Beaver/Special for The Republic),Professional - the republic,,,,3
27,Michelle Beaver/Special for The Republic,Professional - the republic,,,,7
28,(Photo11: Maricopa County Sheriff's Office),Professional - county,,,,21
29,(Photo11: Pamela Ren Larson),                              ,,,,4
30,(Photo11: Anya Magnuson/The Republic),Professional - the republic,,,,7
31,(Photo11: New York Police Department),Professional - department,,,,1
32,Ross D. Franklin/AP,Professional - AP,,,,7
33,"Anne-Marie Sorvin, Anne-Marie Sorvin-USA TODAY Spor",Professional - usa today,,,,3
34,(Photo11: Nathan J. Fish/The Republic),Professional - the republic,,,,1
35,Nathan J. Fish/The Republic,Professional - the republic,,,,9
36,(Photo11: Cheryl Evans/The Republic),Professional - the republic,,,,21
37,"Nick Oza, Nick Oza/The Republic",Professional - the republic,,,,1
38,Nick Oza/The Republic,Professional - the republic,,,,54
39,(Photo11: Andrew Harnik/AP; Jack Gruber/USA TODAY),Professional - ap,,,,1
40,(Photo11: Mark Floor),                              ,,,,1
41,"Jack Gruber, USAT",                              ,,,,3
42,Zach Gibson/Getty Images,Professional - getty,,,,2
43,Alex Edelman/AFP/Getty Images,Professional - getty,,,,3
44,(Photo11: Patrick Breen/The Republic),Professional - the republic,,,,7
45,(Photo11: Cody Whitehouse),                              ,,,,1
46,Patrick Breen/The Republic,Professional - the republic,,,,13
47,(Photo11: Hendricks & Partners),                              ,,,,1
48,(Photo11: Courtesy of Mi-Ai Parrish),                              ,,,,1
49,(Photo11: Karina Bland/The Republic),Professional - the republic,,,,9
50,"(Photo11: Bayan Wang, The Arizona Republic)",Professional - arizona republic,,,,1
51,(Photo11: Brian Lowe),                              ,,,,1
52,(Photo11: Michael Chow/The Republic),Professional - the republic,,,,16
53,(Photo11: Julio Cesar Aguilar/AFP/Getty Images),Professional - getty,,,,1
54,(Photo11: Dolphinaris),                              ,,,,8
