Index,Source,P/C,,,,Count
1,"(Photo: By Michael Clevenger, The C-J)",                              ,,,,1
2,(Photo: Original Makers Club),                              ,,,,1
3,(Photo: Courier Journal file photo),Professional - file,,,,1
4,(Photo: Michael Clevenger/Courier Journal),Professional - journal,,,,8
5,(Photo: Credit: Chris Witzke),                              ,,,,1
6,(Photo: Tyler Bissmeyer/Special to The C-J),                              ,,,,1
7,"(Photo: By Pat McDonogh, The C-J)",                              ,,,,1
8,(Photo: provided),Professional - state,,,,9
9,(Photo: Alton Strupp/The Courier-Journal),Professional - journal,,,,1
10,(Photo: Photo provided by Marriott),                              ,,,,1
11,(Photo: National Weather Service),Professional - service,,,,3
12,Alton Strupp/Courier Journal,Professional - journal,,,,21
13,"(Photo: Darron Cummings, AP)",Professional - ap,,,,1
14,Bobby Goddin/For IndyStar,Professional - indystar,,,,9
15,No Image,                              ,,,,135
16,"(Photo: Pat McDonogh, Courier Journal)",Professional - journal,,,,1
17,(Photo: Matt Stone/Louisville Courier Journal),Professional - journal,,,,3
18,(Photo: Scott Utterback/Courier Journal ),Professional - journal,,,,11
19,(Photo: David R. Lutman/Special to Courier Journal),Professional - journal,,,,5
20,(Photo: Alton Strupp/Courier Journal),Professional - journal,,,,5
21,Michael Clevenger/Courier Journal,Professional - journal,,,,22
22,"(Photo: Melina Myers, USA TODAY Sports)",Professional - usa today,,,,4
23,(Photo: File photo),Professional - file,,,,2
24,Sam Upshaw Jr./Courier Journal,Professional - journal,,,,42
25,"(Photo: Eric Thorne, Special to Courier Journal)",Professional - journal,,,,1
26,(Photo: John Hodge),                              ,,,,1
27,(Photo: Cindy Carris),                              ,,,,1
28,Special to Courier-Journal by David R. Lutman,Professional - journal,,,,65
29,(Photo: Nelson County Sheriff's Office),Professional - county,,,,1
30,"Melina Myers, Melina Myers-USA TODAY Sports",Professional - usa today,,,,10
31,(Photo: Justin Casterline / IUPUI Athletics),Professional - athletics,,,,3
32,© Brian Foley,                              ,,,,1
33,Justin Casterline / IUPUI Athletics,Professional - athletics,,,,3
34,IUPUI,Professional - athletics,,,,1
35,Brian Foley,                              ,,,,2
36,The Associated Press,Professional - associated press,,,,6
37,"Matt Bush, USA TODAY Sports",Professional - usa today,,,,14
38,"Matthew Emmons, USA TODAY Sports",Professional - usa today,,,,7
39,"Thomas Shea, USA TODAY Sports",Professional - usa today,,,,1
40,"Brian Losness, USA TODAY Sports",Professional - usa today,,,,1
41,"Rich Barnes, USA TODAY Sports",Professional - usa today,,,,2
42,"Jeffrey Becker, USA TODAY Sports",Professional - usa today,,,,1
43,"Danny Wild, USA TODAY Sports",Professional - usa today,,,,1
44,"Matthew OHaren, USA TODAY Sports",Professional - usa today,,,,1
45,"Kelvin Kuo, USA TODAY Sports",Professional - usa today,,,,1
46,"Jay Biggerstaff, USA TODAY Sports",Professional - usa today,,,,1
47,(Photo: Michelle Pemberton / Indy Star),                              ,,,,1
48,(Photo: Timothy D. Easley),Professional - ap,,,,2
49,TripAdvisor,Professional - tripadvisor,,,,10
50,"David R. Lutman, Special to Courier Journal",Professional - journal,,,,27
51,"(Photo: Frankie Steele, special to the CJ)",                              ,,,,1
52,(Photo: Salgu Wissmath/ Courier Journal),Professional - journal,,,,1
