Index,Source,P/C,,,,Count
1,No Image,                              ,,,,324
2,Ashley Landis/Staff Photographer,Professional - staff,,,,12
3,(SBA),Professional - ap,,,,2
4,(Ashley Landis/Staff Photographer),Professional - staff,,,,15
5,(Smiley N. Pool/Staff Photographer),Professional - staff,,,,8
6,(Rex C. Curry/Special Contributor),                              ,,,,4
7,(Allison V. Smith),                              ,,,,2
8,(Albert Bresnik/The Associated Press),Professional - associated press,,,,2
9,(Daniel Carde/Staff Photographer),Professional - staff,,,,31
10,(Tarrant County Sheriff's Office),Professional - county,,,,1
11,Tom Fox/Staff Photographer,Professional - fox,,,,22
12,(Denton Police Department),Professional - department,,,,1
13,Ross D. Franklin/AP,Professional - AP,,,,1
14,(Alfredo Corchado/Staff),Professional - staff,,,,4
15,(John Moore/Getty Images),Professional - getty,,,,1
16,(Dallas Fire-Rescue),                              ,,,,1
17,Ryan Michalesko/Staff Photographer,Professional - staff,,,,9
18,(Brian Elledge/Staff Photographer),Professional - staff,,,,3
19,(Rebecca White/Special Contributor),                              ,,,,6
20,(Tom Fox/Staff Photographer),Professional - fox,,,,41
21,(File Photo),Professional - file,,,,2
22,(Ryan Michalesko/Staff Photographer),Professional - staff,,,,27
23,(Jason Janik/Special Contributor),                              ,,,,6
24,Eric Risberg/AP,Professional - AP,,,,1
25,(Han Jiang/TITAS),                              ,,,,3
26,(Ron Baselice/Staff Photographer),Professional - staff,,,,3
27,Sue Ogrocki/AP,Professional - AP,,,,3
28,No Credit,                              ,,,,78
29,(Ravpower),                              ,,,,2
30,Shaban Athuman/Staff Photographer,Professional - staff,,,,16
31,Mike Stobe/Getty Images,Professional - getty,,,,2
32,(KXAS-TV/(NBC5)),                              ,,,,4
33,(Wichita County Jail),Professional - jail,,,,1
34,(Lawrence Jenkins/Special Contributor),                              ,,,,2
35,(Metro Video Dallas/Fort Worth),                              ,,,,1
36,John Weast/Getty Images,Professional - getty,,,,2
37,Justin Hayworth/AP,Professional - AP,,,,1
38,(Nathan Hunsinger/Staff Photographer),Professional - staff,,,,8
39,Rose Baca/Staff Photographer,Professional - staff,,,,3
40,The Dallas Morning News/Matthew DeFranks,Professional - news,,,,6
41,(Shaban Athuman/Staff Photographer),Professional - staff,,,,5
42,(Dallas County Jail),Professional - jail,,,,8
43,(Maria R. Olivas/File 2018 Photo),Professional - file,,,,1
44,Vernon Bryant/Staff Photographer,Professional - staff,,,,15
45,Jim Lytle/AP,Professional - AP,,,,1
46,(Collin County Jail),Professional - jail,,,,2
47,(Super League Gaming),                              ,,,,1
48,(File Photo/Staff),Professional - file,,,,6
49,(Carly Geraci/Special Contributor),                              ,,,,2
50,(Roy Cox Studio/Dallas Symphony),Professional - co.,,,,1
51,(Steve Brown),                              ,,,,1
52,(via GoFundMe),Professional - gofundme,,,,2
53,(Louis DeLuca/Staff Photographer),Professional - staff,,,,1
54,(Facebook),Citizen - facebook,,,,1
55,(2018 File Photo/Staff),Professional - file,,,,1
56,(Rich Fury/Rich Fury/Invision/AP),Professional - ap,,,,1
