Index,Source,P/C,,,,Count
1,"[N-J/Nigel Cook]"",",                              ,,,,17
2,"[N-J/Godwin Kelly]"",",                              ,,,,1
3,"[N-J/Lola Gomez]"",",                              ,,,,2
4,No Credit,                              ,,,,121
5,"[N-J/Dinah Voyles Pulver]"",",                              ,,,,5
6,"[N-J/Dinah Voyles Pulver]"",
						",                              ,,,,10
7,"[GATEHOUSE FLORIDA/NICK TOMECEK]"",",                              ,,,,5
8,"[Photo courtesy of Travis Thomas]"",",                              ,,,,1
9,"[Photo courtesy Jerry Johnston]"",",                              ,,,,1
10,"[News-Journal/Nikki Ross]"",",Professional - journal,,,,14
11,"[News-Journal/Nikki Ross]"",
						",Professional - journal,,,,17
12,"(State Archives of Florida)"",
						",Professional - state,,,,7
13,"(State Archives of Florida/Johnson)"",
						",Professional - state,,,,1
14,"(State Archives of Florida/Rahner)"",
						",Professional - state,,,,1
15,"[Doug Mills/The New York Times via AP, Pool]"",",Professional - ap,,,,1
16,"[AP Photo/Andrew Harnik]"",",Professional - ap,,,,2
17,"[News-Journal file]"",",Professional - file,,,,9
18,"""Courtesy: Alamo Drafthouse"",",Professional - drafthouse,,,,1
19,"[News-Journal/Nigel Cook]"",",Professional - journal,,,,20
20,"[AP File Photo]"",",Professional - file,,,,2
21,"[File Photo]"",",Professional - file,,,,1
22,"[N-J / Lola Gomez]"",
						",                              ,,,,9
23,"(AP Photo/Hans Pennink, File)"",",Professional - file,,,,1
24,"(AP Photo/Morgan Lee)"",",Professional - ap,,,,4
25,"[N-J / Lola Gomez]"",",                              ,,,,1
26,"[N-J / Peter Bauer]"",",                              ,,,,4
27,"[N-J/David Tucker]"",",                              ,,,,2
28,"[News-Journal/David Tucker]"",",Professional - journal,,,,47
29,"[Alan Youngblood/Staff photographer]"",",Professional - staff,,,,3
30,"[GateHouse Florida/Brad McClenny]"",",                              ,,,,1
31,"[Dept. of Agriculature photo]"",",                              ,,,,1
32,"[News-Journal/India Pantin]"",",Professional - journal,,,,8
33,"[NEWS-JOURNAL/MARK LANE]"",",Professional - journal,,,,1
34,"[Provided photo]"",",                              ,,,,6
35,"[News-Journal]"",",Professional - journal,,,,2
36,"[Linda Florea/Correspondent]"",",Professional - correspondent,,,,3
37,"[Bob Self/Florida Times-Union]"",",Professional - times,,,,6
38,"[BOB SELF/FLORIDA TIMES-UNION]"",",Professional - times,,,,1
39,"[GateHouse Media File/George Bennett]"",",Professional - file,,,,1
40,"[News-Journal / Lola Gomez]"",",Professional - journal,,,,12
41,"[News-Journal / Lola Gomez]"",
						",Professional - journal,,,,27
42,"[Photo from City of Ormond Beach]"",",Professional - city,,,,3
43,"[News-Journal/ Jim Abbott]"",",Professional - journal,,,,1
44,"(News-Journal/ Jim Abbott]"",",Professional - journal,,,,1
45,"""The Associated Press"",",Professional - associated press,,,,8
46,"[LYNDE NUNN PHOTO]"",",                              ,,,,1
47,"[News-Journal File]"",",Professional - file,,,,1
48,"[News-Journal file/PETER BAUER]"",",Professional - file,,,,1
49,"[Photo provided by: Ed Perry, Sebastian Inlet State Park]"",",Professional - state,,,,1
50,"[News-Journal/David Tucker]"",
						",Professional - journal,,,,40
51,"[Photo provided by Jeopardy! Productions, Inc.]"",",Professional - inc.,,,,1
52,"[BRYNN ANDERSON/ASSOCIATED PRESS, file]"",",Professional - file,,,,1
53,"[News-Journal File/Nigel Cook]"",",Professional - file,,,,3
54,"[News-Journal/Lola Gomez]"",",Professional - journal,,,,18
55,"[News-Journal/India Pantin]"",
						",Professional - journal,,,,6
56,"(AP Photo/Alex Brandon)"",",Professional - ap,,,,1
57,"[News-Journal/Jim Tiller]"",",Professional - journal,,,,1
58,"[morguefile.com/license]"",",Professional - co.,,,,1
59,"[Google]"",",Professional - google,,,,1
60,"[GARY DINGES/GATEHOUSE MEDIA]"",",Professional - media,,,,1
61,"[flaglercounty.org]"",",Professional - county,,,,1
62,"[News-Journal/Shaun Ryan]"",",Professional - journal,,,,5
63,"(AP Photo/Jose Luis Magana)"",",Professional - ap,,,,1
64,"(AP Photo/Mark Humphrey, File)"",",Professional - file,,,,1
65,"(AP Photo/ Evan Vucci)"",",Professional - ap,,,,1
66,"(AP Photo/Christina Myers)"",",Professional - ap,,,,1
67,"(Nate Billings/The Oklahoman via AP)"",",Professional - ap,,,,1
68,"[Greg Wohlford/Erie Times-News]"",",Professional - times,,,,3
69,"[News-Journal/Patricio G. Balona]"",",Professional - journal,,,,6
70,"Photo provided by SpaceX"",",                              ,,,,1
71,"[Photo provided]"",",                              ,,,,5
72,"[News-Journal/Matt Bruce]"",",Professional - journal,,,,1
73,"[BRUCE R. BENNETT/PALM BEACH POST]"",",Professional - palm beach post,,,,1
74,"[News-Journal file/Nigel Cook]"",",Professional - file,,,,2
75,No Image,                              ,,,,1
76,"[News-Journal-J/Nigel Cook]"",
						",Professional - journal,,,,8
77,"[News-Journal/Jim Tiller]"",
						",Professional - journal,,,,9
78,"(AP Photo/Rick Bowmer, File)"",",Professional - file,,,,1
