Index,Source,P/C,,,,Count
1,"(Photo: David Guralnick, Detroit News)",Professional - news,,,,18
2,"Nam Y. Huh, AP",Professional - AP,,,,7
3,"(Photo: KEREM YUCEL, AFP/Getty Images)",Professional - getty,,,,1
4,"(Photo: Glen Stubbe, AP)",Professional - ap,,,,1
5,"(Photo: Anthony Souffle, AP)",Professional - ap,,,,1
6,(Photo: Bryan Mitchell / Special to Detroit News),Professional - news,,,,1
7,(Photo: Experience Grand Rapids),                              ,,,,1
8,"(Photo: Detroit News, file)",Professional - file,,,,2
9,"(Photo: Amy Harris, Amy Harris/Invision/AP)",Professional - ap,,,,1
10,"(Photo: Matt Sayles, Matt Sayles/Invision/AP)",Professional - ap,,,,2
11,(Photo: Matt Sayles/Invision/AP),Professional - ap,,,,1
12,"(Photo: Kevin Hardy, The Detroit News)",Professional - news,,,,1
13,"Robin Buckson, The Detroit News",Professional - news,,,,30
14,"(Photo: Vivien Killilea, TNS)",Professional - tns,,,,1
15,(Photo: Detroit News file),Professional - file,,,,7
16,(Photo: DuAnne Simon),                              ,,,,1
17,"DuAnne Simon, Vendome Press",Professional - press,,,,1
18,DuAnne Simon,Professional - press,,,,8
19,(Photo: The Detroit News),Professional - news,,,,10
20,(Photo: Porsche),                              ,,,,1
21,"Todd McInturf, The Detroit News",Professional - news,,,,19
22,(Photo: Youtube),Citizen - youtube,,,,2
23,(Photo: YouTube),Citizen - youtube,,,,2
24,(Photo: Neil Blake / AP),Professional - ap,,,,1
25,(Photo: Andre Ashe / Special to Detroit News),Professional - news,,,,1
26,"(Photo: Max Ortiz, The Detroit News)",Professional - news,,,,15
27,"Max Ortiz, The Detroit News",Professional - news,,,,17
28,(Photo: David Coates),Professional - news,,,,1
29,"(Photo: Duane Burleson, Associated Press)",Professional - associated press,,,,2
30,No Image,                              ,,,,11
31,(Photo: Warner Bros. Pictures),Professional - warner bros,,,,2
32,The Detroit News archives,Professional - news,,,,25
33,Detroit News archives,Professional - news,,,,7
34,(Photo: Lars Hagberg / AFP/Getty Images),Professional - getty,,,,1
35,"(Photo: Al Goldis, AP)",Professional - ap,,,,1
36,"(Photo: Bony/SIPA, Bony/SIPA)",                              ,,,,1
37,(Photo: George Hunter),Professional - news,,,,2
38,"(Photo: Carolyn Kaster, AP)",Professional - ap,,,,2
39,Max Ortiz,Professional - news,,,,5
40,Submitted photo,Citizen - submitted,,,,5
41,Courtesy of John Dingell Jr.,                              ,,,,8
42,United Press International,Professional - united press international,,,,4
43,"(Photo: Robin Buckson, Detroit News)",Professional - news,,,,18
44,"Robin Buckson, Detroit News",Professional - news,,,,39
45,(Photo: Michigan Department of Corrections),Professional - department,,,,1
46,(Photo: Mark Humphrey / AP),Professional - ap,,,,1
47,"(Photo: Todd McInturf, The Detroit News)",Professional - news,,,,36
48,"(Photo: Rob Carr, Getty Images)",Professional - getty,,,,1
49,"Rob Foldy, Getty Images",Professional - getty,,,,1
50,"Chris Szagola, AP",Professional - AP,,,,1
51,"Lynne Sladky, AP",Professional - AP,,,,2
52,"Wilfredo Lee, AP",Professional - AP,,,,1
53,"Brandon Dill, AP",Professional - AP,,,,1
54,"Gregory Shamus, Getty Images",Professional - getty,,,,1
55,"Rob Carr, Getty Images",Professional - getty,,,,1
56,"Jonathan Daniel, Getty Images",Professional - getty,,,,1
57,(Photo: Beaumont Health),                              ,,,,1
58,(Photo: FBI),Professional - fbi,,,,1
59,(Photo: Ross Dolan / AP),Professional - ap,,,,1
60,(Photo: JEWEL SAMAD / AFP/Getty Images),Professional - getty,,,,1
61,"(Photo: Rey Del Rio, Getty Images)",Professional - getty,,,,1
62,"Rey Del Rio, Getty Images",Professional - getty,,,,2
63,"Al Goldis, AP",Professional - AP,,,,7
64,"(Photo: Daniel Mears, The Detroit News)",Professional - news,,,,29
65,"Daniel Mears, The Detroit News",Professional - news,,,,19
66,(Photo: Terrence Antonio James / AP),Professional - ap,,,,1
67,(Photo: Osceola County Sheriff / Facebook),Professional - county,,,,1
68,(Photo: Detroit News file photo),Professional - file,,,,5
69,(Photo: Courtesy of the Dearborn Historical Museum.),Professional - museum,,,,1
70,"(Photo: Dale G. Young, Detroit News)",Professional - news,,,,6
71,(Photo: AP),Professional - ap,,,,4
72,(Photo: Lear Corp.),                              ,,,,1
73,"(Photo: David Guralnick, The Detroit News)",Professional - news,,,,17
74,"(Photo: Charles V. Tines, The Detroit News)",Professional - news,,,,2
75,"(Photo: Clarence Tabb Jr., The Detroit News)",Professional - news,,,,11
76,(Photo: Facebook),Citizen - facebook,,,,7
77,(Photo: Best Choice Realty Inc.),Professional - inc.,,,,1
78,Best Choice Realty,Professional - inc.,,,,9
79,"(Photo: Robin Buckson, The Detroit News)",Professional - news,,,,18
80,(Photo: Karen Matthews / AP),Professional - ap,,,,1
81,(Photo: Carlos Osorio / AP),Professional - ap,,,,2
82,(Photo: Detroit Police Department),Professional - department,,,,7
83,"(Photo: Carlos Osorio, Associated Press)",Professional - associated press,,,,4
84,"Carlos Osorio, AP",Professional - AP,,,,41
85,"(Photo: Andy Manis, AP)",Professional - ap,,,,1
86,"(Photo: Nati Harnik, AP)",Professional - ap,,,,1
87,(Photo: Jonathan Oosting),Professional - news,,,,6
88,"(Photo: Carlos Osorio, AP)",Professional - ap,,,,4
89,(Photo: file),Professional - file,,,,1
90,"(Photo: Jacquelyn Martin / AP, file)",Professional - file,,,,1
91,(Photo: Courtesy of the congressman's office),                              ,,,,2
92,"(Photo: Andrew Harnik / AP, file)",Professional - file,,,,1
93,(Photo: Jacquelyn Martin / AP),Professional - ap,,,,2
94,(Photo: Alex Brandon / AP file),Professional - file,,,,1
95,(Photo: Courtesy of John Dingell Jr. ),                              ,,,,2
