Index,Source,P/C,,,,Count
1,(Gerald Herbert / AP),Professional - ap,,,,1
2,(Handout),Citizen - handout,,,,3
3,(PATRICK RAYCRAFT/HC),                              ,,,,1
4,(Mara Lavitt),                              ,,,,1
5,No Credit,                              ,,,,60
6,"(Lloyd Fox, Baltimore Sun)",Professional - fox,,,,1
7,(Brandon Dill/AP),Professional - ap,,,,1
8,"""(PATRICK RAYCRAFT | praycraft@courant.com)"",",Professional - co.,,,,10
9,(Mark Mirko / Hartford Courant),Professional - hartford courant,,,,24
10,(Patrick Raycraft/Hartford Courant),Professional - hartford courant,,,,8
11,"""(Brad Horrigan / Hartford Courant)"",",Professional - hartford courant,,,,15
12,"""(Brad Horrigan/The Hartford Courant)"",",Professional - hartford courant,,,,51
13,(Lindsay Bukowinski/Hartford Courant),Professional - hartford courant,,,,1
14,(Lindsay Bukowinski / Hartford Courant),Professional - hartford courant,,,,15
15,(STEPHEN DUNN/The Hartford Courant),Professional - hartford courant,,,,2
16,(Joseph Prezioso/AFP/Getty Images),Professional - getty,,,,1
17,(Elise Amendola/AP),Professional - ap,,,,1
18,(Jon Lender / Hartford Courant),Professional - hartford courant,,,,2
19,(City of Hartford),Professional - city,,,,1
20,(/ AP),Professional - ap,,,,1
21,(Patrick Raycraft / Hartford Courant),Professional - hartford courant,,,,12
22,(Turnbridge),                              ,,,,1
23,(Don Emmert / AFP/Getty Images),Professional - getty,,,,1
24,(Brad Horrigan/Hartford Courant),Professional - hartford courant,,,,2
25,(Hartford Courant file photo),Professional - file,,,,9
26,(Carolyn Van Houten/The Washington Post),Professional - washington post,,,,6
27,(Dalton Bennett/The Washington Post),Professional - washington post,,,,1
28,(Justin Sullivan/Getty Images),Professional - getty,,,,1
29,(Mark Mirko/Hartford Courant),Professional - hartford courant,,,,7
30,(Gregory Payan/AP),Professional - ap,,,,2
31,(Provided by New Britain police),Professional - police,,,,3
32,(Don Emmert/AFP/Getty Images),Professional - getty,,,,1
33,(Courtesy of the Greenwich Police Department),Professional - department,,,,3
34,(Rose Abuin / New York Daily News),Professional - news,,,,1
35,(William Conran/PA via AP),Professional - ap,,,,1
36,"""(Evan Agostini / Getty Images)"",",Professional - getty,,,,1
37,"""(Anonymous / AP)"",",Professional - ap,,,,1
38,"""(RALPH GATTI / AFP/Getty Images)"",",Professional - getty,,,,1
39,"""(Gary Miller / Getty Images)"",",Professional - getty,,,,1
40,"""(Unimedia/REX/Shutterstock)"",",Professional - shutterstock,,,,1
41,"""(Numero Group via AP)"",",Professional - ap,,,,1
42,"""(AP)"",",Professional - ap,,,,1
43,"""(Matthew Eisman / Getty Images)"",",Professional - getty,,,,1
44,"""(Chris Carlson / AP)"",",Professional - ap,,,,1
45,(Michael Ares/Associated Press),Professional - associated press,,,,1
46,(Jon Elswick / AP),Professional - ap,,,,1
47,(Liz O. Baylen/TNS),Professional - tns,,,,1
48,(right) at Story and Soil Coffee in Hartford.,                              ,,,,1
49,(Courtesy of Artichoke Basille's),                              ,,,,1
50,(Matthew D'Alto/Sportech PLC),                              ,,,,1
51,(Cliff Owen / AP),Professional - ap,,,,1
52,(Courant file photo),Professional - file,,,,5
53,(Tree House Brewing Company),Professional - brewing,,,,1
54,(Neil Vigdor / Hartford Courant),Professional - hartford courant,,,,3
55,(AP),Professional - ap,,,,3
56,(Associated Press),Professional - associated press,,,,1
57,(John Woike / Hartford Courant),Professional - hartford courant,,,,9
58,"(Gina Fontana, Correspondent)",Professional - correspondent,,,,1
59,(The Associated Press),Professional - associated press,,,,1
60,(John Gibbins),Professional - tribune,,,,1
61,(Harry Fisher / MORNING CALL File Photo),Professional - file,,,,1
62,(Peter Casolino / Special To The Courant),Professional - the courant,,,,1
63,"(MICHAEL McANDREWS, Hartford Courant)",Professional - hartford courant,,,,1
64,(ASSOCIATED PRESS),Professional - associated press,,,,1
65,(Dave Pickoff / AP),Professional - ap,,,,1
66,(WAS / ASSOCIATED PRESS),Professional - associated press,,,,1
67,(Mike Groll / AP),Professional - ap,,,,1
68,(AP/AP),Professional - ap,,,,1
69,(MICHAEL MCANDREWS / HARTFORD COURANT),Professional - hartford courant,,,,1
70,No Image,                              ,,,,15
71,(Brad Horrigan/The Hartford Courant),Professional - hartford courant,,,,12
72,(Megan Merrigan),                              ,,,,1
73,(Evan Agostini/AP),Professional - ap,,,,1
74,(Provided by the New Britain police),Professional - police,,,,1
75,(Lisa Lake/Getty),Professional - getty,,,,1
76,"(Ted S. Warren, AP)",Professional - ap,,,,1
77,"(Andrea Wise, Special to The Courant)",Professional - the courant,,,,1
78,"""(Stephen Dunn/AP)"",",Professional - ap,,,,5
79,"""(Michael McAndrews / Hartford Courant)"",",Professional - hartford courant,,,,5
80,(Joe Raedle/Getty Images),Professional - getty,,,,1
81,(Stephanie Klein-Davis/The Roanoke Times),Professional - times,,,,1
82,(STEPHEN DUNN/special to the Cour/Special to the Courant),Professional - the courant,,,,1
83,(STEPHEN DUNN/special to the Cour / Special to the Courant),Professional - the courant,,,,1
84,(Hartford Courant),Professional - hartford courant,,,,7
85,(Seth Wenig / AP),Professional - ap,,,,1
86,(Courant file photo / Hartford Courant),Professional - file,,,,1
87,(Getty Images / Getty Images),Professional - getty,,,,1
88,(Cloe Poisson / Hartford Courant),Professional - hartford courant,,,,8
89,(rick hartford / hc),                              ,,,,2
90,(Anitta C. Charlson / McClatchy-Tribune),Professional - tribune,,,,1
91,(David Zalubowski/AP),Professional - ap,,,,1
92,(Don Stacom),                              ,,,,1
93,(Win McNamee / Getty Images),Professional - getty,,,,1
94,(Department of Correction),Professional - department,,,,1
95,(Christopher Keating),                              ,,,,4
96,(Matt Slocum/AP),Professional - ap,,,,1
97,(Mark Wilson/Getty),Professional - getty,,,,2
98,(Jonathan Olson / Special to the Courant),Professional - the courant,,,,1
99,(Stan Godlewski/Special to the Courant),Professional - the courant,,,,1
100,(Provided by the Plainville police),Professional - police,,,,1
101,(Stephen Dunn/AP),Professional - ap,,,,1
102,(Dan Addison),                              ,,,,3
103,(Niedringhaus/AP),Professional - ap,,,,1
104,(United States Patent and Trademark Office),Professional - state,,,,1
105,(Kenneth R. Gosselin / Hartford Courant),Professional - hartford courant,,,,7
106,"""(Lindsay Bukowinski / Hartford Courant)"",",Professional - hartford courant,,,,8
107,"""(Suzie Hunter / Hartford Courant)"",",Professional - hartford courant,,,,1
108,(Win McNamee / AP),Professional - ap,,,,1
109,(Antonio Perez / Chicago Tribune),Professional - tribune,,,,1
110,"""(Brad Horrigan / HANDOUT)"",",Citizen - handout,,,,1
111,(SIMON MAINA/AFP/Getty Images),Professional - getty,,,,1
