Index,Source,P/C,,,,Count
1,"(Photo: Robert Franklin, AP)",Professional - ap,,,,1
2,(Photo: Michelle Pemberton/IndyStar),Professional - indystar,,,,63
3,(Photo: Justin L. Mack/IndyStar),Professional - indystar,,,,10
4,Michelle Pemberton/IndyStar,Professional - indystar,,,,115
5,(Photo: Bobby Goddin/For IndyStar),Professional - indystar,,,,5
6,Bobby Goddin/For IndyStar,Professional - indystar,,,,26
7,"(Photo: Darron Cummings, AP)",Professional - ap,,,,10
8,(Photo: Greg Swiercz/South Bend Tribune via AP),Professional - ap,,,,1
9,(Photo: Brent Drinkut/The Star),Professional - the star,,,,3
10,(Photo: IFD),                              ,,,,2
11,(Photo: Getty Images),Professional - getty,,,,8
12,(Photo: Brian Spurlock-USA TODAY Sports),Professional - usa today,,,,5
13,(Photo: Photo provided by John Karaffa),                              ,,,,6
14,Brad Mills-USA TODAY Sports,Professional - usa today,,,,30
15,No Image,                              ,,,,61
16,(Photo: Lindsay Ray (photo provided)),                              ,,,,2
17,(Photo: Rachael Engle (submitted via Facebook)),Citizen - submitted,,,,2
18,(Photo: Beth Maier (submitted via Facebook)),Citizen - submitted,,,,2
19,(Photo: Rachel Holaday (submitted via Facebook)),Citizen - submitted,,,,2
20,(Photo: Courtesy of BBC/Hartswood Films for MASTERPIECE),Professional - bbc,,,,2
21,(Photo: Jim Davis/For the DNJ),                              ,,,,2
22,(Photo: Submitted Photo),Citizen - submitted,,,,2
23,(Photo: Robert Scheer/IndyStar),Professional - indystar,,,,58
24,(Photo: Jeri Reichanadter/The Star),Professional - the star,,,,1
25,(Photo: Charlie Nye/The Star),Professional - the star,,,,2
26,(Photo: Charlie Nye / The Star),Professional - the star,,,,3
27,(Photo: Matt Detrich / The Star),Professional - the star,,,,1
28,(Photo: (Matt Detrich / The Star),Professional - the star,,,,1
29,(Photo: Frank Espich/IndyStar),Professional - indystar,,,,1
30,(Photo: Kelly Wilkinson/IndyStar),Professional - indystar,,,,43
31,(Photo: Brad Mills-USA TODAY Sports),Professional - usa today,,,,4
32,(Photo: Liz Biro/IndyStar),Professional - indystar,,,,30
33,(Photo: Photo courtesy of Hooters),                              ,,,,2
34,(Photo: Lionsgate Home Entertainment),Professional - entertainment,,,,3
35,(Photo: Contributed photo),Citizen - contributed,,,,2
36,(Photo: Mark Vergari/The Journal News),Professional - news,,,,2
37,(Photo: Matt Detrich/IndyStar),Professional - indystar,,,,6
38,(Photo: Frank Espich/The Star),Professional - the star,,,,4
39,(Photo: Wayne Township Fire),Professional - department,,,,1
40,(Photo: Wayne Township Fire Department),Professional - department,,,,3
41,(Photo: Marion County Sheriff's Office),Professional - county,,,,2
42,Brian Spurlock-USA TODAY Sports,Professional - usa today,,,,7
43,"Brian Spurlock, Brian Spurlock-USA TODAY Sports",Professional - usa today,,,,13
44,"Darron Cummings, AP",Professional - AP,,,,6
45,(Photo: Matt Cashore-USA TODAY Sports),Professional - usa today,,,,3
46,"(Photo: Paul Vernon, AP)",Professional - ap,,,,1
47,(Photo: Purdue Fort Wayne),                              ,,,,1
48,"(Photo: James Crisp, AP)",Professional - ap,,,,1
49,"(Photo: Danny Moloshok, AP)",Professional - ap,,,,1
50,(Photo: Melodie Yvonne Ramey/for IndyStar),Professional - indystar,,,,8
51,Melodie Yvonne Ramey/for IndyStar,Professional - indystar,,,,12
