Index,Source,P/C,,,,Count
1,"(Photo: Kelly Donoho, MSU Athletics)",Professional - athletics,,,,1
2,Andrew Nelles / Tennessean.com,Professional - co.,,,,3
3,Saul Young/News Sentinel,Professional - news,,,,205
4,Calvin Mattheis/News Sentinel,Professional - news,,,,326
5,(Photo: Submitted),Citizen - submitted,,,,52
6,(Photo: Provided / Knoxville Police Department),Professional - department,,,,1
7,(Photo: KNS Archives),Professional - archive,,,,6
8,(Photo: Paul Efird),Professional - news,,,,4
9,(Photo: National Weather Service),Professional - service,,,,3
10,Caitie McMekin/News Sentinel,Professional - news,,,,128
11,(Photo: Calvin Mattheis/News Sentinel),Professional - news,,,,48
12,Brianna Paciorka/News Sentinel,Professional - news,,,,242
13,247Sports,Professional - sports,,,,53
14,Wayne McGahee III/Tallahassee Democrat,                              ,,,,9
15,Joe Rondone / Commercial Appeal,                              ,,,,9
16,govols247.com,Professional - co.,,,,9
17,Jeff Siner / Charlotte Observer,Professional - observer,,,,8
18,(Photo: Brianna Paciorka/News Sentinel ),Professional - news,,,,63
19,(Photo: Courtesy of the Blount County Sheriff's Office),Professional - county,,,,4
20,(Photo: Steve Helber/AP),Professional - ap,,,,1
21,(Photo: Paul Efird / News Sentinel),Professional - news,,,,4
22,Andrew Capps,                              ,,,,6
23,CALVIN MATTHEIS/KNOXVILLE NEWS SENTINEL,Professional - news,,,,1
24,(Photo: Courtesy of Knox County Criminal Records),Professional - county,,,,4
25,Submitted,Citizen - submitted,,,,35
26,(Photo: Getty Images),Professional - getty,,,,1
27,(Photo: Submitted by Knox County Schools),Professional - school,,,,2
28,No Image,                              ,,,,21
29,(Photo: Provided / Monroe County Sheriff's Office),Professional - county,,,,3
30,(Photo: Adam Detour),                              ,,,,1
31,Photo by Marcus B. via Yelp,                              ,,,,1
32,Photo by Dalia B. via Yelp,                              ,,,,1
33,Photo by Loretta C. via Yelp,                              ,,,,1
34,Photo by owner via Yelp,                              ,,,,2
35,Photo by Andrew W. via Yelp,                              ,,,,1
36,Photo by Dan Y. via Yelp,                              ,,,,1
37,Photo by Brian D. via Yelp,                              ,,,,1
38,Photo by Justin V. via Yelp,                              ,,,,1
39,Photo by A B. via Yelp,                              ,,,,1
40,(Photo: Special to the News Sentinel),Professional - news,,,,1
41,(J. MILES CARY/NEWS SENTINEL),Professional - news,,,,1
42,(MICHAEL PATRICK/NEWS SENTINEL),Professional - news,,,,1
43,Michael Patrick,Professional - usa today,,,,3
44,Amy Smotherman Burgess,Professional - news,,,,2
45,(AMY SMOTHERMAN BURGESS/NEWS SENTINEL),Professional - news,,,,7
46,(Paul Efird),Professional - news,,,,1
47,"VALERIE MACON, AFP/Getty Images",Professional - getty,,,,1
48,"Jordan Strauss, Jordan Strauss/Invision/AP",Professional - AP,,,,5
49,"Matt Winkelmeyer, Getty Images for NARAS",Professional - getty,,,,3
50,"Frazer Harrison, Getty Images",Professional - getty,,,,1
51,(Photo: Submitted Photo),Citizen - submitted,,,,2
52,Submitted Photo,Citizen - submitted,,,,5
53,(Photo: Submitted/KUB),Citizen - submitted,,,,1
54,(Photo: Shawn MIllsaps/Special to the News Sentinel),Professional - news,,,,2
55,(Photo: Margie Hagen/Shopper News),Professional - news,,,,3
56,(Photo: Nancy Anderson/Shopper News),Professional - news,,,,5
57,(Photo: Suzy Collins Photography),                              ,,,,3
58,(Photo: Ali James/Shopper News),Professional - news,,,,7
59,(Photo: Republic Records),Professional - record,,,,1
60,(Photo: !K7),                              ,,,,1
61,(Photo: Bella Union),                              ,,,,1
62,(Photo: Epic Records),Professional - record,,,,1
63,(Photo: Minka),                              ,,,,1
64,(Photo: Yippee Ki Yay Records),Professional - record,,,,1
65,(Photo: New West Records),Professional - record,,,,1
66,(Photo: WaterTown Music),                              ,,,,1
67,(Photo: Dualtone Records),Professional - record,,,,1
68,Saul Young,Professional - news,,,,7
69,(Photo: TBI),Citizen - submitted,,,,2
