Index,Source,P/C,,,,Count
1,APRIL GAMIZ / THE MORNING CALL,Professional - morning call,,,,25
2,AP,Professional - AP,,,,5
3,Getty Images/iStockphoto,Professional - getty,,,,1
4,MORNING CALL FILE PHOTO,Professional - file,,,,18
5,No Image,                              ,,,,25
6,Contributed,Citizen - contributed,,,,1
7,Tom McCorkle for The Washington Post,Professional - washington post,,,,1
8,RYAN KNELLER/THE MORNING CALL,Professional - morning call,,,,8
9,Al Seib / Los Angeles Times,Professional - times,,,,1
10,No Credit,                              ,,,,3
11,Keystone / Getty Images,Professional - getty,,,,1
12,Josh Anderson / AP,Professional - AP,,,,1
13,John Locher / AP,Professional - AP,,,,1
14,Stephanie Keith/Getty Images,Professional - getty,,,,1
15,Melissa Krycia/The Morning Call,Professional - morning call,,,,1
16,Abby Drey/Centre Daily Times File Photo via AP,Professional - AP,,,,1
17,Contributed photo / Disney Channel/Ed Herrera,Professional - disney,,,,1
18,Ed Herrera / Disney Channel,Professional - disney,,,,1
19,FILE PHOTO / THE MORNING CALL,Professional - file,,,,8
20,MONICA CABRERA / THE MORNING CALL,Professional - morning call,,,,13
21,Leo Correa/AP,Professional - AP,,,,2
22,J. Scott Applewhite/AP,Professional - AP,,,,2
23,Andrew Harnik/AP,Professional - AP,,,,2
24,CONTRIBUTED PHOTO / NORTHAMPTON COUNTY JAIL,Professional - jail,,,,1
25,Andrew Harnik / AP,Professional - AP,,,,1
26,Obtained by The Washington Post / Obtained by The Washington Post,Professional - washington post,,,,1
27,Courtesy Ed Vallee/Empire Weather,                              ,,,,1
28,MONICA CABRERA / MORNING CALL FILE PHOTO,Professional - file,,,,1
29,Cliff Owen / AP,Professional - AP,,,,1
30,Susan Walsh / AP,Professional - AP,,,,1
31,LARRY NEFF / SPECIAL TO THE MORNING CALL,Professional - morning call,,,,2
32,WILSON POLICE / CONTRIBUTED PHOTO,Professional - police,,,,2
33,AMY SHORTELL / THE MORNING CALL,Professional - morning call,,,,13
34,Matt Rourke / AP,Professional - AP,,,,1
35,Pamela Lehman/THE MORNING CALL,Professional - morning call,,,,1
36,Jevon Clark / AP,Professional - AP,,,,1
37,Billy Fisk photo/The Morning Call file photo,Professional - file,,,,1
38,Gregory Bull/AP,Professional - AP,,,,1
39,Contributed Photo,Citizen - contributed,,,,3
40,Saul Loeb / AFP/Getty Images,Professional - getty,,,,1
41,File photo,Professional - file,,,,2
42,Kenneth K. Lam / Baltimore Sun,Professional - baltimore sun,,,,2
43,SAUL LOEB / AFP/Getty Images,Professional - getty,,,,1
44,APRIL GAMIZ/MORNING CALL FILE PHOTO,Professional - file,,,,1
45,Stocktrek Images / Getty Images/Stocktrek Images,Professional - getty,,,,1
46,DOUG MILLS / AFP/Getty Images,Professional - getty,,,,2
47,Ron Edmonds / AP,Professional - AP,,,,1
48,Yoav Cohen / TNS,Professional - tns,,,,1
49,Jabin Botsford / The Washington Post,Professional - washington post,,,,2
50,RICK KINTZEL / THE MORNING CALL,Professional - morning call,,,,17
51,MONICA CABRERA / TMC / HANDOUT,Citizen - handout,,,,1
52,T'xer Zhon Kha/The Post-Crescent,                              ,,,,1
53,ERIC BARADAT/AFP/Getty Images,Professional - getty,,,,1
54,Kathryn Mersmann / AP,Professional - AP,,,,1
55,Francois Duckett/AP,Professional - AP,,,,1
56,Doug Mills / AFP/Getty Images,Professional - getty,,,,2
57,Al-hadji Kudra Maliro / AP,Professional - AP,,,,1
58,Armando L. Sanchez/Chicago Tribune,Professional - tribune,,,,1
59,CONTRIBUTED PHOTO,Citizen - contributed,,,,2
