Index,Source,P/C,,,,Count
1,(Photo: Leadership Memphis),                              ,,,,2
2,(Photo: Brad Vest/The Commercial Appeal),Professional - the commercial appeal,,,,34
3,Brad Vest/The Commercial Appeal,Professional - the commercial appeal,,,,109
4,No Image,                              ,,,,36
5,(Photo: Joe Rondone/The Commercial Appeal),Professional - the commercial appeal,,,,78
6,"Mark Weber, The Commercial Appeal",Professional - the commercial appeal,,,,484
7,"(Photo: Brandon Dill, AP)",Professional - ap,,,,13
8,"(Photo: David Zalubowski, AP)",Professional - ap,,,,1
9,(Photo: Submitted photo),Citizen - submitted,,,,1
10,(Photo: Submitted),Citizen - submitted,,,,9
11,Jeff Curry-USA TODAY Sports,Professional - usa today,,,,7
12,RUDY GUTIERREZ / EL PASO TIMES,Professional - times,,,,7
13,Tom Tingle/azcentral sports,Professional - sports,,,,7
14,Charles A. Smith/JSU Communications,                              ,,,,7
15,Independent Mail file photo,Professional - file,,,,5
16,The Associated Press,Professional - associated press,,,,14
17,Kyle Terada/USA TODAY Sports,Professional - usa today,,,,3
18,(Photo: The Associated Press),Professional - associated press,,,,6
19,(Photo: Courtesy Thomas Brown / Starkville),                              ,,,,2
20,(Photo: George Walker IV / Tennessean),Professional - tennesse,,,,3
21,(Photo: CHRIS TODD/For Clarion Ledger),                              ,,,,2
22,The Commercial Appeal,Professional - the commercial appeal,,,,18
23,Charles Nicholas / The Commercial Appeal,Professional - the commercial appeal,,,,6
24,Richard Gardner / The Commercial Appeal,Professional - the commercial appeal,,,,1
25,Barney Sellers / The Commercial Appeal,Professional - the commercial appeal,,,,1
26,Leonard Atkins / The Commercial Appeal,Professional - the commercial appeal,,,,1
27,(Photo: Katherine Burgess),                              ,,,,2
28,"(Photo: Mark Weber, The Commercial Appeal)",Professional - the commercial appeal,,,,104
29,(Photo: Yalonda M. James/The Commercial Appeal),Professional - the commercial appeal,,,,8
30,Michael Conroy,Professional - associated press,,,,2
31,Brian Spurlock,Professional - press,,,,4
32,Joe Rondone/The Commercial Appeal,Professional - the commercial appeal,,,,287
33,"(Photo: Brad Vest/The Commercial Appeal, The Commercial Appeal)",Professional - the commercial appeal,,,,83
34,(Photo: Sarah Macaraeg/The Commercial Appeal),Professional - the commercial appeal,,,,2
35,"Brad Vest/The Commercial Appeal, The Commercial Appeal",Professional - the commercial appeal,,,,80
36,(Photo: Le Bonheur Children's Hospital),Professional - hospital,,,,4
37,(Photo: Abbott),Professional - journal,,,,6
38,"(Photo: Nikki Boertman, The Commercial Appeal)",Professional - the commercial appeal,,,,1
39,Mark Weber/The Commercial Appeal,Professional - the commercial appeal,,,,31
40,Mark Weber / The Commercial Appeal,Professional - the commercial appeal,,,,14
41,(Photo: Jennifer Chandler/The Commercial Appeal),Professional - the commercial appeal,,,,1
42,(Photo: Jennifer Chandler),Professional - the commercial appeal,,,,2
43,(Photo: Mark Weber/The Commercial Appeal),Professional - the commercial appeal,,,,13
44,(Photo: Special Collections/University of Memphis Libraries),Professional - university,,,,2
45,(Photo: Focal Point Investments),                              ,,,,2
