Index,Source,P/C,,,,Count
1,(Nhat V. Meyer/Bay Area News Group),Professional - news,,,,93
2,(Jane Tyska/Bay Area News Group),Professional - news,,,,103
3,(Josie Lepe/ Special to the BANG),                              ,,,,9
4,No Credit,                              ,,,,192
5,Photo by Judy Gittelsohn,                              ,,,,1
6,(Courtesy of Google Maps),Professional - google maps,,,,1
7,(Jose Carlos Fajardo/Bay Area News Group),Professional - news,,,,103
8,Photo by George Sakkestad,                              ,,,,1
9,Melina Mara/The Washington Post,Professional - washington post,,,,5
10,Kerem Yucel/Agence France-Presse via Getty Images,Professional - press,,,,1
11,(Photo courtesy of San Jose Jazz),                              ,,,,1
12,(File photo by Karl Mondon/Contra Costa Times),Professional - file,,,,1
13,(Fran Ortiz / Oakland Tribune),Professional - tribune,,,,1
14,(Graphic courtesy BART),                              ,,,,4
15,Martin Bureau/Agence France-Presse archives,Professional - bureau,,,,1
16,Photo courtesy of FYCO,                              ,,,,1
17,AND/AFP/Getty Images,Professional - getty,,,,1
18,Warner Bros. Pictures,Professional - warner bros,,,,1
19,(Aric Crabb/Bay Area News Group),Professional - news,,,,22
20,(Karl Mondon/Bay Area News Group),Professional - news,,,,110
21,"Yale Center for British Art, Yale University Art Gallery collection",Professional - university,,,,1
22,Alex Edelman/Getty Images,Professional - getty,,,,2
23,Odd Andersen/Agence France-Presse via Getty Images,Professional - press,,,,1
24,(Mark Ralston / AFP/Getty Images),Professional - getty,,,,1
25,(Photo by Mark RALSTON / AFP)MARK RALSTON/AFP/Getty Images,Professional - getty,,,,8
26,(Photo courtesy of Debby Rice),                              ,,,,1
27,Staff archives,Professional - staff,,,,1
28,CBS,Professional - cbs,,,,3
29,Jane Tyska/Bay Area News Group,Professional - news,,,,1
30,No Image,                              ,,,,265
31,Jahi Chikwendiu/The Washington Post,Professional - washington post,,,,1
32,Herika Martinez/Agence France-Presse via Getty Images,Professional - press,,,,1
33,(Photo courtesy of Rick Louie),                              ,,,,1
34,(Randy Vazquez/Bay Area News Group),Professional - news,,,,81
35,(Courtesy of Kamala Harris),                              ,,,,9
36,(Courtesy C-SPAN),Professional - c-span,,,,1
37,Joe Raedle/Getty Images,Professional - getty,,,,2
38,(Getty Images),Professional - getty,,,,7
39,(Ray Chavez/Bay Area News Group),Professional - news,,,,118
40,(Katy Murphy/Bay Area News Group),Professional - news,,,,1
41,(Photo courtesy of El Estoque),                              ,,,,1
42,(Bill Hogan/Chicago Tribune),Professional - tribune,,,,14
43,(Vern Fisher – Monterey Herald),Professional - herald,,,,8
44,AMC,Professional - amc,,,,1
45,(Anda Chu/Staff),Professional - staff,,,,1
