Index,Source,P/C,,,,Count
1,(Photo: Submitted),Citizen - submitted,,,,17
2,(Photo: Jon Austria/Naples Daily News),Professional - news,,,,12
3,(Photo: Getty Images for Tony Awards Productions),Professional - getty,,,,1
4,Jon Austria/Naples Daily News,Professional - news,,,,37
5,(Photo: Charlie McDonald Photography),                              ,,,,1
6,Charlie McDonald Photography,                              ,,,,9
7,(Photo: Jessica Rodriguez),                              ,,,,6
8,Jessica Rodriguez,Professional - news,,,,6
9,Alex Driehaus/Naples Daily News,Professional - news,,,,46
10,(Photo: David Leverant),                              ,,,,2
11,(Photo: Luke Franke/Naples Daily News),Professional - news,,,,7
12,(Photo: Greg Hardwig/Naples Daily News),Professional - news,,,,1
13,(Photo: Alex Martin/Special to The News-Press),Professional - press,,,,1
14,(Photo: Special to the Naples Daily News),Professional - news,,,,7
15,(Photo: Katie Klann/Naples Daily News),Professional - news,,,,4
16,"(Photo: Andrew West, Fort Myers News-Press USA TODAY NETWORK- FLORIDA)",Professional - usa today,,,,6
17,(Photo: Morgan Hornsby/Naples Daily News),Professional - news,,,,22
18,(Photo: Submitted photo),Citizen - submitted,,,,6
19,(Photo: NBC2),                              ,,,,8
20,(Photo: Lance Shearer/Marco Eagle Correspondent),Professional - correspondent,,,,1
21,(Photo: CCSO),                              ,,,,6
22,(Photo: Alex Driehaus/Naples Daily News),Professional - news,,,,18
23,(Photo: File),Professional - file,,,,1
24,(Photo: Molly's Marine),                              ,,,,1
25,(Photo: Tim Aten/Naples Daily News),Professional - news,,,,21
26,(Photo: Corey Perrine/Naples Daily News),Professional - news,,,,1
27,(Photo: David Lawrence Center),Professional - center,,,,1
28,(Photo: CONTRIBUTED PHOTO BY HIGHLANDS COUNTY SHERIFF'S OFFICE),Professional - county,,,,1
29,XAVIER MASCAREÑAS/TCPALM,                              ,,,,9
30,(Photo: Andrea Melendez/The News-Press/USA Today),Professional - usa today,,,,5
31,Andrea Melendez/The News-Press/USA Today,Professional - usa today,,,,10
32,(Photo: Scott McIntyre/Naples Daily News),Professional - news,,,,2
33,Dick Patrick,                              ,,,,1
34,Andrew Meade,                              ,,,,2
35,TooJay's,                              ,,,,4
36,TooJay’s,                              ,,,,1
37,(Photo: Collier County Sheriff's Office),Professional - county,,,,5
38,(Photo: Jake Allen/Naples Daily News),Professional - news,,,,1
39,(Photo: Ricardo Rolon/The News-Press),Professional - press,,,,5
40,Ricardo Rolon/The News-Press,Professional - press,,,,14
41,(Photo: Amanda Inscore/The News-Press),Professional - press,,,,3
42,(Photo: Thaddeus Mast/NDN staff),Professional - ndn,,,,4
43,(Photo: Tori Schneider/Tallahassee Democrat),                              ,,,,1
44,"(Photo: Joe Cavaretta, AP)",Professional - ap,,,,1
45,(Photo: Bill Savage/Special to the Naples Daily News),Professional - news,,,,1
46,(Photo: Maryann Batlle/Staff),Professional - staff,,,,2
47,"(Photo: Andrew West, Naples Daily News)",Professional - news,,,,3
48,Andrew West/The News-Press,Professional - press,,,,9
49,(Photo: Olivia Vanni/Naples Daily News),Professional - news,,,,2
50,(Photo: Dorothy Edwards/Naples Daily New),Professional - news,,,,1
51,(Photo: Daily News file),Professional - file,,,,2
52,No Image,                              ,,,,12
53,(Photo: Bill Cotterell/Democrat),                              ,,,,1
54,(Photo: Dorothy Edwards/Naples Daily News),Professional - news,,,,2
55,(Photo: Courtesy Gary Price),                              ,,,,1
56,"(Photo: Andrew Chin, Getty Images)",Professional - getty,,,,1
57,(Photo: AP photo),Professional - ap,,,,1
58,(Photo: La Trattoria),                              ,,,,1
59,Tim Aten/Naples Daily News,Professional - news,,,,8
60,Special to the Naples Daily News,Professional - news,,,,28
61,La Trattoria,                              ,,,,4
62,(Photo: Adam Fisher/Naples Daily News),Professional - news,,,,6
63,(Photo: Tim Aten/Naples Daiily News),Professional - news,,,,1
64,(Photo: Island Gypsy),                              ,,,,4
65,Island Gypsy,                              ,,,,6
66,Tim Aten/Naples Daiily News,Professional - news,,,,1
67,(Photo: David Albers/Naples Daily News),Professional - news,,,,2
68,(Photo: David Albers),Professional - news,,,,1
69,(Photo: Submitted Photo),Citizen - submitted,,,,2
70,(Photo: Community Foundation of Collier County),Professional - foundation,,,,1
71,(Photo: Logan Newell/Special to the Napl),Professional - news,,,,3
72,Logan Newell/Special to the Napl,Professional - news,,,,17
73,(Photo: Thyrie Bland/The News-Press),Professional - press,,,,1
74,(Photo: Special to The News-Press),Professional - press,,,,3
75,"(Photo: Justin Sutcliffe, Copyright 1996 The Tennessean;No Tennessean)",Professional - tennesse,,,,1
76,"(Photo: Gabe Palacio, Copyright Gannett Suburban Newspapers 1998;Yes)",                              ,,,,1
77,(Photo: Photo courtesy of Mark Seliger),                              ,,,,1
78,(Photo: Photo courtesy Francesco Cabras),                              ,,,,1
79,(Photo: Dave Osborn/Naples Daily News),Professional - news,,,,4
80,(Photo: The News-Press file photo),Professional - file,,,,2
81,(Photo: Shelby Reynolds/Naples Daily News),Professional - news,,,,1
82,(Photo: Annabelle Tometich/The News-Press),Professional - press,,,,1
83,(Photo: TCPalm),                              ,,,,4
84,(Photo: PHOTO CONTRIBUTED BY LAURENCE STEINBERG),Citizen - contributed,,,,1
85,"(Photo: Contributed image from Gogtay et al. (2004), PNAS)",Citizen - contributed,,,,1
