Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,16
2,"[Pawtucket Police]"",",Professional - police,,,,1
3,"[The Providence Journal / Kris Craig]"",",Professional - providence journal,,,,21
4,No Image,                              ,,,,24
5,"[Pawtucket Police Department]"",",Professional - department,,,,1
6,"[The Providence Journal/Steve Szydlowski]"",",Professional - providence journal,,,,7
7,"Photo and vidoe provided by Providence Police"",",Professional - police,,,,1
8,"[Rhode Island State Police photo]"",",Professional - state,,,,1
9,"[The Providence Journal file / Glenn Osmundson]"",",Professional - file,,,,1
10,"[The Providence Journal file/ 2004]"",",Professional - file,,,,1
11,"[The Providence Journal file/ Sandor Bodo]"",",Professional - file,,,,1
12,"(AP Photo/Cliff Owen, File)"",",Professional - file,,,,1
13,"[The Providence Journal / Brian Amaral]"",",Professional - providence journal,,,,1
14,"""PROVIDENCE JOURNAL / STEVE SZYDLOWSKI"",",Professional - providence journal,,,,1
15,"[AP files]"",",Professional - ap,,,,1
16,"[Getty Images]"",",Professional - getty,,,,1
17,"[The Providence Journal / Steve Szydlowski]"",",Professional - providence journal,,,,9
18,"[The Providence Journal / Linda Borg]"",",Professional - providence journal,,,,1
19,"[The Providence Journal / Sandor Bodo]"",",Professional - providence journal,,,,12
20,"[Jack Brook photo / Special to The Journal]"",",Professional - journal,,,,1
21,"[The Providence Journal, file / Kris Craig]"",",Professional - file,,,,1
22,"[Providence Police Department]"",",Professional - department,,,,1
23,"[Zuma Press / TNS]"",",Professional - tns,,,,1
24,"[The Providence Journal/Sandor Bodo]"",",Professional - providence journal,,,,2
25,"[Journal files]"",",Professional - journal,,,,4
26,"[AP photo / Charles Krupa]"",",Professional - ap,,,,1
27,"(AP Photo/Carolyn Kaster)"",
						",Professional - ap,,,,2
28,"(Doug Mills/The New York Times via AP, Pool)"",
						",Professional - ap,,,,3
29,"(Olivier Douliery/Abaca Press/TNS)"",
						",Professional - tns,,,,3
30,"(AP Photo/J. Scott Applewhite)"",
						",Professional - ap,,,,1
31,"(AP Photo/Andrew Harnik)"",
						",Professional - ap,,,,1
32,"[The Providence Journal, file]"",",Professional - file,,,,3
33,"[R.I. State Police]"",",Professional - state,,,,1
34,"[Warwick Police Department]"",",Professional - department,,,,1
35,"[AP / Michael Dwyer]"",
						",Professional - ap,,,,1
36,"[The Providence Journal/Steve Szydlowski]"",
						",Professional - providence journal,,,,3
37,"[The Providence Journal / Steve Szydlowski]"",
						",Professional - providence journal,,,,1
38,"[AP / Steven Senne]"",
						",Professional - ap,,,,1
39,"(AP Photo/Michael Dwyer)"",
						",Professional - ap,,,,1
40,"[The Providence Journal/Bob Breidenbach]"",",Professional - providence journal,,,,2
41,"[The Providence Journal / Bob Breidenbach]"",
						",Professional - providence journal,,,,10
42,"[Providence Journal photo / Steve Szydlowski]"",",Professional - providence journal,,,,2
43,"(Photo by Amy Harris/Invision/AP, File)"",",Professional - file,,,,1
44,"(AP Photo file /Alex Brandon)"",",Professional - file,,,,1
45,"[The National Weather Service]"",",Professional - service,,,,1
46,"[The Providence Journal / Bob Breidenbach]"",",Professional - providence journal,,,,6
47,"[The Providence Journal / Frieda Squires]"",",Professional - providence journal,,,,1
48,"[Boston Herald / Matt West]"",",Professional - boston herald,,,,1
49,"[The Providence Journal, file / Bob Thayer]"",",Professional - file,,,,1
50,"""PROVIDENCE JOURNAL / BOB BREIDENBACH"",",Professional - providence journal,,,,2
51,"[Courtesy of Glocester police]"",",Professional - police,,,,1
52,"[MCT]"",",                              ,,,,1
53,"[Courtesy of Coventry police]"",",Professional - police,,,,1
54,"[The Providence Journal, file / Sandor Bodo]"",",Professional - file,,,,1
55,"[Providence Journal photo / Bob Breidenbach]"",",Professional - providence journal,,,,1
56,"[Courtesy of Providence police]"",",Professional - police,,,,2
57,"[CONTRIBUTED PHOTO BY PORTSMOUTH POLICE]"",",Professional - police,,,,2
58,"(Photo by Owen Sweeney/Invision/AP, File)"",",Professional - file,,,,1
59,"[The Providence Journal, file / Steve Szydlowski]"",",Professional - file,,,,2
60,"[AP Photo/Matt Sayles]"",",Professional - ap,,,,1
61,"[Samuel Adams photo]"",",                              ,,,,1
62,"[Courtesy of Fall River police]"",",Professional - police,,,,1
63,"[Constance Brown on behalf of Middle East Studies, Brown University]"",",Professional - university,,,,1
64,"(AP Photo/Elise Amendola, Pool, File)"",",Professional - file,,,,1
65,"[The Providence Journal file/ Kris Craig]"",",Professional - file,,,,1
66,"[Courtesy of Providence Police]"",",Professional - police,,,,1
67,"[South Kingstown police photo]"",",Professional - police,,,,1
68,"[The Providence Journal/ Brian Amaral]"",",Professional - providence journal,,,,1
