Index,Source,P/C,,,,Count
1,Photo: Amy Osborne / Special to The Chronicle,Professional - the chronicle,,,,25
2,Photo: Jeannette Montgomery Barron,                              ,,,,1
3,Photo: Maddie Meyer / Getty Images,Professional - getty,,,,1
4,Photo: Bill Kostroun / Associated Press 2018,Professional - associated press,,,,1
5,No Image,                              ,,,,7
6,Photo: Caltrans,Professional - caltrans,,,,2
7,Photo: Allen J. Schaben / TNS,Professional - tns,,,,1
8,Photo: Curtis Baker,                              ,,,,2
9,Photo: Eli Turner,                              ,,,,1
10,Photo: Chronicle file photo 1945,Professional - file,,,,1
11,"Photo: Chronicle file photo, Chronicle file photo",Professional - file,,,,1
12,Photo: Chronicle file photo 2007,Professional - file,,,,1
13,"Photo: Joan Marcus, SHN 2017",                              ,,,,1
14,"Photo: Alice Baxley, BB Gun Press",Professional - press,,,,1
15,Photo: BB Gun Press,Professional - press,,,,1
16,Photo: Chris Trotman / Getty Images,Professional - getty,,,,5
17,Photo: Jeff Gross / Getty Images,Professional - getty,,,,3
18,Photo: Eric Risberg / Associated Press,Professional - associated press,,,,5
19,Photo: Art Frisch / The Chronicle,Professional - the chronicle,,,,2
20,Photo: Chronicle archive,Professional - archive,,,,1
21,Photo: Chronicle file / The Chronicle,Professional - file,,,,1
22,Photo: Jessica Christian / The Chronicle,Professional - the chronicle,,,,113
23,Photo: Michael Macor / The Chronicle,Professional - the chronicle,,,,11
24,Photo: Jessica Christian / The Chronicle 2018,Professional - the chronicle,,,,7
25,Photo: Justin Sullivan / Getty Images,Professional - getty,,,,5
26,Photo: Paul Chinn / The Chronicle,Professional - the chronicle,,,,42
27,Photo: Carlos Avila Gonzalez / The Chronicle,Professional - the chronicle,,,,59
28,"Photo: Carlos Avila Gonzalez, The Chronicle",Professional - the chronicle,,,,8
29,Photo: Yalonda M. James / The Chronicle,Professional - the chronicle,,,,30
30,Photo: Calla Kessler / Special to The Chronicle,Professional - the chronicle,,,,2
