Index,Source,P/C,,,,Count
1,No Image,                              ,,,,7
2,Ed Murray | NJ Advance Media for,Professional - media,,,,1
3,AP Photo,Professional - ap,,,,2
4,Marvin Fong,                              ,,,,2
5,Aristide Economopoulos,Professional - media,,,,1
6,"Sapone, Patti",                              ,,,,1
7,(Andre Malok | NJ Advance Media for NJ.com),Professional - co.,,,,1
8,No Credit,                              ,,,,4
9,Patrick Semansky,Professional - AP,,,,1
10,Lynne Stadky,Professional - AP,,,,1
11,Fernando Llano,Professional - associated press,,,,1
12,AL.com reports,Professional - co.,,,,1
13,John Munson | NJ Advance Media for NJ.com,Professional - co.,,,,2
14,Matt Rourke,Professional - AP,,,,1
15,Andrew Harnik,Professional - AP,,,,1
16,David Goldman,Professional - associated press,,,,2
17,photo illustration,Professional - wall street journal,,,,1
18,Julio Cortez,Professional - AP,,,,1
19,John Minchillo,Professional - associated press,,,,1
20,David J. Phillip,Professional - AP,,,,1
21,Michael Ainsworth,Professional - associated press,,,,1
22,John Bazemore | AP,Professional - AP,,,,1
23,Richard Speedy,                              ,,,,1
24,The Associated Press,Professional - associated press,,,,1
25,Charles Krupa,Professional - associated press,,,,1
26,Aristide Economopoulos / NJ Advance Media,Professional - media,,,,1
27,Star-Ledger file photo,Professional - file,,,,1
