Index,Source,P/C,,,,Count
1,Courtesy: McClatchy Co.,Professional - co.,,,,9
2,Provided Provided,                              ,,,,2
3,Brad Loper Special to the Star-Telegram,Professional - star-telegram,,,,2
4,Courtesy: Denton police,Professional - police,,,,1
5,Courtesy: Star-Telegram archives,Professional - star-telegram,,,,3
6,Jim Cowsert AP,Professional - AP,,,,1
7,No Image,                              ,,,,22
8,Richard W. Rodriguez rrodriguez@star-telegram.com,Professional - co.,,,,2
9,Rick Yeatts Rick Yeatts Photography,                              ,,,,3
10,Steve Nurenberg Special to the Star-Telegram,Professional - star-telegram,,,,15
11,Ryan Michalesko The Dallas Morning News,Professional - news,,,,1
12,Rod Aydelotte AP,Professional - AP,,,,4
13,Matthew Putney AP,Professional - AP,,,,2
14,Amanda McCoy amccoy@star-telegram.com,Professional - co.,,,,28
15,Grand Prairie Police Department Courtesy photo,Professional - department,,,,2
16,Glen E. Ellman Glen E. Ellman,                              ,,,,1
17,Amanda McCoy The Star-Telegram,Professional - star-telegram,,,,1
18,Anna M. Tinsley,Professional - co.,,,,1
19,Marcio Jose Sanchez AP,Professional - AP,,,,2
20,Dreamstime TNS,Professional - tns,,,,2
21,Mac Engel Star-Telegram,Professional - star-telegram,,,,4
22,No Credit,                              ,,,,28
23,Rodger Mallison rmallison@star-telegram.com,Professional - co.,,,,3
24,Anna M. Tinsley atinsley@star-telegram.com,Professional - co.,,,,2
25,Matthew Smith Courtesy,                              ,,,,2
26,Ray Carlin Special to the Star-Telegram,Professional - star-telegram,,,,2
27,Brian Gosset bgosset@star-telegram.com,Professional - co.,,,,18
28,LM Otero AP,Professional - AP,,,,9
29,Max Faulkner Star-Telegram,Professional - star-telegram,,,,1
30,James Phifer Fort Worth Stock Show Rodeo,                              ,,,,1
31,Nikki Boertman TNS,Professional - tns,,,,1
32,Associated Press,Professional - associated press,,,,2
33,Courtesy Carrie Hubbard,                              ,,,,4
34,Courtesy Lance Rowe,                              ,,,,1
35,Courtesy/Carrie Hubbard,                              ,,,,1
36,Tom Johanningmeier,                              ,,,,1
37,Texas Department of Criminal Justice,Professional - texas,,,,1
38,Rodger Mallison Star-Telegram archive,Professional - star-telegram,,,,1
39,Carroll ISD Courtesy,                              ,,,,1
40,John Winkler,                              ,,,,3
41,Max Faulkner mfaulkner@star-telegram.com,Professional - co.,,,,54
42,PBR,                              ,,,,1
43,Star-Telegram archives,Professional - star-telegram,,,,12
44,Drew Davison ddavison@star-telegram.com,Professional - co.,,,,2
45,Max Faulkner   mfaulkner@star-telegram.com,Professional - co.,,,,3
46,David Kent AP,Professional - AP,,,,4
47,Bob Booth Bob Booth,                              ,,,,9
48,JOHN GAPS III ASSOCIATED PRESS,Professional - associated press,,,,1
49,Powers Imagery Powers Imagery/Invision/AP,Professional - AP,,,,3
50,"Handout photo, Austin James",Citizen - handout,,,,2
51,Sydney Orsak,                              ,,,,2
52,Sandy Clapp,                              ,,,,1
53,Nancy Farrar Special to the Star-Telegram,Professional - star-telegram,,,,1
54,Bud Kennedy bud@star-telegram.com,Professional - co.,,,,13
55,Nicholas Sakelaris Special to the Star-Telegram,Professional - star-telegram,,,,3
56,Jonathan Pena Courtesy,                              ,,,,1
57,Ron Jenkins AP,Professional - AP,,,,2
58,Courtesy,Citizen - family,,,,21
59,Family photo,Citizen - family,,,,1
60,Courtesy Dallas Area Rapid Transit,                              ,,,,1
61,Gordon Dickson,                              ,,,,11
62,TSA,Professional - times,,,,1
63,Knox Laboratories Courtesy,                              ,,,,1
64,Julia Walsh Courtesy,                              ,,,,1
65,Max Faulkner Fort Worth Star-Telegram,Professional - star-telegram,,,,1
66,North Texas Athletics,Professional - texas,,,,1
67,Stefan Stevenson sstevenson@star-telegram.com,Professional - co.,,,,1
68,Star-Telegram file photo,Professional - file,,,,1
69,Domingo Ramirez Jr. ramirez@star-telegram.com,Professional - co.,,,,5
70,LD Bell WBB,Professional - bell,,,,1
71,Terry Evans Special to the Star-Telegram,Professional - star-telegram,,,,5
72,John J. Kim TNS,Professional - tns,,,,1
73,Rodger Mallison TNS,Professional - tns,,,,1
74,Mark Tenally AP Photo,Professional - ap,,,,1
75,U.S. Marshals Courtesy photo,                              ,,,,1
76,Amanda McCoy   amccoy@star-telegram.com,Professional - co.,,,,2
77,Family Photo,Citizen - family,,,,2
78,Tarrant County Jail,Professional - jail,,,,2
79,GoFundMe page,Professional - gofundme,,,,2
