Index,Source,P/C,,,,Count
1,"(AP Photo/Carolyn Kaster, File)"",",Professional - file,,,,1
2,"[RICARDO B. BRAZZIELL/AMERICAN-STATESMAN]"",",Professional - american,,,,36
3,"[Photo courtesy Austin Water]"",",                              ,,,,1
4,No Credit,                              ,,,,124
5,"[AP Photo/Marcio Jose Sanchez]"",",Professional - ap,,,,1
6,"[RICARDO B. BRAZZIELL / AMERICAN-STATESMAN]"",",Professional - american,,,,3
7,"[SIETE]"",",                              ,,,,6
8,"[Photo by African American Family Support Conference]"",",Professional - american,,,,1
9,"[NICK WAGNER/AMERICAN-STATESMAN]"",",Professional - american,,,,18
10,"[JAY JANNER/AMERICAN-STATESMAN]"",",Professional - american,,,,22
11,"[Stephen Spillman / For American-Statesman]"",",Professional - american,,,,7
12,"[ANA RAMIREZ/AMERICAN-STATESMAN]"",",Professional - american,,,,9
13,"[TEXAS DEPARTMENT OF PUBLIC SAFETY]"",",Professional - texas,,,,2
14,"[Tom Reel/San Antonio Express-News]"",",Professional - press,,,,2
15,"[Ronald Martinez/AAF/Getty Images]"",",Professional - getty,,,,1
16,"[CONROE POLICE DEPARTMENT]"",",Professional - department,,,,1
17,"[BELL COUNTY JAIL]"",",Professional - bell,,,,4
18,"[CONTRIBUTED PHOTOS]"",",Citizen - contributed,,,,1
19,"[EMORY BRYAN / NEWS ON 6]"",",Professional - news,,,,1
20,"[COURTESY OF DOTTIE PEASE]"",",                              ,,,,1
21,"[COURTESY OF MUSKEGON COUNTY]"",",Professional - county,,,,1
22,"[James Gregg for AMERICAN-STATESMAN]"",",Professional - american,,,,2
23,"[AP Photo/Alex Brandon]"",",Professional - ap,,,,1
24,"[AP Photo/Eric Gay]"",",Professional - ap,,,,1
25,"[NATIONAL WEATHER SERVICE]"",",Professional - service,,,,12
26,"[Facebook.com/AustinRiverside]"",",Professional - co.,,,,1
27,"[The Beck Group]"",",Professional - group,,,,1
28,"[SCOTT HALLERAN/GETTY IMAGES]"",",Professional - getty,,,,1
29,"[LYNDA M. GONZALEZ/AMERICAN-STATESMAN]"",",Professional - american,,,,3
30,"[STEPHEN SPILLMAN/FOR STATESMAN]"",",Professional - statesman,,,,1
31,"[AUSTIN AMERICAN-STATESMAN FILE PHOTO]"",",Professional - file,,,,1
32,"[NBC NEWS]"",",Professional - news,,,,1
33,"[RALPH BARRERA/AMERICAN-STATESMAN]"",",Professional - american,,,,9
34,"[JOHN GUTIERREZ / FOR AMERICAN-STATESMAN]"",",Professional - american,,,,2
35,"[Ricardo B. Brazziell/American-Statesman]"",",Professional - american,,,,1
36,"[MICHAEL DWYER/THE ASSOCIATED PRESS]"",",Professional - associated press,,,,1
37,"[PAUL ABELL/INVISION]"",",Professional - invision,,,,1
38,"[JEFFREY R. STAAB/GETTY IMAGES]"",",Professional - getty,,,,1
39,"[Texas Parks and Wildlife Department]"",",Professional - texas,,,,2
40,"(James Gregg/AMERICAN-STATESMAN)"",",Professional - american,,,,1
