Index,Source,P/C,,,,Count
1,DOUGLAS R. CLIFFORD,Professional - times,,,,38
2,No Image,                              ,,,,142
3,[CHRIS URSO | Times],Professional - times,,,,22
4,No Credit,                              ,,,,353
5,TAILYR IRVINE,Professional - times,,,,20
6,[EDUARDO A. ENCINA | Times],Professional - times,,,,4
7,[Twitter],Citizen - twitter,,,,1
8,[MONICA HERNDON | Times],Professional - times,,,,10
9,[ROB CARR | AP],Professional - ap,,,,2
10,[Photo by Charlie Frago],                              ,,,,1
11,[Times],Professional - times,,,,3
12,JAMES BORCHUCK,Professional - press,,,,3
13,"[Courtesy of Behar Peteranecz, Architecture]",Professional - architect,,,,2
14,MONICA HERNDON,Professional - press,,,,31
15,LOREN ELLIOTT,Professional - getty,,,,4
16,[MARC TOPKIN | Times],Professional - times,,,,2
17,"[Photo by Scott Audette, courtesy of the Tampa Bay Lightning]",                              ,,,,1
18,[Photo Luis Santana | Times],Professional - times,,,,4
19,SCOTT PURKS,                              ,,,,21
20,[Plant City Police Department],Professional - city,,,,2
21,[DIRK SHADD | Times],Professional - times,,,,15
22,[TAYLIR IRVINE | Times],Professional - times,,,,1
23,[JIM DAMASKE | Times],Professional - times,,,,3
24,[DANIEL WALLACE | Times],Professional - times,,,,1
25,[Photo provided by Trisha E. Photo],                              ,,,,1
26,[Florida Atlantic University],Professional - university,,,,1
27,CHRIS URSO,Professional - press,,,,13
28,[Jack Evans | Times],Professional - times,,,,2
29,[IRS.Gov],Professional - .gov,,,,2
30,[Times files],Professional - times,,,,37
31,"[WILL VRAGOVIC, Times]",Professional - times,,,,2
32,[EVE EDELHEIT | Times],Professional - times,,,,2
33,RODNEY PAGE,                              ,,,,2
34,[WTSP],                              ,,,,2
35,[HCSO],                              ,,,,3
36,[WILLIAM R. LEVESQUE | Times],Professional - times,,,,2
37,[LUIS SANTANA | TIMES],Professional - times,,,,1
38,[Photo courtesy of Theresa Odom],                              ,,,,1
39,BRONTE WITTPENN,Professional - times,,,,3
40,[CHUCK KENNEDY/KRT],                              ,,,,2
41,[Diana C. Nearhos | Times],Professional - times,,,,7
42,[Times (2015)],Professional - times,,,,1
43,[World of Wonders],                              ,,,,1
44,[City of St. Petersburg],Professional - city,,,,2
45,[DOUGLAS R. CLIFFORD | Times (2018)],Professional - times,,,,1
46,[Evan Vucci | AP],Professional - ap,,,,1
47,SCOTT KEELER,Professional - times,,,,13
48,[All Children's press release],Professional - press,,,,2
49,GABRIELLA ANGOTTI-JONES,Professional - the chronicle,,,,1
50,MEGAN REEVES,                              ,,,,2
51,LUIS SANTANA,Professional - times,,,,1
52,[Photos.com],Professional - co.,,,,2
53,[Courtesy of Smith & Associates Real Estate],Professional - real estate,,,,1
54,[NerdWallet],                              ,,,,1
55,[Zade Rosenthal],Professional - columbia,,,,1
56,[TIMES FILES],Professional - times,,,,4
57,DIRK SHADD,Professional - times,,,,20
58,[ Zach Gibson | Bloomberg],Professional - bloomberg,,,,1
59,JOHN PENDYGRAFT,                              ,,,,1
60,[OCTAVIO JONES | Times ],Professional - times,,,,5
61,[DOUGLAS R. CLIFFORD | Times],Professional - times,,,,5
62,OCTAVIO JONES,Professional - times,,,,7
63,NEAL PRESTON,Professional - AP,,,,1
64,[Hillsborough County Sherrif’s Office],Professional - county,,,,2
65,Jay Cridlin,                              ,,,,2
66,[Times Files],Professional - times,,,,3
67,[OCTAVIO JONES | Times],Professional - times,,,,4
68,[CHRIS URSO | Times},Professional - times,,,,1
69,"[James Borchuck | Times, 2015]",Professional - times,,,,1
70,[email protected] Courtesy of Beth Putnam,                              ,,,,1
71,[Times photo by BRONTE WITTPENN],Professional - times,,,,1
72,[LARA CERRI | Times],Professional - times,,,,3
73,[LUIS SANTANA | Times],Professional - times,,,,8
74,Courtesy of Church by the Sea,Professional - church,,,,1
