Index,Source,P/C,,,,Count
1,"""THE BLADE\/AMY E. VOIGT"",",Professional - blade,,,,33
2,No Credit,                              ,,,,52
3,"""THE BLADE\/LORI KING"",",Professional - blade,,,,49
4,"""ProMedica"",",Professional - promedica,,,,1
5,"""THE BLADE\/DAVE ZAPOTOSKY"",",Professional - blade,,,,7
6,"""THE BLADE\/KURT STEISS"",",Professional - blade,,,,29
7,"""COURTESY OF RHONDA CASSIDY"",",                              ,,,,2
8,"""GREG SMITH"",",                              ,,,,1
9,"""ASSOCIATED PRESS"",",Professional - associated press,,,,21
10,"""COLIN HASS-HILL\/TWITTER"",",Citizen - twitter,,,,1
11,"""THE BLADE\/KYLE ROWLAND"",",Professional - blade,,,,5
12,"""BLADE\/KYLE ROWLAND"",",Professional - blade,,,,3
13,"""THE BLADE\/REBECCA BENSON"",",Professional - blade,,,,18
14,"""TOLEDO POLICE DEPARTMENT"",",Professional - department,,,,2
15,"""THE BLADE\/JEREMY WADSWORTH"",",Professional - blade,,,,26
16,"""THE BLADE"",",Professional - blade,,,,86
17,"""FROM FACEBOOK"",",Citizen - facebook,,,,2
18,"""The Blade"",",Professional - blade,,,,31
19,"""WWE"",",Professional - wwe,,,,2
20,"""The Blade\/Rebecca Benson"",",Professional - blade,,,,14
21,"""The Blade\/Jetta Fraser"",",Professional - blade,,,,5
22,"""THE BLADE\/JETTA FRASER"",",Professional - blade,,,,4
23,"""HOLLYWOOD PICTURES"",",Professional - hollywood pictures,,,,1
24,"""The Blade\/Dave Zapotosky"",",Professional - blade,,,,22
25,"""The Blade\/Jeremy Wadsworth"",",Professional - blade,,,,2
26,"""THE BLADE \/ DAVE ZAPOTOSKY"",",Professional - blade,,,,1
27,"""THE BLADE\/ANDY MORRISON"",",Professional - blade,,,,14
28,"""COLUMBUS DISPATCH"",",Professional - dispatch,,,,2
29,"""SENECA ANTI-WIND UNION"",",Professional - seneca anti-wind,,,,2
30,"""THE BLADE\/ROXANNE ELIAS"",",Professional - blade,,,,1
31,"""The Blade\/Kurt Steiss"",",Professional - blade,,,,3
32,"""THE BLADE\/DAVID PATCH"",",Professional - blade,,,,2
33,"""The Blade\/David Patch"",",Professional - blade,,,,1
34,"""THE BLADE\/TOLEDO TIMES"",",Professional - times,,,,1
35,"""THE BLADE\/HERRAL LONG"",",Professional - blade,,,,3
36,"""The Blade\/Amy E. Voigt"",",Professional - blade,,,,28
37,"""Associated Press"",",Professional - associated press,,,,1
38,"""The Blade\/Andy Morrison"",",Professional - blade,,,,6
39,"""XRui Photography"",",                              ,,,,2
40,"""THE TELEGRAPH HERALD\/JESSICA REILLY"",",Professional - herald,,,,5
41,"""Waterloo-Cedar Falls Courier\/Kelly Wenzel"",",Professional - waterloo-cedar falls courier,,,,2
42,"""THE BLADE\/PHILLIP KAPLAN"",",Professional - blade,,,,7
43,"""THE BLADE \/PHILLIP KAPLAN"",",Professional - blade,,,,1
44,"""DETROIT INSTITUTE OF ARTS"",",Professional - institute of arts,,,,5
45,"""BLADE"",",Professional - blade,,,,1
46,"""COURTESY RAMON 'BUDDY' CARR"",",                              ,,,,1
47,"""THE BLADE DRONE\/DAVID PATCH"",",Professional - blade,,,,2
48,"""Handout not Blade photo"",",Professional - blade,,,,1
49,"""Toledo Blade"",",Professional - blade,,,,1
50,"""The Blade\/ Amy E. Voigt"",",Professional - blade,,,,4
51,"""THE BLADE\/LUKE BLACK"",",Professional - blade,,,,1
52,"""THE BLADE\/LEE MERKLE"",",Professional - blade,,,,3
53,"""THE BLADE\/BRUCE SINNER"",",Professional - blade,,,,1
54,"""TOLEDO ZOO\/COREY WYCKOFF"",",                              ,,,,3
55,"""THE BLADE\/TOM HENRY"",",Professional - blade,,,,2
