Index,Source,P/C,,,,Count
1,Hampton Police Division / Handou,Professional - division,,,,1
2,Steve Earley/Staff,Professional - staff,,,,90
3,David Macaulay/For The Virginian-Pilot,Professional - virginian-pilot,,,,3
4,U.S. Army,Professional - reuters,,,,1
5,Patrick Evans-Hylton/For The Virginian-Pilot,Professional - virginian-pilot,,,,2
6,No Image,                              ,,,,30
7,Stephen M. Katz/Staff,Professional - staff,,,,31
8,Courtesy Sam Edwards IV,                              ,,,,1
9,Courtesy Sam Edwards III,                              ,,,,1
10,Adrin Snider / Daily Press file photo,Professional - file,,,,1
11,Kristen Zeis/Staff,Professional - staff,,,,35
12,Elisha Sauers/Staff,Professional - staff,,,,4
13,L. Todd Spencer| The Virginian-Pilottodd.spencer@pilotonline.com,Professional - co.,,,,1
14,Bill Tiernan| The Virginian-Pilotbill.tiernan@pilotonline.com,Professional - co.,,,,1
15,Pilot file/Staff,Professional - file,,,,1
16,Roman Lyskowski/Staff,Professional - staff,,,,1
17,Martin Smith-Rodden | The Virginian-Pilot,Professional - virginian-pilot,,,,1
18,Kimberly Pierceall/Staff,Professional - staff,,,,6
19,Washington Post photo by Katherine Frey,Professional - washington post,,,,2
20,Steve Helber/AP Photo,Professional - ap,,,,6
21,Rich-Joseph Facun | The Virginian-Pilot,Professional - virginian-pilot,,,,2
22,Briana Adhikusuma/Staff/Staff,Professional - staff,,,,1
23,Briana Adhikusuma | Staff/Staff,Professional - staff,,,,4
24,Matthew Korfhage | The Virginian-Pilot,Professional - virginian-pilot,,,,6
25,"By Kimberly Pierceall 
Staff writer",Professional - staff,,,,3
26,Stacy Parker/Staff,Professional - staff,,,,3
27,Robyn Sidersky/Staff,Professional - staff,,,,3
28,Saleen Martin/Staff,Professional - staff,,,,3
29,Rob Ostermaier/Staff,Professional - staff,,,,3
30,Bob Brown/Richmond Times-Dispatch via AP,Professional - AP,,,,3
31,LM Otero | AP Photo,Professional - ap,,,,1
32,Pexels.com,Professional - co.,,,,2
33,Thomas Slusser | Special to The Virginian-Pilot,Professional - virginian-pilot,,,,1
34,herecomesthebus.com,Professional - co.,,,,1
35,Photo courtesy of Longwood,                              ,,,,3
36,Ed Miller/Staff,Professional - staff,,,,1
37,Nate Delesline III/Staff,Professional - staff,,,,1
38,Bill Tiernan | The Virginian-Pilot,Professional - virginian-pilot,,,,5
39,Eric Hodies/For The Virginian-Pilot,Professional - virginian-pilot,,,,2
40,Jeff Hampton/Staff,Professional - staff,,,,3
41,"By Jeff Hampton 
Staff writer",Professional - staff,,,,2
42,L. Todd Spencer/Staff,Professional - staff,,,,25
43,Jason Hirschfeld/For The Virginian-Pilot/For The Virginian-Pilot,Professional - virginian-pilot,,,,1
44,Daniel Acker/Bloomberg,Professional - bloomberg,,,,3
45,Virginia Department of Health,Professional - department,,,,1
46,Andrew Henderson,                              ,,,,1
47,Steve Helber file photo | Associated Press,Professional - file,,,,1
48,Briana Adhikusuma/Staff,Professional - staff,,,,1
49,NOAA via AP,Professional - AP,,,,1
50,The Washington Post,Professional - washington post,,,,1
51,Courtesy of Armada Hoffler,                              ,,,,1
52,Reema Amin/Staff,Professional - staff,,,,1
53,Family photo/Katie Palmer,Citizen - family,,,,1
54,Newport Newport Police Department,Professional - department,,,,1
55,Stephen M. Katz | The Virginian-Pilot,Professional - virginian-pilot,,,,7
56,Jane Harper/Staff,Professional - staff,,,,1
