Index,Source,P/C,,,,Count
1,(Photo: ROBERT HANASHIRO/USA TODAY),Professional - usa today,,,,10
2,(Photo: Doug Hood ),                              ,,,,44
3,(Photo: Jerry Carino),                              ,,,,5
4,(Photo: Bob Bielk/Gannett NJ),                              ,,,,1
5,Steph Solis,Professional - asbury park press,,,,9
6,(Photo: Nordstrom and Anthropologie),                              ,,,,1
7,(Photo: Sugarfina),                              ,,,,1
8,(Photo: Barefoot Dreams),                              ,,,,1
9,(Photo: Amazon),Professional - amazon,,,,1
10,(Photo: Reviewed / Jackson Ruckar),                              ,,,,1
11,(Photo: Nordstrom),                              ,,,,2
12,(Photo: UGG),                              ,,,,1
13,(Photo: Anthropologie),                              ,,,,1
14,(Photo: Sephora),                              ,,,,1
15,(Photo: Gary Gershoff / Getty Images),Professional - getty,,,,1
16,(Photo: Greg Allen/Invision/AP),Professional - ap,,,,1
17,(Photo: Rob Ball/WireImage),Professional - wireimage,,,,1
18,"(Photo: Tim P. Whitby, Getty Images)",Professional - getty,,,,1
19,(Photo: Mark Weber/The Commercial Appeal/USA TODAY NETWORK),Professional - the commercial appeal,,,,1
20,(Photo: Barry Schneier),                              ,,,,8
21,(Photo: Rob Sellig),                              ,,,,2
22,(Photo: Amy Harris/Invision/AP),Professional - ap,,,,1
23,None,Professional - gazette,,,,1
24,Kevin Mazur/Getty Images for Coachella,Professional - getty,,,,1
25,Erika Goldring/WireImage,Professional - wireimage,,,,1
26,Dimitrios Kambouris/Getty Images for Diamond Ball,Professional - getty,,,,1
27,Jerritt Clark/Getty Images for McDonald's,Professional - getty,,,,1
28,WARNER BROS. PICTURES,Professional - warner bros,,,,1
29,Getty Images for BET and Getty Images for Coachella respectively,Professional - getty,,,,1
30,FilmMagic For dcp and Invision/AP respectively,Professional - ap,,,,1
31,Jeff Kravitz/FilmMagic,                              ,,,,1
32,No Image,                              ,,,,32
33,(Photo: DOUG HOOD/ASBURY PARK PRESS),Professional - asbury park press,,,,1
34,"(Photo: gemphotography, Getty Images/iStockphoto)",Professional - getty,,,,1
35,(Photo: Courtesy of Essex County Prosecutor's Office),Professional - county,,,,1
36,(Photo: Courtesy o),Professional - coast guard,,,,1
37,(Photo: File Photo),Professional - file,,,,6
38,Peter Ackerman,Professional - staff,,,,280
39,"(Photo: Vincent Carchietta, Vincent Carchietta-USA TODAY Sports)",Professional - usa today sports,,,,10
40,(Photo: Screenshot from the National Weather Service website),Professional - service,,,,1
41,(Photo: Courtesy of West Milford Police),Professional - police,,,,1
42,(Photo: COURTESY OF RUMSON HOUSE),                              ,,,,1
43,(Photo: COURTESY OF COTE MEDIA),Professional - media,,,,1
44,(Photo: COURTESY OF SIRENA RISTORANTE),                              ,,,,1
45,(Photo: COURTESY OF DOUG STEHLE),                              ,,,,1
