Index,Source,P/C,,,,Count
1,Ariel Schalit/Associated Press,Professional - press,,,,1
2,Jessica Rinaldi/Globe Staff,Professional - staff,,,,42
3,Images from AP and Adobe Stock; Globe staff photo illustration,Professional - ap,,,,2
4,AFP/Getty Images,Professional - getty,,,,14
5,Alamy Stock,Professional - alamy stock,,,,2
6,Cliff Owen/Associated Press/File 2018,Professional - file,,,,1
7,AP,Professional - AP,,,,2
8,Robyn Beck/AFP/Getty Images,Professional - getty,,,,1
9,Adam Ferguson/The New York Times/File 2016,Professional - file,,,,1
10,Matthew J. Lee/Globe staff,Professional - staff,,,,26
11,Emily Kask/New York Times,Professional - times,,,,2
12,No Image,                              ,,,,103
13,Charlie Neibergall/Associated Press,Professional - press,,,,4
14,Katherine Frey/Washington Post/AP,Professional - AP,,,,2
15,Parker Michels-Boyce/New York Times,Professional - times,,,,3
16,Kerem Yucel/AFP/Getty Images,Professional - getty,,,,1
17,Adam Ferguson/New York Times/File,Professional - file,,,,1
18,Anders Wiklund/AFP/Getty Images,Professional - getty,,,,1
19,Jonathan NACKSTRANDAFP/Getty Images,Professional - getty,,,,1
20,Ariana Drehsler/AFP/Getty Images,Professional - getty,,,,2
21,David Lyon for The Boston Globe,Professional - boston globe,,,,2
22,DAVID LYON FOR THE BOSTON GLOBE,Professional - boston globe,,,,6
23,David Lyon for the Boston Globe,Professional - boston globe,,,,2
24,David Lyon For the Boston Globe,Professional - boston globe,,,,2
25,No Credit,                              ,,,,171
26,Aram Boghosian for The Boston Globe/file,Professional - file,,,,2
27,David L. Ryan/Globe Staff,Professional - staff,,,,50
28,Craig F. Walker/Globe Staff,Professional - staff,,,,43
29,clsdesign - stock.adobe.com,Professional - co.,,,,1
30,REUTERS/FILE 2015,Professional - file,,,,2
31,Pat Greenhouse/Globe Staff/File,Professional - file,,,,5
32,Adams National Historical Park,                              ,,,,2
33,Joseph Prezioso/File/AFP/Getty Images,Professional - file,,,,1
34,NATHAN KLIMA/GLOBE STAFF,Professional - staff,,,,2
35,Nathan Klima for the Globe,                              ,,,,6
