Index,Source,P/C,,,,Count
1,(Photo: Provided by Andrew Gustavson),                              ,,,,1
2,(Photo: Thinkstock),Professional - thinkstock,,,,1
3,(Photo: ADRIAN KRAUS),Professional - ap,,,,11
4,(Photo: Max Schulte / Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,13
5,ADRIAN KRAUS,Professional - ap,,,,41
6,(Photo: CARLOS ORTIZ/ROCHESTER DEMOCRAT AND CHRONICLE),Professional - democrat and chronicle,,,,3
7,JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE,Professional - democrat and chronicle,,,,72
8,(Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE),Professional - democrat and chronicle,,,,29
9,(Photo: Georgie Silvarole/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,2
10,SHAWN DOWD/ROCHESTER DEMOCRAT AND CHRONICLE,Professional - democrat and chronicle,,,,148
11,Georgie Silvarole/Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,5
12,Provided,Professional - police,,,,22
13,(Photo: Provided),Professional - state,,,,46
14,(Photo: Peter Carr/The Journal News),Professional - news,,,,2
15,Seth Harrison/The Journal News,Professional - news,,,,4
16,Peter Carr/The Journal News,Professional - news,,,,4
17,(Photo: Provided photo),Professional - register,,,,12
18,"(Photo: Heather Ainsworth, AP)",Professional - ap,,,,1
19,SHAWN DOWD/ROCHESTER DEMOCRAT AN,Professional - democrat and chronicle,,,,29
20,(Photo: SHAWN DOWD/ROCHESTER DEMOCRAT AN),Professional - democrat and chronicle,,,,4
21,(Photo: JAMES JOHNSON/ROCHESTER DEMOCRAT AND CHRONICLE),Professional - democrat and chronicle,,,,6
22,"(Photo: Nick Lisi, AP)",Professional - ap,,,,3
23,No Image,                              ,,,,44
24,(Photo: Will Cleveland/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,16
25,(Photo: Will Cleveland/Democrat and Chronicle),Professional - democrat and chronicle,,,,1
26,(Photo: Democrat and Chronicle file phot),Professional - file,,,,1
27,(Photo: Vivien Killilea/Getty Images),Professional - getty,,,,1
28,(Photo: File photo),Professional - file,,,,11
29,(Photo: Zachary Memmott),                              ,,,,1
30,Max Schulte/Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,63
31,(Photo: 2014 file photo),Professional - file,,,,1
32,File photo,Professional - file,,,,13
33,No Credit,                              ,,,,3
34,Provided photo,Professional - register,,,,1
35,JEN RYNDA/Rochester Democrat and Chronicle file photo,Professional - file,,,,1
36,(Photo: AP),Professional - ap,,,,8
37,(Photo: submitted),Citizen - submitted,,,,3
38,(Photo: NY DEC),                              ,,,,3
39,(Photo: New York DEC),                              ,,,,1
40,(Photo: New York state DEC),Professional - state,,,,1
41,"(Photo: Bebeto Matthews, AP)",Professional - ap,,,,2
42,Tina MacIntyre-Yee,Professional - democrat and chronicle,,,,12
43,Will Cleveland/Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,40
44,Max Schulte / Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,84
45,Erin Haude,                              ,,,,6
46,(Photo: City of Rochester),Professional - city,,,,1
47,(Photo: APD Engineering & Architecture),Professional - apd,,,,1
48,(Photo: Provided by City of Rochester),Professional - city,,,,1
49,Staff photo,Professional - staff,,,,6
50,File,Professional - file,,,,22
51,Staff,Professional - staff,,,,10
52,(Photo: Jake Russo family),Citizen - family,,,,1
53,(Photo: file photo),Professional - file,,,,3
54,(Photo: Press and Sun-Bulletin),Professional - press,,,,1
55,(Photo: Staff file photo),Professional - file,,,,6
56,(Photo: Tina MacIntyre-Yee/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,9
57,"(Photo: Jeffrey T. Barnes, AP)",Professional - ap,,,,1
58,(Photo: ROCHESTER AMERICANS),Professional - american,,,,3
59,(Photo: David Andreatta),                              ,,,,1
60,(Photo: Comfort v. Ricola),                              ,,,,1
61,(Photo: JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLE),Professional - democrat and chronicle,,,,35
62,(Photo: JAMIE GERMANO/ROCHESTER DEMOCRAT AND CHRONICLEStepanie),Professional - democrat and chronicle,,,,1
63,(Photo: Caurie Putnam),                              ,,,,1
64,"(Photo: Provided, Passero Associates)",                              ,,,,1
65,(Photo: ELMIRA POLICE DEPARTMENT PHOTO),Professional - police,,,,1
66,(Photo: Andrew Thayer / Press & Sun-Bulletin),Professional - press,,,,3
67,(Photo: File),Professional - file,,,,4
68,(Photo: Tania Savayan/The Journal News),Professional - news,,,,2
69,"(Photo: Evan Vucci, AP)",Professional - ap,,,,2
70,(Photo: Getty stock image),Professional - getty,,,,2
71,"(Photo: Denny Medley, USA TODAY Sports)",Professional - usa today sports,,,,1
72,"Jasen Vinlove, USA TODAY Sports",Professional - usa today sports,,,,2
73,"Reinhold Matay, USA TODAY Sports",Professional - usa today sports,,,,1
74,"Orlando Ramirez, USA TODAY Sports",Professional - usa today sports,,,,3
75,"Gary A. Vasquez, USA TODAY Sports",Professional - usa today sports,,,,1
76,"Kyle Terada, USA TODAY Sports",Professional - usa today sports,,,,1
77,"Rob Schumacher, The Arizona Republic/USA TODAY NETWORK",Professional - usa today,,,,1
78,"Frederick M. Brown, Getty Images",Professional - getty,,,,2
79,"Ethan Miller, Getty Images for Cirque du Solei",Professional - getty,,,,1
80,Alberto E. Rodriguez,Professional - getty,,,,1
81,"Alberto E. Rodriguez, Getty Images for NAACP",Professional - getty,,,,2
82,"Alberto E. Rodriguez, Getty Images",Professional - getty,,,,2
83,"Kevin Winter, Getty Images",Professional - getty,,,,2
84,"Michael Buckner, Getty Images",Professional - getty,,,,1
85,(Photo: provided),Professional - state,,,,13
86,(Photo: Steve Vogt),                              ,,,,2
87,(Photo: Mary Chao),                              ,,,,17
88,(Photo: Getty Images),Professional - getty,,,,4
89,"(Photo: MAX SCHULTE, @maxrocphoto/staff photographer)",Professional - staff,,,,4
90,(Photo: Carucha L. Meuse/The Journal News),Professional - news,,,,4
91,(Photo: Photo by Carlos Ortiz; illustration by Dana Stewart),                              ,,,,2
92,(Photo: Getty Images/iStockphoto),Professional - getty,,,,3
93,(Photo: Photo by Lynsie Wiegand),                              ,,,,3
94,(Photo: EVAN WEISS/FREE PRESS),Professional - press,,,,3
95,(Photo: Brandon Vick),                              ,,,,1
96,(Photo: Gary Craig),                              ,,,,1
97,"(Photo: SHAWN DOWD/@sdowdphoto/, STAFF PHOTOGRAPHER)",Professional - staff,,,,6
98,f1991 file photo,Professional - file,,,,2
99,1991 file photo,Professional - file,,,,4
100,"BURR LEWIS, Staff",Professional - staff,,,,4
101,"KEVIN HIGLEY, Staff",Professional - staff,,,,2
102,"FRANK BREITHAUPT, Staff",Professional - staff,,,,2
103,(Photo: MARK LENNIHAN/AP),Professional - ap,,,,2
104,(Photo: Tracy Schuhmacher/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,8
105,"(Photo: Andrew Harnik, AP)",Professional - ap,,,,3
106,"Susan Walsh, AP",Professional - AP,,,,2
107,"David Hume Kennerly, McCain Family via AFP/Getty Images",Professional - getty,,,,2
108,"David Hume Kennerly, McCain Family via Getty Images",Professional - getty,,,,2
109,"MC2 Nathan Burke, U.S. Navy via AP",Professional - AP,,,,1
110,Dan Nowicki/The Republic,Professional - the republic,,,,1
111,"Jasper Colt, USA TODAY",Professional - usa today,,,,5
112,"(Photo: Jarrad Henderson, USA TODAY)",Professional - usa today,,,,2
113,"(Photo: SAUL LOEB, AFP/Getty Images)",Professional - getty,,,,1
114,"Jarrad Henderson, USA TODAY",Professional - usa today,,,,4
115,"CARLOS ORTIZ, CARLOS ORTIZ/@CFORTIZ_DANDC/STAFF PHOTOGRAPHER",Professional - dandc,,,,6
116,CARLOS ORTIZ/@CFORTIZ_DANDC/STAFF PHOTOGRAPHER,Professional - dandc,,,,28
117,Tracy Schuhmacher/@RahChaChow/staff photographer,Professional - staff,,,,8
118,Olivia Lopez/@olopez4/Staff Photographer,Professional - staff,,,,4
119,"Olivia Lopez, Olivia Lopez/@olopez4/Staff Photographer",Professional - staff,,,,2
120,(Photo: File photo/1966),Professional - file,,,,2
121,EVAN WEISS/FREE PRESS,Professional - press,,,,12
122,(Photo: Sean Lahman),                              ,,,,3
123,(Photo: Monroe County District Attorney's Office),Professional - county,,,,2
124,(Photo: TINA MACINTYRE-YEE/@tyee23/staff photographer),Professional - staff,,,,2
125,"(Photo: Darren McGee, AP, via Governor's Office)",Professional - ap,,,,2
126,(Photo: Provided by Kodak Alaris),                              ,,,,2
127,(Photo: Jon Campbell / Albany Bureau),Professional - bureau,,,,4
128,(Photo: Greece Police Department),Professional - police,,,,2
129,(Photo: Tracy Schuhmacher/@RahChaChow/staff photographer),Professional - staff,,,,4
130,(Photo: Submitted),Citizen - submitted,,,,3
131,(Photo: WGRZ),                              ,,,,2
132,Staff file photo 1996,Professional - file,,,,4
133,Staff file photo,Professional - file,,,,10
134,"(Photo: kali9, Getty Images/iStockphoto)",Professional - getty,,,,1
135,(Photo: Deseret News),Professional - news,,,,1
136,(Photo: Max Schulte/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,7
137,(Photo: File image),Professional - file,,,,2
138,(Photo: CARLOS ORTIZ/@CFORTIZ_DANDC/STAFF PHOTOGRAPHER),Professional - dandc,,,,2
139,(Photo: Matthew Emmons-USA TODAY Sports),Professional - usa today sports,,,,2
140,"Richard Mackson, USA TODAY Sports",Professional - usa today sports,,,,3
141,"Matthew Emmons, USA TODAY Sports",Professional - usa today sports,,,,11
142,"Mark J. Rebilas, USA TODAY Sports",Professional - usa today sports,,,,4
143,"John David Mercer, USA TODAY Sports",Professional - usa today sports,,,,4
144,"Jason Getz, USA TODAY Sports",Professional - usa today sports,,,,4
145,"Christopher Hanewinckel, USA TODAY Sports",Professional - usa today sports,,,,4
146,"Robert Deutsch, USA TODAY Sports",Professional - usa today sports,,,,3
147,(Photo: Photo Illustration),Professional - news,,,,2
148,(Photo: Taylor Weidman / Getty Images),Professional - getty,,,,2
149,(Photo: New York Governor's Office),                              ,,,,4
150,Jamie Germano/Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,6
151,Tina MacIntyre-Yee/Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,105
152,"(Photo: Kathy Willens, AP)",Professional - ap,,,,2
153,(Photo: Chad Arnold),                              ,,,,2
154,Tracy Schuhmacher/Rochester Democrat and Chronicle,Professional - democrat and chronicle,,,,29
155,"(Photo: Drew Angerer, Getty Images)",Professional - getty,,,,2
156,(Photo: immagine Photography/.provided photo),                              ,,,,1
157,(Photo: PROVIDED PHOTO),Professional - register,,,,4
158,(Photo: CARLOS ORTIZ / staff file photo),Professional - file,,,,4
159,(Photo: CARLOS ORTIZ/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,2
160,"(Photo: Elizabeth Williams,  via AP)",Professional - ap,,,,1
161,(Photo: NICOLE HIGGINS DeSMET/ Free Press),Professional - press,,,,2
162,(Photo: Fresno Chaffee Zoo),Professional - zoo,,,,2
163,"(Photo: Steve Helber, AP)",Professional - ap,,,,1
164,Pool photo by Steve Helber,                              ,,,,2
165,"Drew Angerer, Getty Images",Professional - getty,,,,6
166,"Logan Cyrus, AFP/Getty Images",Professional - getty,,,,2
167,"Shelby Lum, Richmond Times-Dispatch via AP",Professional - AP,,,,2
168,"Steve Earley, The Virginian-Pilot via AP",Professional - AP,,,,2
169,"Dan Currier, EPA-EFE",                              ,,,,2
170,"Alex Edelman, Getty Images",Professional - getty,,,,1
171,"(Photo: Hans Pennink, AP)",Professional - ap,,,,12
172,"Brett Davis, USA TODAY Sports",Professional - usa today sports,,,,2
173,"Dale Zanine, USA TODAY Sports",Professional - usa today sports,,,,1
174,"Al Bello, Getty Images",Professional - getty,,,,1
175,"Christopher Hanewinckel, USA TODA",Professional - usa today sports,,,,1
176,"Mark Humphrey, AP",Professional - AP,,,,1
177,"(Photo: Gerald Herbert, AP)",Professional - ap,,,,2
178,(Photo: aijohn784/Getty Images/iStockphoto),Professional - getty,,,,2
179,(Photo: SHAWN DOWD/Rochester Democrat and Chronicle file photo 2018),Professional - file,,,,2
180,(Photo: Staff image),Professional - staff,,,,2
181,"(Photo: Doug McSchooler, Doug McSchooler)",Professional - school,,,,2
182,"(Photo: Mike McCarn, AP)",Professional - ap,,,,2
183,"JAMIE GERMANO, @jgermano1/Staff Photographer",Professional - staff,,,,2
184,JAMIE GERMANO/ROCHESTER DEMOCRAT,Professional - democrat and chronicle,,,,8
185,JAMIE GERMANO/DEMOCRAT AND CHRON,                              ,,,,4
186,(Photo: Provided by First We Feast),                              ,,,,4
187,(Photo: Provided by Karma Sauce),                              ,,,,2
188,(Photo: TINA MACINTYRE-YEE/ @tyee23/staff photographer),Professional - staff,,,,2
189,"(Photo: Gene J. Puskar, AP)",Professional - ap,,,,1
190,(Photo: Eastern Virginia Medical School),Professional - school,,,,1
191,"(Photo: Susan Walsh, AP)",Professional - ap,,,,1
192,United Airlines,Professional - airline,,,,10
193,(Photo: Madison County Sheriff's Department via sheriffofmadisoncounty.com),Professional - co.,,,,1
194,(Photo: Undated file photo),Professional - file,,,,2
195,(Photo: Democrat and Chronicle),Professional - democrat and chronicle,,,,2
196,(Photo: Christopher Cecere),                              ,,,,2
197,Christopher Cecere,                              ,,,,48
198,(Photo: Courtesy of the Drug Enforcement Administration),                              ,,,,2
199,(Photo: Sealionabc/Wikipedia Commons),                              ,,,,1
200,"(Photo: Paulbr, Getty Images/iStockphoto)",Professional - getty,,,,2
201,(Photo: andriano_cz / Getty Images),Professional - getty,,,,4
202,(Photo: Tina MacIntyre-Yee),Professional - democrat and chronicle,,,,1
203,(Photo: Geneseo Police Department),Professional - police,,,,3
204,(Photo: MONROE COUNTY SHERIFF'S OFFICE),Professional - sherif,,,,2
205,(Photo: JAMIE GERMANO/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,2
206,(Photo: Heather Charles),                              ,,,,2
207,"(Photo: ImageDB, Getty Images/iStockphoto)",Professional - getty,,,,1
208,"(Photo: ,)",Professional - tennessean,,,,4
209,"(Photo: Gillian Flaccus, AP)",Professional - ap,,,,2
210,"(Photo: Hailshadow, Getty Images/iStockphoto)",Professional - getty,,,,2
211,(Photo: Frank Becerra Jr./The Journal News),Professional - news,,,,1
212,(Photo: Family photos),Citizen - family,,,,1
213,(Photo: Seth Harrison/The Journal News),Professional - news,,,,2
214,(Photo: National Transportation Safety Board),                              ,,,,1
215,(Photo: AMANDA ANTINORE),                              ,,,,2
216,(Photo: Mattwittmeyer.com),Professional - co.,,,,2
217,(Photo: KATE MELTON),                              ,,,,4
218,"(Photo: SHAWN DOWD/@sdowdphoto/, SHAWN DOWD/@sdowdphoto/staff pho)",Professional - staff,,,,2
219,(Photo: Shawn Dowd/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,9
220,(Photo: SHAWN DOWD/@sdowdphoto/STAFF PHOTOGRAPHER),Professional - staff,,,,2
221,(Photo: TRACY SCHUHMACHER),Professional - democrat and chronicle,,,,2
222,(Photo: Natasha Vaughn/ Staff photo),Professional - staff,,,,1
223,(Photo: KATIE SULLIVAN / Staff Photo),Professional - staff,,,,1
224,(Photo: Patrick Oehler/Staff Photo),Professional - staff,,,,1
225,(Photo: Photo provided Green Learning Station at the Civic Garden Center of Greater Cincinnati),Professional - center,,,,1
226,(Photo: Natasha Vaughn/ Staff Photo),Professional - staff,,,,1
