Index,Source,P/C,,,,Count
1,Photo: Josie Norris /San Antonio Express-News,Professional - press,,,,1
2,Photo: Photos by Josie Norris /Staff photographer,Professional - staff,,,,2
3,Photo: Josie Norris / San Antonio Express-News,Professional - press,,,,1
4,"Photo: Josie Norris, Staff / San Antonio Express-News",Professional - press,,,,8
5,Photo: Michael G. Stewart,                              ,,,,1
6,Photo: William Luther /San Antonio Express-New,Professional - press,,,,1
7,Photo: JERRY LARA /SAN ANTONIO EXPRESS-NEWS,Professional - press,,,,2
8,Photo: ROSA E. RODRIGUEZ /210SA,                              ,,,,1
9,Photo: John Davenport /San Antonio Express-News,Professional - press,,,,2
10,Photo: BILLY CALZADA /SAN ANTONIO EXPRESS-NEWS,Professional - press,,,,1
11,Photo: JOHN DAVENPORT /SAN ANTONIO EXPRESS-NEWS,Professional - press,,,,1
12,Photo: Kin Man Hui /San Antonio Express-News,Professional - press,,,,19
13,"Photo: Tom Reel, Staff / Staff photographer",Professional - staff,,,,35
14,Photo: Tom Reel /Staff photographer,Professional - staff,,,,16
15,No Image,                              ,,,,11
16,Photo: Chris Nicoll /Associated Press,Professional - press,,,,2
17,Photo: Chris Nicoll / Associated Press,Professional - press,,,,1
18,Photo: Ronald Cortes/Contributor,                              ,,,,13
19,Photo: Ronald Cortes /Contributor,                              ,,,,21
20,Photo: Christian Petersen / Getty Images,Professional - getty,,,,1
21,Photo: Tony Avelar / Special to The Chronicle,Professional - the chronicle,,,,1
22,Photo: Scott Threlkeld /Associated Press,Professional - press,,,,1
23,"Photo: Billy Calzada, Staff Photographer",Professional - staff,,,,6
24,Photo: Bob Owen /San Antonio Express-News,Professional - press,,,,1
25,"Photo: Kin Man Hui, Staff photographer / San Antonio Express-News",Professional - press,,,,34
26,Photo: Courtesy / Maverick Carter House,                              ,,,,2
27,Photo: Courtesy Maverick Carter House,                              ,,,,1
28,Photo: Marvin Pfeiffer /San Antonio Express-News,Professional - press,,,,2
29,Photo: Staff file photo,Professional - file,,,,11
30,No Credit,                              ,,,,8
31,Photo: Eric Gay / Associated Press,Professional - press,,,,7
32,Photo: Billy Calzada /Staff Photographer,Professional - staff,,,,18
33,Photo: /,Professional - staff,,,,3
34,Photo: /Courtesy the Davila family,Citizen - family,,,,1
35,Photo: Associated Press,Professional - press,,,,1
36,Photo: Darron Cummings /Associated Press,Professional - press,,,,1
37,"Photo: Yi-Chin Lee, Houston Chronicle / Staff photographer",Professional - houston chronicle,,,,1
38,"Photo: Rich Pedroncelli, STF / Associated Press",Professional - press,,,,1
39,Photo: William Luther /Staff photographer,Professional - staff,,,,5
40,Photo: Acelity,                              ,,,,1
41,Photo: Staff,Professional - staff,,,,1
42,Photo: William Luther /San Antonio Express-News,Professional - press,,,,10
43,Photo: Lisa Krantz / Staff photographer,Professional - staff,,,,1
44,Photo: Make My Mark Photography /SAPS Entertainment,Professional - entertainment,,,,1
45,Photo: René A. Guzman /Staff,Professional - staff,,,,3
46,Photo: Will Madalinski /SAPS Entertainment,Professional - entertainment,,,,1
47,Photo: Amber Gomez,                              ,,,,1
48,Photo: Jessica Castillo,                              ,,,,1
49,Photo: SAPS Entertainment,Professional - entertainment,,,,2
50,Photo: Kin Man Hui /Staff photographer,Professional - staff,,,,28
51,Photo: Jerry Lara /Staff Photographer,Professional - staff,,,,24
52,"Photo: Marvin Pfeiffer, Staff photographer",Professional - staff,,,,21
53,Photo: Tom Reel /San Antonio Express-News,Professional - press,,,,2
54,Photo: Ricardo B. Brazziell /Austin American-Statesman,Professional - american,,,,1
55,Photo: Courtesy photo,Professional - police,,,,7
56,"Photo: Eric Gay, STF / Associated Press",Professional - press,,,,10
57,Photo: Steve Dykes /Associated Press,Professional - press,,,,1
58,"Photo: Matt Slocum, STF / Associated Press",Professional - press,,,,1
59,Photo: Ronald Cortes / Contributor,                              ,,,,5
60,"Photo: Ron Cortes, Freelance / For the San Antonio Express-News / Ronald Cortes",Professional - press,,,,1
61,"Photo: William Luther, Staff / San Antonio Express-News",Professional - press,,,,1
62,"Photo: Bob Owen, Staff / San Antonio Express-News",Professional - press,,,,1
63,"Photo: Billy Calzada, Staff / Staff Photographer",Professional - staff,,,,23
64,Photo: Courtesy/GFR Development Services,Professional - service,,,,2
65,Photo: Mike Sutter /Staff,Professional - staff,,,,19
66,Photo: Photos by Mike Sutter /Staff,Professional - staff,,,,1
67,Photo: William Luther /Staff file photo,Professional - file,,,,3
68,Photo: Stephen Spillman / Stephen Spillman / for Express-News,Professional - press,,,,1
69,Photo: Brandon Dill /Associated Press,Professional - press,,,,1
70,"Photo: Steve Gonzales, Houston Chronicle / Staff photographer",Professional - houston chronicle,,,,4
71,Photo: Jerry Lara /Staff photographer,Professional - staff,,,,5
72,Photo: Jerry Lara / Staff Photographer,Professional - staff,,,,34
73,Photo: Robin Jerstad /Contributor,                              ,,,,6
74,Photo: Lisa Krantz /San Antonio Express-News,Professional - press,,,,1
75,Photo: Carlos Javier Sanchez / /Contributor,                              ,,,,2
76,Photo: Steve Gonzales / Staff photographer,Professional - staff,,,,1
77,Photo: Classen Rafael / EyeEm /Getty Images,Professional - getty,,,,1
78,Photo: Yi-Chin Lee /Staff file photo,Professional - file,,,,1
79,Photo: Eric Gay /Associated Press,Professional - press,,,,2
80,"Photo: Karen Warren, Staff / Houston Chronicle",Professional - houston chronicle,,,,1
81,Photo: Emily Spicer / Staff,Professional - staff,,,,4
82,Photo: Dina Alfasi / EyeEm /Getty Images,Professional - getty,,,,1
83,Photo: Paul Stephen / Staff,Professional - staff,,,,18
84,Photo: Billy Calzada /Staff file photo,Professional - file,,,,2
85,Photo: Eugene Mymrin /Getty Images,Professional - getty,,,,1
86,Photo: File photo,Professional - file,,,,3
87,Photo: Atlantic Records,Professional - record,,,,1
88,Photo: Jerry Lara /Staff file photo,Professional - file,,,,6
89,Photo: Billy Calzada / Staff Photographer,Professional - staff,,,,2
90,Photo: Courtesy,Professional - coast guard,,,,4
91,Photo: Jacob Beltran/Staff,Professional - staff,,,,1
92,Photo: Greg Luca /San Antonio Express-News,Professional - press,,,,5
93,Photo: LM Otero / Associated Press,Professional - press,,,,1
94,Photo: Darren Abate /Associated Press,Professional - press,,,,1
95,Photo: Google Maps,Professional - google maps,,,,1
96,Photo: David Purdy /Getty Images,Professional - getty,,,,2
97,Photo: Marvin Pfeiffer /Staff photographer,Professional - staff,,,,1
98,Photo: Bob Owen /Staff photographer,Professional - staff,,,,5
99,Photo: Justin Leitner /Cirque Italia,                              ,,,,5
100,Photo: Cirque Italia,                              ,,,,3
101,Photo: Jennifer May /The Culinary Institute of America,Professional - institute,,,,3
102,Photo: Mark Mulligan /Staff photographer,Professional - staff,,,,1
103,Photo: Kin Man Hui /Staff file photo,Professional - file,,,,3
104,Photo: Rich Pedroncelli / Associated Press,Professional - press,,,,1
105,Photo: Rich Pedroncelli /Associated Press,Professional - press,,,,1
106,"Photo: Express-News file photo, Express-News file photo / Express-News file photo",Professional - file,,,,1
107,"Photo: PAT SULLIVAN, STAFF / EXPRESS-NEWS FILE PHOTO",Professional - file,,,,1
108,Photo: Steve Krauss / San Antonio Express-News,Professional - press,,,,1
109,"Photo: Express-News file photo, Express-News file photo",Professional - file,,,,1
110,Photo: Morris Goen / San Antonio Express-News,Professional - press,,,,1
111,Photo: Bob Owen / San Antonio Express-News,Professional - press,,,,3
112,Photo: Rick Hunter / San Antonio Express-News,Professional - press,,,,1
113,Photo: Jerry Baker /Contributor,                              ,,,,1
114,Photo: TAMIR KALIFA /NYT,Professional - nyt,,,,1
115,Photo: CARLOS JAVIER SANCHEZ /,                              ,,,,4
116,Photo: Photos by Jerry Lara / Staff Photographer,Professional - staff,,,,1
117,Photo: Robin Jerstad /For the San Antonio Express-News,Professional - press,,,,11
118,Photo: Bob Owen / Staff file photo,Professional - file,,,,2
119,Photo: Jerry Lara / Staff photographer,Professional - staff,,,,3
120,"Photo: Courtesy, Lorri Burnett",                              ,,,,3
121,"Photo: Bob Owen, STAFF-photographer / San Antonio Express-News",Professional - press,,,,7
122,Photo: By Michael Fisher,                              ,,,,1
123,Photo: San Antonio Express-News file photo,Professional - file,,,,1
124,Photo: Marvin Pfeiffer / Staff photographer,Professional - staff,,,,2
125,Photo: Kin Man Hui / Staff photographer,Professional - staff,,,,4
126,Photo: Tom Reel / Staff photographer,Professional - staff,,,,3
127,Photo: Carlos Javier Sanchez /Contributor,                              ,,,,33
128,"Photo: Tom Reel,  Staff / Staff photographer",Professional - staff,,,,1
129,"Photo: Eric Gay,  STF / Associated Press",Professional - press,,,,1
130,Photo: Express-News file photo,Professional - file,,,,4
131,Photo: Courtesy San Antonio Stock Show & Rodeo,                              ,,,,1
132,Photo: United Talent Agency,                              ,,,,1
133,Photo: Why Don’t We,                              ,,,,1
134,Photo: San Antonio Stock Show & Rodeo,                              ,,,,3
135,Photo: Mark Humphrey /AP,Professional - AP,,,,1
136,"Photo: Tom Reel, Staff / San Antonio Express-News",Professional - press,,,,4
137,"Photo: Jose Luis Magana, FRE / Associated Press",Professional - press,,,,1
138,"Photo: Billy Calzada, Staff / San Antonio Express-News",Professional - press,,,,3
139,"Photo: Michael Wyke, FRE / Associated Press",Professional - press,,,,1
140,Photo: Marvin Pfeiffer /,Professional - press,,,,1
141,"Photo: Joe Robbins, Stringer / Getty Images",Professional - getty,,,,1
142,Photo: Carlos Javier Sanchez / Contributor / Carlos Javier Sanchez / Contributor,                              ,,,,6
143,"Photo: Bob Owen, Staff-photographer / San Antonio Express-News",Professional - press,,,,20
144,"Photo: Billy Calzada, ARCHDIOCESE REPORT REAX BC 05 / Staff Photographer",Professional - staff,,,,1
145,"Photo: Kin Man Hui, San Antonio Express-News",Professional - press,,,,10
146,"Photo: Robin Jerstad/Contributor, Photo Correspondent / San Antonio Express News",Professional - news,,,,10
147,Photo: Courtesy / Bexar County District Attorney’s Office,Professional - county,,,,1
148,Photo: Courtesy / Jim Guimarin,                              ,,,,1
149,Photo: Photos by Bob Owen / Staff photographer,Professional - staff,,,,1
150,"Photo: Darren Abate, FRE / Darren Abate/AHL",                              ,,,,1
151,Photo: Courtesy of Carlos Montez,                              ,,,,1
152,"Photo: Billy Calzada, AQUARENA HOMICIDE BC 03 / Staff Photographer",Professional - staff,,,,1
153,"Photo: Billy Calzada, AQUARENA HOMICIDE BC 05 / Staff Photographer",Professional - staff,,,,1
154,"Photo: Austin Anthony, MBI / Associated Press",Professional - press,,,,1
155,"Photo: Gerald Herbert, STF / Associated Press",Professional - press,,,,2
156,"Photo: Chris Covatta, Stringer / Getty Images",Professional - getty,,,,2
157,"Photo: Streeter Lecka, Staff / Getty Images",Professional - getty,,,,1
158,"Photo: David J. Phillip, STF / Associated Press",Professional - press,,,,1
159,"Photo: Jonathan Bachman, Stringer / Getty Images",Professional - getty,,,,1
160,"Photo: Mark J. Terrill, STF / Associated Press",Professional - press,,,,1
161,"Photo: Elizabeth Conley, Staff / Houston Chronicle",Professional - houston chronicle,,,,1
162,"Photo: William Luther, Staff Photographer / San Antonio Express-News",Professional - press,,,,5
163,"Photo: JOHN DAVENPORT, STAFF / SAN ANTONIO EXPRESS-NEWS",Professional - press,,,,1
164,Photo: Courtesy Jeannie Ralston,                              ,,,,3
165,Photo: Michael Hunter,                              ,,,,3
166,Photo: Courtesy Sophia Designs,                              ,,,,3
167,Photo: Courtesy Mary Lindsey Wilson,                              ,,,,1
168,Photo: Kiddie Park,                              ,,,,1
169,Photo: San Antonio Zoo,Professional - zoo,,,,2
170,Photo: Morgan's Wonderland,                              ,,,,1
171,Photo: Tom Reel /Staff,Professional - staff,,,,2
172,"Photo: Marvin Pfeiffer, Staff / San Antonio Express-News",Professional - press,,,,1
173,Photo: Chuck Blount /Staff,Professional - staff,,,,10
174,Photo: Alma E. Hernandez /For the San Antonio Express-News,Professional - press,,,,1
175,Photo: Tom Reel / San Antonio Express-News,Professional - press,,,,1
176,"Photo: Jennifer Rodriguez, For the Express-News",Professional - press,,,,1
