Index,Source,P/C,,,,Count
1,"[Courtesy photo]"",",                              ,,,,53
2,"[AP Photo / Wilfredo Lee]"",",Professional - ap,,,,2
3,"[Courtesy of the Manatee County Sheriff's Office]"",",Professional - sherif,,,,2
4,"[Provided by Sarasota Opera / Rod Millington]"",",                              ,,,,7
5,"[Provided by Sarsaota Opera / Rod Millington]"",",                              ,,,,1
6,"""AP"",",Professional - ap,,,,14
7,No Image,                              ,,,,42
8,No Credit,                              ,,,,169
9,"[Alan Youngblood/Gainesville Sun]"",",                              ,,,,1
10,"[Courtesy photo / National Nurses United]"",",                              ,,,,1
11,"[Herald-Tribune staff photo / Mike Lang]"",",Professional - tribune,,,,42
12,"[Matias J. Ocner / Miami Herald via AP]"",",Professional - ap,,,,1
13,"[Herald-Tribune archive]"",",Professional - archive,,,,28
14,"[Herald-Tribune staff photo / Mike Lang / 2018]"",",Professional - tribune,,,,1
15,"""Herald-Tribune staff photo by Thomas Bender"",",Professional - tribune,,,,31
16,"[Courtesy Image]"",",                              ,,,,1
17,"[Provided by Straz Center / Joan Marcus]"",",Professional - center,,,,4
18,"[The New York Times / Erika P. Rodriguez]"",",Professional - times,,,,1
19,"[Photo by Greg Allen / Invision / AP]"",",Professional - ap,,,,1
20,"[The New York Times / Sara Krulwich]"",",Professional - times,,,,1
21,"[Photo by Mehreen Mahmood]"",",                              ,,,,1
22,"[SamLynn Photography]"",",                              ,,,,1
23,"[Provided by NMNC]"",",                              ,,,,2
24,"[Herald-Tribune staff photo / Thomas Bender]"",",Professional - tribune,,,,40
25,"[Provided by Asolo Rep / Cliff Roles]"",",                              ,,,,5
26,"[Herald-Tribune staff photo / Zac Anderson]"",",Professional - tribune,,,,14
27,"[Provided by Sarasota Ballet / Brigid Pierce]"",",                              ,,,,2
28,"[Provided by Sarasota Ballet / Hibbard Nash Photography]"",",                              ,,,,2
29,"[Provided by Choral Artists / Barbara Banks]"",",Professional - artist,,,,1
30,"[Provided by Choral Artists]"",",Professional - artist,,,,3
31,"""Winslow Townson/Invision/AP"",",Professional - ap,,,,1
32,"[COURTESY PHOTO]"",",                              ,,,,16
33,"[Photo / Harold Bubil, 2018]"",",                              ,,,,1
34,"[Photo / Harold Bubil; 2018]"",",                              ,,,,5
35,"[Herald-Tribune staff photo / Dan Wagner]"",",Professional - tribune,,,,9
36,"(Mike Stocker/South Florida Sun-Sentinel via AP)"",",Professional - ap,,,,1
37,"(AP Photo/Mark Wallheiser)"",",Professional - ap,,,,1
38,"[ MARK WALLHEISER / AP ]"",",Professional - ap,,,,1
39,"[AP photo]"",",Professional - ap,,,,2
40,"[Herald-Tribune archive / Dan Wagner]"",",Professional - archive,,,,7
41,"[AP file photo]"",",Professional - file,,,,1
42,"[PHOTO / HERALD-TRIBUNE ARCHIVES]"",",Professional - archive,,,,9
43,"[FILE PHOTO / HERALD-TRIBUNE]"",",Professional - file,,,,1
44,"[HERALD-TRIBUNE STAFF PHOTO / THOMAS BENDER]"",",Professional - tribune,,,,1
45,"[Herald-Tribune archive / Mike Lang]"",",Professional - archive,,,,6
46,"[HERALD-TRIBUNE STAFF PHOTO / LAURA FINALDI]"",",Professional - tribune,,,,21
47,"[PHOTO PROVIDED]"",",                              ,,,,2
48,"(Mike Lang/Sarasota Herald-Tribune via AP, File)"",",Professional - file,,,,1
49,"[Courtesy of FWC]"",",                              ,,,,2
50,"[Herald-Tribune staff photo / Carlos R. Munoz]"",
						",Professional - tribune,,,,5
