Index,Source,P/C,,,,Count
1,(Ian MacNicol / Getty Images),Professional - getty,,,,1
2,(Christopher Sabella / On Scene Photography),                              ,,,,2
3,(Anthony Souffle / AP),Professional - ap,,,,1
4,(Charlie Neibergall / AP),Professional - ap,,,,2
5,(Fullerton Police Department),Professional - police,,,,1
6,No Image,                              ,,,,25
7,(Alex Edelman/Getty Images),Professional - getty,,,,1
8,(Jeff Bachner for New York Daily News),Professional - news,,,,10
9,(Rafi Rogers),                              ,,,,1
10,(Pawtucket Police Department),Professional - police,,,,1
11,(Seth Wenig / AP),Professional - ap,,,,5
12,(Barry Williams for New York Daily News),Professional - news,,,,16
13,(Kay Tobin Lahusen),                              ,,,,2
14,(Diana Davies),                              ,,,,2
15,(New York Daily News),Professional - news,,,,2
16,(Brendan Smialowski/AFP/Getty Images),Professional - getty,,,,1
17,(Chip Somodevilla / Getty Images),Professional - getty,,,,5
18,(Anthony DelMundo / New York Daily News),Professional - news,,,,3
19,"(Cobb County Sheriff's Office, U.S. Marshals Service)",Professional - sherif,,,,1
20,(Suffolk County Police),Professional - police,,,,1
21,(Theodore Parisienne for New York Daily News),Professional - news,,,,12
22,(SAUL LOEB / AFP/Getty Images),Professional - getty,,,,5
23,(Siede Preis / Getty Images),Professional - getty,,,,1
24,(Smith Collection/Gado / Getty Images),Professional - getty,,,,1
25,(Marion Curtis/AP),Professional - ap,,,,1
26,(Susan Watts / New York Daily News),Professional - news,,,,1
27,(Debbie Egan-Chin / New York Daily News),Professional - news,,,,1
28,(Evan Agostini / Evan Agostini/Invision/AP),Professional - ap,,,,2
29,(Sun Sentinel),Professional - sun sentinel,,,,1
30,(Greeg Vigliotti for New York Daily News),Professional - news,,,,1
31,(AP),Professional - ap,,,,17
32,(Obtained by Daily News),Professional - news,,,,15
33,(Mary Altaffer / AP),Professional - ap,,,,3
34,(Jonathan Bachman / AP),Professional - ap,,,,1
35,(Tyler Sizemore / AP),Professional - ap,,,,1
36,(Greenwich Police Department/AP / AP),Professional - ap,,,,1
37,(Collier County Sherrif),Professional - county,,,,1
38,(Wolfgang Kaehler/Getty Images),Professional - getty,,,,1
39,(Eric Thayer / Getty Images),Professional - getty,,,,1
40,(Mark Cardwell / AFP/Getty Images),Professional - getty,,,,1
41,(Ed Lefkowicz),                              ,,,,3
42,(Emons),Professional - ap,,,,1
43,(Thanassi Karageorgiou),                              ,,,,1
44,(Timothy A. Clary / AFP/Getty Images),Professional - getty,,,,1
45,(Rosalind O'Connor/NBC),Professional - nbc,,,,1
46,(Harry How / Getty Images),Professional - getty,,,,2
47,(Getty Images/iStockphoto),Professional - getty,,,,2
48,(Steve Helber/AP Photo),Professional - ap,,,,1
49,(Carl De Souza/Getty Images),Professional - getty,,,,1
50,(Lance King / Getty Images),Professional - getty,,,,1
51,(ZUMAPRESS.com),Professional - co.,,,,1
52,(Cliff Owen / AP / AP),Professional - ap,,,,2
53,(Spencer Platt / Getty Images),Professional - getty,,,,2
54,(Jefferson Siegel / New York Daily News),Professional - news,,,,5
55,(Theodore Parisienne / for New York Daily News),Professional - news,,,,2
56,(Howard Simmons / AP),Professional - ap,,,,1
57,(Julio Cortez / AP),Professional - ap,,,,4
58,(NYPD),Professional - nypd,,,,11
59,(Vivien Killilea / Getty Images for MAKERS),Professional - getty,,,,1
60,(Drew Angerer / Getty Images),Professional - getty,,,,4
61,(Michael Dwyer / AP),Professional - ap,,,,1
62,(City of Fontana Police Department / Facebook),Professional - city,,,,1
63,(C Brandon / Redferns / Getty),Professional - getty,,,,1
64,(Frederick M. Brown / Getty Images),Professional - getty,,,,1
65,(Stephanie Keith / Getty Images),Professional - getty,,,,1
66,(Scott Threlkeld / AP),Professional - ap,,,,1
67,(Metropolitan Nashville Police Dept.),Professional - police,,,,1
68,(Sam Costanza for New York Daily News),Professional - news,,,,7
69,(Kevin Hagen / Pool),                              ,,,,1
70,(Gardiner Anderson for New York Daily News),Professional - news,,,,5
71,(Facebook),Citizen - facebook,,,,20
72,(iStockphoto / Getty Images),Professional - getty,,,,1
73,(TBI),Citizen - submitted,,,,1
74,(Reed Saxon / AP),Professional - ap,,,,1
75,(Steve Luciano / AP),Professional - ap,,,,1
76,(Steve Helber / AP),Professional - ap,,,,6
77,(Dan Kitwood / Getty Images),Professional - getty,,,,2
78,(Evan Vucci / AP),Professional - ap,,,,9
79,(duncan1890 / Getty Images),Professional - getty,,,,1
80,(Elsa / Getty Images),Professional - getty,,,,2
81,(Gregg Vigliotti for New York Daily News),Professional - news,,,,3
82,(Getty Images),Professional - getty,,,,6
83,(Susan Walsh / AP),Professional - ap,,,,6
84,(Hans Pennink / AP),Professional - ap,,,,12
85,(Gene Page/AMC),Professional - amc,,,,1
86,(Twitter / @KBChrush),Citizen - twitter,,,,1
87,(Kevin Mazur / Getty Images for NARAS),Professional - getty,,,,1
88,(Chris Pizzello / Chris Pizzello/Invision/AP),Professional - ap,,,,2
89,(Hans Pennink / AP / AP),Professional - ap,,,,1
90,(Charles Krupa / AP),Professional - ap,,,,2
91,(Evan Agostini/Invision/AP),Professional - ap,,,,1
92,(James Keivom / Pool),                              ,,,,2
93,(Alberto E. Rodriguez / Getty Images for NAACP),Professional - getty,,,,1
94,(Jessica Hill / AP),Professional - ap,,,,1
95,(Marion Curtis / AP),Professional - ap,,,,2
96,(Luiz C. Ribeiro for New York Daily News),Professional - news,,,,7
97,(Kiichiro Sato / AP),Professional - ap,,,,2
98,(Alec Tabak for New York Daily News),Professional - news,,,,11
99,(handout),Citizen - handout,,,,1
100,(Woodland Park Police Department via AP),Professional - ap,,,,1
101,(Elise Amendola / AP),Professional - ap,,,,3
102,(J. Scott Applewhite / AP),Professional - ap,,,,4
103,(Chuck Burton / AP),Professional - ap,,,,2
104,(Cliff Owen / AP),Professional - ap,,,,1
105,(William Conran/PA via AP),Professional - ap,,,,1
106,(Danny Moloshok/Invision/AP),Professional - ap,,,,1
107,(Patrick Hertzog / AFP/Getty Images),Professional - getty,,,,1
108,(Win McNamee / Getty Images / Getty Images),Professional - getty,,,,1
109,(Andrew Sietsema/Facebook),Citizen - facebook,,,,1
110,(NYC Mayor's Office / Ed Reed),                              ,,,,1
111,(Nati Harnik / AP),Professional - ap,,,,1
112,(Angus Mordant for New York Daily News),Professional - news,,,,10
113,(Jesse Ward for New York Daily News),Professional - news,,,,10
114,(ANGELA WEISS / AFP/Getty Images),Professional - getty,,,,4
115,(ThomasVogel / Getty Images),Professional - getty,,,,1
116,(Oregon DMV/ FBI),Professional - fbi,,,,1
117,(GoFundMe.com),Professional - co.,,,,1
118,(Dan Rivoli/Daily News),Professional - news,,,,1
119,(Anadolu Agency / Getty Images),Professional - getty,,,,1
120,(Kendall Rodriguez for New York Daily News),Professional - news,,,,6
121,(Brevard County Sheriff's Office),Professional - sherif,,,,1
122,(Mike Coppola / Getty Images for Billboard),Professional - getty,,,,1
123,(Mobile Metro Jail),Professional - jail,,,,1
124,(Twitter),Citizen - twitter,,,,6
125,(Jeffrey WZ Reed / NYC Council),Professional - council,,,,1
126,(Albama Department of Corrections),Professional - department,,,,1
127,(Mike Groll / AP),Professional - ap,,,,2
128,(CHUCK BURTON / AP),Professional - ap,,,,1
129,(Courtesy of Kelsey and Adam Ingersoll),                              ,,,,1
130,(Howard Simmons / New York Daily News),Professional - news,,,,2
131,(ABC7),                              ,,,,2
132,(Jacquelyn Martin / AP),Professional - ap,,,,6
133,(U.S. Drug Enforcement Administration / AP),Professional - ap,,,,1
134,(Handout),Citizen - handout,,,,12
135,(Rose Abuin / New York Daily News),Professional - news,,,,1
136,(Jim Cooper / AP),Professional - ap,,,,1
137,(Alex Wong / TNS),Professional - tns,,,,1
138,(Kena Betancur / AFP/Getty Images),Professional - getty,,,,1
139,(Ronaldo Schedidt / AFP/Getty Images),Professional - getty,,,,1
140,(Chris McGrath / Getty Images),Professional - getty,,,,1
141,(Stringer / Getty Images),Professional - getty,,,,1
142,(City of Madeira Beach),Professional - city,,,,1
