Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,763
2,BRENDAN SULLIVAN/THE WORLD-HERALD,Professional - the world,,,,150
3,NEBRASKA BLUE BOOK,Professional - book,,,,8
4,BRENDAN SULLIVAN/THE WORLD-HERAL,Professional - the world,,,,20
5,No Image,                              ,,,,32
6,JEFF BUNDY/THE WORLD-HERALD,Professional - the world,,,,7
7,RYAN SODERLIN/THE WORLD-HERALD,Professional - the world,,,,157
8,KENT SIEVERS/THE WORLD-HERALD,Professional - the world,,,,74
9,REBECCA S. GRATZ/THE WORLD-HERALD,Professional - the world,,,,29
10,KELSEY STEWART/THE WORLD-HERALD,Professional - the world,,,,2
11,MEGAN FARMER/THE WORLD-HERALD,Professional - the world,,,,15
12,MATT MILLER/THE WORLD-HERALD,Professional - the world,,,,12
13,WORLD-HERALD NEWS SERVICE,Professional - news,,,,6
14,THE ASSOCIATED PRESS,Professional - press,,,,88
15,MARK HUMPHREY,Professional - ap,,,,4
16,Hermann & Clarchen Baus,                              ,,,,4
17,The Associated Press,Professional - press,,,,6
18,Romain Blanquart/Detroit Free Press,Professional - press,,,,4
19,ABC,Professional - abc,,,,4
20,JEFF BEIERMANN/THE WORLD-HERALD,Professional - the world,,,,8
21,CHRIS MACHIAN/THE WORLD-HERALD,Professional - the world,,,,94
22,MATT SEELEY,                              ,,,,3
23,EUGENE CURTIN/WORLD-HERALD NEWS SERVICE,Professional - news,,,,1
24,MATT HANEY/THE WORLD-HERALD,Professional - the world,,,,209
25,EVAN AGOSTINI,Professional - getty,,,,1
26,OMAHA WORLD-HERALD,Professional - omaha world,,,,10
27,THE WORLD-HERALD,Professional - the world,,,,83
28,OWEN SWEENEY,Professional - AP,,,,1
29,KEVIN COFFEY/THE WORLD-HERALD,Professional - the world,,,,83
30,AP,Professional - AP,,,,10
31,"RICKY CARIOTI / THE WASHINGTON POST, FILE",Professional - file,,,,1
32,"DOUG MILLS / THE NEW YORK TIMES VIA AP, POOL",Professional - ap,,,,1
33,BLOOMBERG,Professional - bloomberg,,,,2
34,PEXELS.COM,Professional - co.,,,,15
35,GREG JERRETT/WORLD-HERALD CORRESPONDENT,Professional - correspondent,,,,23
36,ASHLEY STREHLE HARTMAN/WORLD-HERALD CORRESPONDENT,Professional - correspondent,,,,19
37,GREG JERRETT/THE WORLD-HERALD,Professional - the world,,,,10
38,YORGOS LANTHIMOS,Professional - AP,,,,3
39,ANNAPURNA PICTURE,Professional - annapurna,,,,3
40,WARNER BROS. PICTURES,Professional - warner bros,,,,6
41,HOLLAND BASHAM ARCHITECTS,Professional - architect,,,,6
42,NEBRASKA MEDICINE,                              ,,,,2
43,KWAKU ALSTON,                              ,,,,2
44,CHI LAM,                              ,,,,16
45,REECE RISTAU/THE WORLD-HERALD,Professional - the world,,,,2
46,JIM MCGEE,                              ,,,,1
47,WORLD WRESTLING ENTERTAINMENT,Professional - entertainment,,,,1
48,"DANIEL ACKER / BLOOMBERG, FILE",Professional - file,,,,1
49,AP FILE,Professional - file,,,,37
50,Rajesh Kumar Singh,                              ,,,,2
51,Dmitri Lovetsky,                              ,,,,1
52,Elaine Thompson,Professional - ap,,,,1
53,Channi Anand,                              ,,,,2
54,Bullit Marquez,Professional - press,,,,1
55,Anupam Nath,Professional - press,,,,1
56,Andy Wong,Professional - ap,,,,2
57,Arnulfo Franco,                              ,,,,1
58,Fernando Llano,Professional - ap,,,,1
59,HANDOUT,Citizen - handout,,,,2
60,MADDIE WASHBURN/THE WORLD-HERALD,Professional - the world,,,,3
61,DOMINIC VALENTE/FOR THE WASHINGTON POST,Professional - washington post,,,,5
62,MEGAN SMITH/THE WORLD-HERALD,Professional - the world,,,,9
63,JOHNNA HJERSMAN/THE WORLD-HERALD,Professional - the world,,,,1
64,ASHLEY STREHLE HARTMAN/THE WORLD-HERALD,Professional - the world,,,,4
65,ASHLEY STREHLE HARTMAN,Professional - correspondent,,,,1
66,DURHAM MUSEUM,Professional - museum,,,,2
67,NODDLE COS.,Professional - co.,,,,2
68,MIKAH MEYER,                              ,,,,9
69,DEREK LIPPINCOTT,                              ,,,,1
70,LIVE ON NEBRASKA,                              ,,,,2
71,TARA THOMSEN-SAATHOFF,                              ,,,,1
72,JEVON CLARK / THE ANIMAL CLINIC OF KALISPELL VIA AP,Professional - AP,,,,1
73,Kiichiro Sato,Professional - AP,,,,5
74,Neil Blake,Professional - ap,,,,3
75,David Joles,Professional - tns,,,,6
76,Mark Moran,                              ,,,,3
77,Barbara Gauntt,Professional - AP,,,,4
78,Andre Teague,                              ,,,,2
79,ASSOCIATED PRESS,Professional - press,,,,5
80,STR,Professional - getty,,,,1
81,STF,Professional - ap,,,,3
82,CHARLES TASNADI,Professional - AP,,,,1
83,RYAN SODERLIN,Professional - ap,,,,3
84,MATT MILLER,Professional - the world,,,,6
85,Jeff Beiermann,Professional - the world,,,,6
86,Ryan Soderlin,Professional - ap,,,,3
87,CHRIS MACHIAN,Professional - the world,,,,3
88,EVAN VUCCI / THE ASSOCIATED PRESS,Professional - press,,,,1
89,Evan Vucci,Professional - ap,,,,9
90,JENN ACKERMAN / FOR THE WASHINGTON POST,Professional - washington post,,,,6
91,PHOTOS BY JENN ACKERMAN / FOR THE WASHINGTON POST,Professional - washington post,,,,1
92,KAYLA WOLF/THE WORLD-HERALD,Professional - the world,,,,4
93,JULIA NAGY/THE WORLD-HERALD,Professional - the world,,,,8
94,OPPD,                              ,,,,12
95,SARAH HOFFMAN/THE WORLD-HERALD,Professional - the world,,,,17
96,"Boehnlein, Michael",                              ,,,,2
97,stock.adobe.com,Professional - co.,,,,1
98,The Charlotte Observer,Professional - observer,,,,1
99,TONY PRIMAVERA,                              ,,,,4
100,COURTESY PHOTO,Professional - police,,,,9
101,Photo: Mark Graves,                              ,,,,3
102,SUBMITTED BY MAYOR JEAN STOTHERT'S OFFICE,Citizen - submitted,,,,10
103,RUDY SMITH/THE WORLD-HERALD,Professional - the world,,,,11
104,JAMES R. BURNETT/THE WORLD-HERALD,Professional - the world,,,,4
105,ALISHA JUCEVIC / THE WASHINGTON POST,Professional - washington post,,,,3
106,MATT DIXON/THE WORLD-HERALD,Professional - the world,,,,4
107,CITY OF LA VISTA,Professional - city,,,,2
108,LYNN MEYER,                              ,,,,1
109,OJB LANDSCAPE ARCHITECTURE,Professional - architect,,,,2
110,NATIONAL INSTITUTE FOR HOLOCAUST DOCUMENTATION,Professional - institute,,,,1
111,NEBRASKA STATE HISTORICAL SOCIETY,Professional - state,,,,2
112,HEATHER ROUSSEAU/THE ROANOKE TIMES,Professional - times,,,,1
113,GIORDANO’S PIZZA,                              ,,,,1
114,HDR,Professional - ap,,,,1
115,COREY PERRINE/THE WORLD-HERALD,Professional - the world,,,,23
116,COURTESY OF MATT SEELEY,                              ,,,,1
117,KURT A. KEELER,Professional - the world,,,,9
118,NATIONAL PARK SERVICE VIA AP,Professional - AP,,,,1
119,Doug Mills,Professional - ap,,,,5
120,Carolyn Kaster,Professional - ap,,,,8
121,Andrew Harnik,Professional - ap,,,,6
122,J. Scott Applewhite,Professional - apple,,,,2
123,ANDREA FELTZ,                              ,,,,6
124,Bernard Judge,                              ,,,,3
125,The Brando,                              ,,,,6
126,The Brando/,                              ,,,,15
127,STEVE WILLIS PHOTO,                              ,,,,8
128,MELINA MARA / THE WASHINGTON POST,Professional - washington post,,,,3
129,David Goldman,Professional - ap,,,,3
130,John Bazemore,Professional - ap,,,,2
131,Marina Hutchinson,                              ,,,,1
132,Stephen B. Morton,Professional - usa today,,,,1
133,JIM WILLIAMS,                              ,,,,1
134,MINDY KEANE,                              ,,,,1
135,OMAHA CHILDREN'S MUSEUM,Professional - museum,,,,1
136,Matt Dixon,Professional - the world,,,,1
137,PAULA COOPER,                              ,,,,1
138,PEXELS.COM STOCK PHOTO,Professional - co.,,,,1
139,JULIA NAGY/OMAHA WORLD-HERALD,Professional - omaha world,,,,1
140,LAURA INNS/THE WORLD-HERALD,Professional - the world,,,,1
141,Mutual of Omaha,                              ,,,,1
142,BLOOMBERG NEWS,Professional - news,,,,6
143,Scott Olson/Getty Images,Professional - getty,,,,1
144,MEGAN MCGILL/THE WORLD-HERALD,Professional - the world,,,,5
145,STEVEN ELONICH/THE WORLD-HERALD,Professional - the world,,,,1
146,ADAM KLINKER/WORLD-HERALD NEWS SERVICE,Professional - news,,,,1
147,Z LONG/THE WORLD-HERALD,Professional - the world,,,,30
148,MICHAEL S. WILLIAMSON / THE WASHINGTON POST,Professional - washington post,,,,4
149,MARVEL STUDIOS/DISNEY VIA THE ASSOCIATED PRESS,Professional - disney,,,,1
150,BARRETT STINSON/World-Herald News Service,Professional - news,,,,1
151,CREIGHTON UNIVERSITY,Professional - university,,,,2
152,COURTESY OF UNL,                              ,,,,1
153,Alex Brandon,Professional - file,,,,1
154,"JABIN BOTSFORD / THE WASHINGTON POST, FILE",Professional - file,,,,1
155,JUSTIN MOHLING/UNIVERSITY COMMUNICATION,Professional - university,,,,1
156,AMERICA’S TEST KITCHEN/,                              ,,,,1
157,NODDLE DEVELOPMENT,                              ,,,,1
158,HERITAGE SERVICES,Professional - service,,,,1
159,URBAN WATERS,                              ,,,,1
160,DLR GROUP,Professional - group,,,,1
161,Morry Gash,Professional - ap,,,,4
162,David J. Phillip,Professional - ap,,,,5
163,Tim Donnelly,Professional - ap,,,,1
164,Patrick Semansky,Professional - ap,,,,2
165,KURT A. KEELER FOR THE WORLD-HERALD,Professional - the world,,,,3
166,Matt Rourke,Professional - ap,,,,3
167,Frank Franklin II,Professional - ap,,,,1
168,Jeff Roberson,Professional - ap,,,,3
169,Charlie Riedel,Professional - ap,,,,1
170,Mark Humphrey,Professional - ap,,,,3
171,WORLD-HERALD ARCHIVES,Professional - archive,,,,3
172,ED RATH/THE WORLD-HERALD,Professional - the world,,,,3
173,RICH JANDA/THE WORLD-HERALD,Professional - the world,,,,5
174,JEFFREY Z. CARNEY/THE WORLD-HERALD,Professional - the world,,,,3
175,BILL BATSON/THE WORLD-HERALD,Professional - the world,,,,3
176,MICHAEL BOEHNLEIN/THE WORLD-HERALD,Professional - the world,,,,2
177,MITCH GUBSER,                              ,,,,2
178,KILEY CRUSE/THE WORLD-HERALD,Professional - the world,,,,1
179,TRAVIS HEYING/FOR THE WORLD-HERALD,Professional - the world,,,,1
180,JIM BURNETT/THE WORLD-HERALD,Professional - the world,,,,1
181,DAMNDELICIOUS.NET,                              ,,,,1
182,GOODHOUSEKEEPING.COM,Professional - co.,,,,1
183,PEASANDCRAYONS.COM,Professional - co.,,,,1
184,Damndelicious.net,                              ,,,,1
185,alextcooks.com,Professional - co.,,,,1
186,www.tastesoflizzyt.com,Professional - co.,,,,1
187,SARAHSBAKESTUDIO.COM,Professional - co.,,,,1
188,DELISH.COM,Professional - co.,,,,1
189,UNIVERSITY OF NEBRASKA MEDICAL CENTER,Professional - university,,,,4
190,KATHERINE FREY / THE WASHINGTON POST,Professional - washington post,,,,5
191,COLUMBIA PICTURES,Professional - columbia,,,,2
192,(Andie MacDowell).,                              ,,,,1
193,Ubisoft,                              ,,,,2
194,Summit,Professional - entertainment,,,,1
195,Jimmy Fontaine,                              ,,,,2
196,Handout,Citizen - handout,,,,1
197,RON ANTONELLI / BLOOMBERG,Professional - bloomberg,,,,1
198,Dita Alangkara,Professional - AP,,,,1
199,Kin Cheung,Professional - press,,,,2
200,Firdia Lisnawati,Professional - press,,,,1
201,Ariana Cubillos,Professional - ap,,,,1
202,Rodrigo Abd,Professional - ap,,,,1
203,Moises Castillo,Professional - ap,,,,1
204,Ricardo Mazalan,Professional - press,,,,1
205,Leo Correa,Professional - press,,,,2
206,CAPCOM,                              ,,,,8
207,PABLO E. PIOVANO / BLOOMBERG,Professional - bloomberg,,,,1
208,John Burgess,Professional - press,,,,4
209,Sakchai Lalit,Professional - press,,,,1
210,Adam Hunger,Professional - usa today sports,,,,1
211,Manish Swarup,Professional - press,,,,1
212,Riccardo De Luca,                              ,,,,1
213,Melissa Renwick,                              ,,,,1
214,Andrew Medichini,Professional - AP,,,,1
215,Matthias Schrader,Professional - ap,,,,1
216,ALYSSA SCHUKAR/THE WORLD-HERALD,Professional - the world,,,,1
217,CHRIS CHRISTEN/THE WORLD-HERALD,Professional - the world,,,,9
218,ADAM GIAFFOGLIONE,                              ,,,,2
219,STOCKADOBE.COM,Professional - co.,,,,1
220,Matt Slocum,Professional - ap,,,,2
221,Julio Cortez,Professional - ap,,,,1
222,Mike Groll,Professional - ap,,,,1
223,Winslow Townson,Professional - usa today sports,,,,1
224,PHIL JOHNSON/THE WORLD-HERALD,Professional - the world,,,,3
