Index,Source,P/C,,,,Count
1,CHARLES FOX / Staff Photographer,Professional - fox,,,,59
2,YONG KIM / Staff Photographer,Professional - staff,,,,62
3,HEATHER KHALIFA / Staff Photographer,Professional - staff,,,,39
4,Ashley Smith/ Wide Eyed Studios,Professional - studio,,,,1
5,AP,Professional - AP,,,,31
6,Matt Urban/ Mobius New Media,Professional - media,,,,1
7,Zack Hill: Flyers.,                              ,,,,1
8,Jared Whalen,                              ,,,,3
9,TOM GRALISH / Staff Photographer,Professional - staff,,,,44
10,Dietz & Watson,                              ,,,,1
11,TIM TAI / Staff Photographer,Professional - staff,,,,51
12,Signe Wilkinson,Professional - news,,,,13
13,DAVID MAIALETTI / Staff Photographer,Professional - staff,,,,31
14,No Credit,                              ,,,,111
15,Bob Williams/For The inquirer,                              ,,,,3
16,Michael Dwyer / AP,Professional - AP,,,,2
17,LOU RABITO / Staff,Professional - staff,,,,10
18,Charles Fox / Staff Photographer,Professional - fox,,,,3
19,Gerry Broome / AP,Professional - AP,,,,2
20,Marc Narducci/STAFF,Professional - staff,,,,1
21,Darren Hauck / AP,Professional - AP,,,,1
22,Kelly & Massa / Opera Philadelphia,                              ,,,,1
23,Matt Slocum / AP,Professional - AP,,,,5
24,YONG KIM,Professional - staff,,,,3
25,File Photo,Professional - file,,,,2
26,Alliance of American Football,Professional - american,,,,1
27,AP file photo,Professional - file,,,,2
28,ANTHONY PEZZOTTI / Staff Photographer,Professional - staff,,,,17
29,MARGO REED / Staff Photographer,Professional - staff,,,,11
30,Amanda Parashar,                              ,,,,1
31,Netflix,Professional - netflix,,,,1
32,Julio Cortez / AP,Professional - AP,,,,3
33,Assemblywoman Valerie Vainieri Huttle,                              ,,,,2
34,STEVEN M. FALK / Staff Photographer,Professional - staff,,,,15
35,LOU RABITO / Staff Writer,Professional - staff,,,,1
36,DAVID MAIALETTI,Professional - getty,,,,2
37,Tom Mihalek / For the Inquirer,                              ,,,,1
38,Marc Narducci,Professional - staff,,,,3
