Index,Source,P/C,,,,Count
1,(Elise Amendola / AP,Professional - AP,,,,1
2,(Tyler Tjomsland / The Spokesman-Review,Professional - spokesman-review,,,,2
3,"""Kathy Plonka"",",                              ,,,,2
4,(Ted S. Warren / Associated Press,Professional - press,,,,1
5,(AP,Professional - AP,,,,1
6,No Image,                              ,,,,2
7,(Eli Francovich / The Spokesman-Review,Professional - spokesman-review,,,,1
8,"""Eli Francovich"",",                              ,,,,2
9,(Colin Mulvany / The Spokesman-Review,Professional - spokesman-review,,,,2
10,(Jesse Tinsley / The Spokesman-Review,Professional - spokesman-review,,,,3
11,(Libby Kamrowski / The Spokesman-Review,Professional - spokesman-review,,,,1
12,(Sandpoint Police Department,Professional - police,,,,1
13,(Twitter,Citizen - twitter,,,,2
14,(Shutterstock,Professional - shutterstock,,,,1
15,(Doug Mills / AP,Professional - AP,,,,1
16,(J. Scott Applewhite / AP,Professional - AP,,,,1
17,(Dan Pelle / The Spokesman-Review,Professional - spokesman-review,,,,7
18,(The Spokesman-Review archives,Professional - spokesman-review,,,,1
19,(Jamie Lusch / AP,Professional - AP,,,,1
20,(Michael Blakeman,                              ,,,,1
21,No Credit,                              ,,,,2
22,"""Dan Pelle"",",                              ,,,,18
23,"""Steve Helber"",",Professional - press,,,,1
24,(Rich Landers / The Spokesman-Review,Professional - spokesman-review,,,,1
25,(Gene J. Puskar / AP,Professional - AP,,,,1
26,(Spokane Public Schools,Professional - school,,,,1
27,(Gero Breloer / AP,Professional - AP,,,,1
28,(Themba Hadebe / AP,Professional - AP,,,,1
29,(Andrew Harnik / AP,Professional - AP,,,,1
30,(YouTube,Citizen - youtube,,,,1
31,(Eric Risberg / AP,Professional - AP,,,,1
32,"Spokane Regional Health District, school district, The Spokesman-Review",Professional - spokesman-review,,,,1
33,(Elaine Thompson / AP,Professional - AP,,,,1
34,(IDFG / IDFG,                              ,,,,1
35,(Jacquelyn Martin / AP,Professional - AP,,,,1
36,(Young Kwak / AP,Professional - AP,,,,2
37,(Courtesy,Citizen - family,,,,1
38,(MLH Films / YouTube,Citizen - youtube,,,,1
39,(Spokesman-Review archives,Professional - spokesman-review,,,,1
40,Mollly Quinn/ The Spokesman-Review,Professional - spokesman-review,,,,1
41,(Mohanad Elshieky / Twitter,Citizen - twitter,,,,1
42,"""Molly Quinn"",",                              ,,,,1
