Index,Source,P/C,,,,Count
1,(Jennifer Lett),Professional - sun sentinel,,,,6
2,Courtesy / Palm Beach County Sheriff's Office,Professional - sherif,,,,1
3,Nectar Bath Treats / Courtesy,                              ,,,,1
4,Joan Marcus / Courtesy,                              ,,,,4
5,Jeremy Daniel / Courtesy,                              ,,,,1
6,Matthew Murphy / Courtesy,                              ,,,,9
7,"JC Ridley, Miami Athletics / Courtesy file",Professional - file,,,,1
8,Sun Sentinel file,Professional - file,,,,2
9,Courtesy/ Broward County Cultural Division,Professional - county,,,,1
10,Carline Jean/South Florida Sun Sentinel,Professional - sun sentinel,,,,1
11,Jim Mone/AP,Professional - AP,,,,1
12,No Credit,                              ,,,,58
13,Courtesy/Miami Police Department,Professional - police,,,,1
14,Robert Duyos / Sun Sentinel,Professional - sun sentinel,,,,1
15,Warner Bros. / TNS,Professional - tns,,,,1
16,Katherine Frey/The Washington Post,Professional - washington post,,,,1
17,Rachel Denny Clow / AP,Professional - AP,,,,1
18,Omar Ricardo Aquije / AP,Professional - AP,,,,1
19,Eric Risberg / Associated Press,Professional - press,,,,1
20,Broward Sheriff's Office / Courtesy,Professional - sherif,,,,1
21,No Image,                              ,,,,204
22,AFP/Getty Images,Professional - getty,,,,2
23,Will Heath/NBC,Professional - nbc,,,,1
24,NBC / Will Heath/NBC,Professional - nbc,,,,2
25,Julio Cortez / Associated Press,Professional - press,,,,1
26,Vachiraphan Phangphan / EyeEm / Getty Images/EyeEm,Professional - getty,,,,1
27,Alex Wong / Getty Images,Professional - getty,,,,4
28,Pembroke Pines Police Department / handout,Professional - police,,,,2
29,Nick Wass / AP,Professional - AP,,,,1
30,Michael Laughlin / Sun Sentinel,Professional - sun sentinel,,,,15
31,Steven Cannon/AP,Professional - AP,,,,1
32,Wade Payne/AP,Professional - AP,,,,1
33,WSVN-Ch. 7 courtesy,                              ,,,,1
34,FlightAware / courtesy,                              ,,,,2
35,Gary Curreri / Correspondent file,Professional - file,,,,1
36,Wilfredo Lee / AP file,Professional - file,,,,3
37,Gerry Broome / AP,Professional - AP,,,,1
38,"Broward Sheriff's Office, courtesy",Professional - sherif,,,,11
39,Joseph Prezioso/AFP/Getty Images,Professional - getty,,,,1
40,Elise Amendola/AP,Professional - AP,,,,1
41,MattGush / Getty Images/iStockphoto,Professional - getty,,,,1
42,Law Ream / Courtesy Launch,Professional - law,,,,1
43,Carolyn Kaster/AP,Professional - AP,,,,1
44,Ioanna Raptis/Portsmouth Herald,Professional - herald,,,,1
45,AP,Professional - AP,,,,13
46,Jim Rassol/Sun Sentinel,Professional - sun sentinel,,,,1
47,LINDA SPILLERS / AP,Professional - AP,,,,1
48,Michael Conroy / AP,Professional - AP,,,,1
49,Lannis Waters / The Palm Beach Post,Professional - palm beach post,,,,2
50,Susan Stocker / Sun Sentinel,Professional - sun sentinel,,,,6
51,Handout,Citizen - handout,,,,7
52,Stephanie Keith/Getty Images,Professional - getty,,,,1
53,Drew Angerer/Getty Images,Professional - getty,,,,2
54,Highlands County Sheriff's Office,Professional - sherif,,,,1
55,Brynn Anderson / AP,Professional - AP,,,,8
56,"(Lauren Mack, The Daily Meal)",                              ,,,,1
57,Amy Beth Bennett / Sun Sentinel,Professional - sun sentinel,,,,4
58,Tribune,Professional - tribune,,,,1
59,"Joe Cavaretta, Sun Sentinel",Professional - sun sentinel,,,,2
60,Joe Cavaretta / Sun Sentinel,Professional - sun sentinel,,,,4
61,"Marc Freeman, Sun Sentinel",Professional - sun sentinel,,,,1
62,Snapchat/Courtesy,                              ,,,,1
63,Don Emmert/AFP/Getty Images,Professional - getty,,,,1
64,Evan Vucci / AP,Professional - AP,,,,3
65,(Roger Simmons),                              ,,,,1
66,"Florida Fish and Wildlife Conservation Commission, taken under NOAA permit 20556-01",Professional - noaa,,,,1
67,ESPN / Courtesy,                              ,,,,2
68,John McCall / Sun Sentinel,Professional - sun sentinel,,,,8
69,Alyse Siegel Chin / Courtesy,                              ,,,,2
70,flgov.com (governor’s official web site),Professional - co.,,,,1
71,Graham Barclay / For The Times,Professional - times,,,,1
72,Columbia Pictures,Professional - columbia,,,,1
73,Marvel/Courtesy,Professional - marvel,,,,1
74,(Taimy Alvarez),Professional - press,,,,2
75,Steve Cannon / AP,Professional - AP,,,,2
76,(Amy Beth Bennett),Professional - sun sentinel,,,,4
77,Jason Leidy,                              ,,,,1
78,Susan Walsh / AP,Professional - AP,,,,4
79,Lynne Sladky / AP,Professional - AP,,,,3
80,U.S. Secret Service,Professional - service,,,,2
81,Marissa Elliott,                              ,,,,2
82,Douglas R. Clifford / TNS,Professional - tns,,,,1
83,Cliff Owen / AP,Professional - AP,,,,1
84,Anthony Man / South Florida Sun Sentinel,Professional - sun sentinel,,,,1
85,Anthony Man / Sun Sentinel,Professional - sun sentinel,,,,1
86,Heading Home: The Tale of Team Israel,                              ,,,,1
87,Barry Williams / for New York Daily News,Professional - news,,,,1
88,Barry Williams for New York Daily News,Professional - news,,,,1
89,Saul Loeb / AFP/Getty Images,Professional - getty,,,,1
90,(Omar Kelly),                              ,,,,3
91,"Davie Police, courtesy",Professional - police,,,,7
92,ASSOCIATED PRESS,Professional - press,,,,1
93,Dave Pickoff / AP,Professional - AP,,,,1
94,WAS / ASSOCIATED PRESS,Professional - press,,,,1
95,Mike Groll / AP,Professional - AP,,,,1
96,Ricardo Ramirez Buxeda / Orlando Sentinel,Professional - orlando sentinel,,,,5
97,City of Madeira Beach/madeirabeachfl.gov,Professional - city,,,,1
98,Dan Forer /  Courtesy,                              ,,,,1
99,Virginia Military Institute yearbook,Professional - institute,,,,1
100,Steve Earley/Staff,Professional - staff,,,,1
101,Marc Freeman / South Florida Sun Sentinel,Professional - sun sentinel,,,,1
102,Mohammad Nayeem / courtesy / Sun Sentinel,Professional - sun sentinel,,,,1
103,Marc Freeman / Sun Sentinel,Professional - sun sentinel,,,,14
104,Lindsay Moore / Sun Sentinel,Professional - sun sentinel,,,,1
105,FPG,Professional - getty,,,,2
106,Getty Images,Professional - getty,,,,6
107,Pool / Getty Images,Professional - getty,,,,2
108,File photo,Professional - file,,,,4
109,Palm Beach County School District Police,Professional - school,,,,1
110,Cliff Hawkins / Getty Images,Professional - getty,,,,1
111,David Goldman/AP 2016,Professional - ap,,,,1
112,Gray Rohrer/Orlando Sentinel,Professional - orlando sentinel,,,,1
