Index,Source,P/C,,,,Count
1,| stock.adobe.com,Professional - co.,,,,10
2,Photo courtesy of Dice Sales/the Illinois Office of Tourism,                              ,,,,1
3,| Volo Auto Museum photo,Professional - museum,,,,2
4,| Robert Olson/Klairmont Kollections,                              ,,,,1
5,|Pontiac Oakland Automobile Museum/Facebook,Professional - museum,,,,1
6,| Photo courtesy of the Rockford Auto Museum.,Professional - museum,,,,1
7,| Photo courtesy of Historic Auto Attractions/Facebook,Citizen - facebook,,,,1
8,| Photo courtesy of the Beller Museum.,Professional - museum,,,,1
9,| J.B. Spector/Museum of Science and Industry.,Professional - museum,,,,1
10,| Photo courtesy of the Chicago Auto Show.,Professional - chicago,,,,1
11,| Tyler LaRiviere/Sun-Times,Professional - times,,,,32
12,| Tyler LaRiviere/Sun-Timesa,Professional - times,,,,1
13,No Credit,                              ,,,,75
14,| Scott Stewart~Sun-Times,Professional - times,,,,1
15,| Sun-Times file photo.,Professional - file,,,,2
16,| Photo by Ware Malcomb.,                              ,,,,1
17,| AP Photo/Steve Helber,Professional - ap,,,,3
18,| Lauren FitzPatrick/Sun-Times,Professional - times,,,,1
19,| Rich Hein/Sun-Times,Professional - times,,,,57
20,No Image,                              ,,,,18
21,| Facebook,Citizen - facebook,,,,8
22,"| AP Photo/Keith Srakocic, File",Professional - file,,,,1
23,"(AP Photo/Eric Risberg, File)",Professional - file,,,,1
24,| David Becker/Getty Images,Professional - getty,,,,1
25,| Gene J. Puskar/AP,Professional - AP,,,,1
26,| David McNew/AFP/Getty Images,Professional - getty,,,,1
27,"Photo by Bobby Ketchum/Flickr, via Creative Commons.",Citizen - flickr,,,,1
28,| Photo courtesy of Neil Steinberg.,                              ,,,,1
29,| Neil Steinberg/Sun-Times,Professional - times,,,,1
30,| Photo courtesy of Neil Steinberg,                              ,,,,1
31,Photography 2016 / Courtesy Illinois Office of Tourism,                              ,,,,1
32,| Sun-Times file photo,Professional - file,,,,35
33,| Wikimedia Commons,Professional - media,,,,1
34,| Flickr/Teemu008,Citizen - flickr,,,,1
35,| Facebook/Funks Grove Pure Maple Sirup,Citizen - facebook,,,,1
36,| Photo: The Palms Grill Cafe,                              ,,,,1
37,| Gorup de Besanez /Wikimedia Commons,Professional - media,,,,1
38,"| AP Photo/Belleville News-Democrat, Tim Vizer",Professional - ap,,,,1
39,| Chicago police,Professional - chicago,,,,10
40,| Cook County inmate records,Professional - record,,,,1
41,| provided by Chicago police,Professional - chicago,,,,1
42,| Chicago Fire Media,Professional - chicago,,,,2
43,| Ashlee Rezin/Sun-Times,Professional - times,,,,54
44,| Screenshot provided by CNN,Professional - cnn,,,,1
45,| Nam Y. Huh/Associated Press,Professional - press,,,,1
46,| O'Neil Funeral Home and Heritage Crematory,                              ,,,,1
47,| O’Neil Funeral Home and Heritage Crematory,                              ,,,,2
48,| Provided by Noble,Professional - school,,,,1
49,| Rich Hein / Sun-Times,Professional - times,,,,2
50,| Mitchell Armentrout/Sun-Times,Professional - times,,,,5
51,| Provided by Noble Network of Charter Schools,Professional - school,,,,1
52,| Annie Costabile / Sun-Times,Professional - times,,,,1
53,| Photo by Mark Brown,                              ,,,,1
54,| Matthew Hendrickson/Sun-Times,Professional - times,,,,9
55,| Provided photo,                              ,,,,28
56,| Provided,Professional - chicago,,,,7
57,| LinkedIn,                              ,,,,1
58,"| Ogemaw County, Mich., sheriff’s office",Professional - sherif,,,,1
59,| AP file photo,Professional - file,,,,18
60,| Invision/AP file photo,Professional - file,,,,2
61,| Fox 32 Chicago,Professional - fox,,,,1
62,| Illinois Department of Corrections,Professional - department,,,,5
63,| YouTube,Citizen - youtube,,,,3
64,| File photos,Professional - file,,,,3
65,| Court file,Professional - file,,,,1
66,| DuPage County state's attorney's office,Professional - state,,,,1
67,| Naperville police,Professional - police,,,,1
68,| Photo by Chris Pizzello/Invision/AP,Professional - AP,,,,1
69,| Mark Brown/Sun-Times,Professional - times,,,,3
70,| Google Streetview,Professional - google street,,,,2
71,| Photo by Matt Sayles/Invision/AP,Professional - AP,,,,1
72,"| Photo by Paul R. Giunta/Invision/AP, File",Professional - file,,,,1
73,"| Photo by Evan Agostini/Invision/AP, File",Professional - file,,,,1
74,| AP Photo,Professional - ap,,,,14
75,| Highland Park Public Library,Professional - library,,,,2
76,| AP,Professional - AP,,,,19
77,| Courtesy Emerald Escape Spa Products,                              ,,,,1
78,| Courtesy Fresh Avocados – Love One Today®,                              ,,,,1
79,| Courtesy Illinois Ornithological Society,                              ,,,,1
80,| Amy Boyle Photography,                              ,,,,2
81,| James Foster/For the Sun-Times,Professional - times,,,,7
82,| AP Photo/Elise Amendola,Professional - ap,,,,1
83,| Sun-Times Staff.,Professional - times,,,,6
84,| Photo Courtesy Starbelly Studios,Professional - studio,,,,6
85,| Sun-Times Staff,Professional - times,,,,3
86,| Eliza Davidson/Sun-Times,Professional - times,,,,3
