Index,Source,P/C,,,,Count
1,[NATE BILLINGS/THE OKLAHOMAN,Professional - the oklahoman,,,,1
2,[Photo by Jim Beckel/The Oklahoman,Professional - the oklahoman,,,,2
3,[Jim Beckel/The Oklahoman,Professional - the oklahoman,,,,1
4,[The Oklahoman Archives,Professional - the oklahoman,,,,2
5,Photo by Deen Van Meer,Professional - disney,,,,1
6,[METRO CREATIVE CONNECTION IMAGE,                              ,,,,1
7,[Nate Billings/The Oklahoman,Professional - the oklahoman,,,,4
8,[Nate Billings/ The Oklahoman,Professional - the oklahoman,,,,1
9,Rachel Lynch,                              ,,,,1
10,"Photo by Jim Beckel, The Oklahoman Archives",Professional - the oklahoman,,,,1
11,No Image,                              ,,,,2
12,No Credit,                              ,,,,22
13,[Photos provided by Chesapeake Energy,                              ,,,,1
14,[The Oklahoman archives,Professional - the oklahoman,,,,3
15,[AP File Photo,Professional - file,,,,1
16,"[Photo by Bryan Terry, The Oklahoman",Professional - the oklahoman,,,,1
17,"[Photo by Nicole Rivelli, Amazon",Professional - amazon,,,,3
18,"[Photo by Doug Hoke, The Oklahoman",Professional - the oklahoman,,,,3
19,"Photo by Sarah Phipps, The Oklahoman",Professional - the oklahoman,,,,2
20,(AP Photo/Sue Ogrocki,Professional - ap,,,,1
21,"Photo by Nate Billings, The Oklahoman",Professional - the oklahoman,,,,2
22,"[PHOTO BY NATE BILLINGS, THE OKLAHOMAN",Professional - the oklahoman,,,,5
23,"[Photo by Jim Beckel, The Oklahoman",Professional - the oklahoman,,,,10
24,"Photo By Robert Medley, The Oklahoman.",Professional - the oklahoman,,,,5
25,"[PHOTO BY STEVE SISNEY, THE OKLAHOMAN",Professional - the oklahoman,,,,1
26,"(AP Photo/Sue Ogrocki, File",Professional - file,,,,1
27,(AP Photo/Young Kwak,Professional - ap,,,,1
28,[AP PHOTO,Professional - ap,,,,3
29,"[PHOTO BY ADAM CAIRNS, THE COLUMBUS DISPATCH",Professional - dispatch,,,,1
30,"Photo by Bryan Terry, The Oklahoman",Professional - the oklahoman,,,,1
31,"[PHOTO BY BRYAN TERRY, THE OKLAHOMAN",Professional - the oklahoman,,,,1
32,[AP photo,Professional - ap,,,,1
33,"Photo by Doug Hoke, The Oklahoman",Professional - the oklahoman,,,,9
34,[Photo by Theresa Bragg,                              ,,,,6
35,[Oklahoman Archives photo,Professional - archive,,,,1
36,"[Photo by Jim Beckel, The Oklahoman Archives",Professional - the oklahoman,,,,2
37,"[Photo by Chris Landsberger, The Oklahoman Archives",Professional - the oklahoman,,,,1
38,[Photo provided,Professional - state,,,,3
39,(AP Photo/Todd Kirkland,Professional - ap,,,,1
