Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,686
2,Steve Adams | Tribune-Review,Professional - tribune,,,,1
3,JoAnne Klimovich Harrop | Tribune-Review,Professional - tribune,,,,11
4,TLC-International,Professional - international,,,,5
5,Mary Pickels | Tribune-Review,Professional - tribune,,,,5
6,(AP Photo/Eric Gay),Professional - ap,,,,5
7,AP Photo/Andrew Harnik,Professional - ap,,,,2
8,AP Photo/J. Scott Applewhite,Professional - ap,,,,1
9,AP Photo/ Evan Vucci,Professional - ap,,,,1
10,AP Photo/Carolyn Kaster,Professional - ap,,,,1
11,(AP Photo/Jeff Christensen),Professional - ap,,,,1
12,Couch Brewery,Professional - brewery,,,,1
13,file,Professional - file,,,,3
14,Nine on Nine,                              ,,,,2
15,No Image,                              ,,,,14
16,"AP Photo/Jacquelyn Martin, File",Professional - file,,,,1
17,New York City Police Department via AP,Professional - AP,,,,3
18,Heikki Saukkomaa/Lehtikuva via AP,Professional - AP,,,,2
19,(AP Photo/Steve Helber),Professional - ap,,,,14
20,(Katherine Frey/The Washington Post via AP),Professional - ap,,,,2
21,ap,Professional - AP,,,,15
22,Jeff Himler | Tribune-Review,Professional - tribune,,,,2
23,Dan Speicher | Tribune-Review,Professional - tribune,,,,29
24,Louis B. Ruediger | Tribune-Review,Professional - tribune,,,,4
25,Shirley McMarlin | Tribune-Review,Professional - tribune,,,,5
26,submitted,Citizen - submitted,,,,3
27,Creative Commons,Citizen - flickr,,,,1
28,AP,Professional - AP,,,,22
29,Tribune-Review file,Professional - file,,,,3
30,Getty Images,Professional - getty,,,,1
31,Christopher Horner | Tribune-Review,Professional - tribune,,,,3
32,(Hayne Palmour IV/U-T),                              ,,,,1
33,Nick Koehler,                              ,,,,1
34,(Joe Hermitt/The Patriot-News via AP),Professional - ap,,,,1
35,Megan Guza | Tribune-Review,Professional - tribune,,,,6
36,London Zoo/AP,Professional - AP,,,,1
37,Kirsty Wigglesworth/AP,Professional - AP,,,,1
38,YouTube,Citizen - youtube,,,,1
39,Chaz Palla | Tribune-Review,Professional - tribune,,,,8
40,Jordan Strauss/Invision/AP,Professional - AP,,,,1
41,"(AP Photo/Brian Skoloff, File)",Professional - file,,,,1
42,(AP Photo/Mark Lennihan),Professional - ap,,,,2
43,Tribune-Review,Professional - tribune,,,,5
44,Kristina Serafini | Tribune-Review,Professional - tribune,,,,8
45,Feld Motor Sports,Professional - sports,,,,1
46,Submitted,Citizen - submitted,,,,13
47,Rich Sofranko,                              ,,,,2
48,Christian Tyler Randolph | Tribune-Review,Professional - tribune,,,,2
49,Google,Professional - google,,,,1
50,"AP Photo/Kathy Willens, File",Professional - file,,,,2
51,"(U.S. Drug Enforcement Administration via AP, File)",Professional - file,,,,1
52,Emily Balser | Tribune-Review,Professional - tribune,,,,2
53,WPXI,                              ,,,,9
54,Duane Rieder,                              ,,,,1
55,Kris Wright Motorsports,Professional - sports,,,,3
56,Submitted by Penn Hills resident Amanda Livingston,Citizen - submitted,,,,2
57,Kerry Hayes/Paramount Pictures,Professional - paramount pictures,,,,2
58,Paramount Pictures,Professional - paramount pictures,,,,2
59,Matt Rourke/AP,Professional - AP,,,,1
60,Tribune-Review file photo,Professional - file,,,,1
61,Transportation Security Administration,                              ,,,,1
62,"AP Photo/Andrew Harnik, File",Professional - file,,,,1
63,Photo by Goran Kosanovic for the Washington Post.,Professional - washington post,,,,1
64,Warner Bros. Pictures,Professional - warner bros,,,,2
