Index,Source,P/C,,,,Count
1,No Image,                              ,,,,167
2,"Amy Davis, Baltimore Sun",Professional - baltimore sun,,,,7
3,Baltimore Sun,Professional - baltimore sun,,,,4
4,Bettina Strauss / AP,Professional - AP,,,,1
5,Nick Wass / AP,Professional - AP,,,,5
6,Lloyd Fox / Baltimore Sun,Professional - fox,,,,4
7,Barbara Haddock Taylor / Baltimore Sun,Professional - baltimore sun,,,,13
8,"Matt Button, Baltimore Sun Media Group",Professional - baltimore sun,,,,8
9,Algerina Perna / Baltimore Sun,Professional - baltimore sun,,,,6
10,iStock,Professional - istock,,,,1
11,Dreamstime,Professional - dreamstime,,,,1
12,Dia Dipasupil / FilmMagic,                              ,,,,1
13,HANDOUT,Citizen - handout,,,,3
14,Kenneth K. Lam / Baltimore Sun,Professional - baltimore sun,,,,30
15,MATT BUTTON  AEGIS STAFF / Baltimore Sun Media Group,Professional - baltimore sun,,,,2
16,Jamie Sabau / Getty Images,Professional - getty,,,,1
17,Bryan Woolston / AP,Professional - AP,,,,1
18,The Associated Press,Professional - press,,,,1
19,Katherine Frey/The Washington Post,Professional - washington post,,,,1
20,Evan Vucci / AP,Professional - AP,,,,2
21,Charlie Neibergall/AP,Professional - AP,,,,1
22,Jason Connolly/Getty-AFP,Professional - getty,,,,1
23,Ted S. Warren/AP,Professional - AP,,,,1
24,Brian Cassella/Chicago Tribune,Professional - chicago,,,,1
25,Jim Mone/AP,Professional - AP,,,,1
26,Joseph Prezioso/AFP/Getty Images,Professional - getty,,,,2
27,Sean Rayford/Getty Images,Professional - getty,,,,2
28,Nam Y. Huh/AP,Professional - AP,,,,1
29,Manuel Balce Ceneta/AP,Professional - AP,,,,1
30,Wendy Oliver-Pyatt,                              ,,,,1
31,Kim Hairston / Baltimore Sun,Professional - baltimore sun,,,,11
32,Elise Amendola/AP,Professional - AP,,,,1
33,No Credit,                              ,,,,6
34,Paul W. Gillespie / Capital Gazette file,Professional - file,,,,1
35,Miles Taylor's Instagram account @smiles_taylor,Citizen - instagram,,,,1
36,Christian Murray enjoyed wilderness canoeing and organized canoe trips.,                              ,,,,1
37,Don Emmert/AFP/Getty Images,Professional - getty,,,,1
38,Baltimore Sun files,Professional - baltimore sun,,,,5
39,Drew Angerer/Getty Images,Professional - getty,,,,1
40,SAUL LOEB / AFP/Getty Images,Professional - getty,,,,1
41,Ricky Carioti / The Washington Post,Professional - washington post,,,,2
42,AP,Professional - AP,,,,8
43,Jerry Jackson / Baltimore Sun,Professional - baltimore sun,,,,10
44,Eduardo Munoz Alvarez / Getty Images,Professional - getty,,,,1
45,Laurence Kesterson / AP,Professional - AP,,,,1
46,Michael Conroy / AP,Professional - AP,,,,2
47,Karl Merton Ferron / Baltimore Sun,Professional - baltimore sun,,,,5
48,"Robert F. Kniesche, Baltimore Sun photo",Professional - baltimore sun,,,,1
49,"William Klender, Baltimore Sun photo",Professional - baltimore sun,,,,1
50,Courtesy of the Baltimore Police Department,Professional - police,,,,2
51,Lillian Reed / Baltimore Sun,Professional - baltimore sun,,,,1
52,STAFF FILE PHOTO / Baltimore Sun,Professional - file,,,,1
53,LeRoy B. Merriken / Baltimore Sun,Professional - baltimore sun,,,,1
54,Terrapin Yearbook archives,Professional - archive,,,,1
55,Amy Davis / Baltimore Sun,Professional - baltimore sun,,,,6
56,"Brian Krista, Baltimore Sun Media Group",Professional - baltimore sun,,,,2
57,by Joshua McKerrow / Capital Gazette,Professional - gazette,,,,1
58,Handout,Citizen - handout,,,,6
59,Andy Brownbill / AP,Professional - AP,,,,1
60,Will Russell / Getty Images,Professional - getty,,,,1
61,Trevor Collens / AP,Professional - AP,,,,1
62,DAVID GRAY / AFP/Getty Images,Professional - getty,,,,1
63,Aaron Favila / AP,Professional - AP,,,,1
64,Kin Cheung / AP,Professional - AP,,,,1
65,Courtesy of the Maryland Zoo,Professional - zoo,,,,2
66,Virginia Military Institute yearbook,Professional - institute,,,,1
67,Steve Earley/Staff,Professional - staff,,,,1
68,Cornell Museum of Art/Courtesy,Professional - museum,,,,1
69,Saul Loeb / AFP/Getty Images,Professional - getty,,,,1
70,Jed Kirschbaum / The Baltimore Sun,Professional - baltimore sun,,,,1
71,File photo,Professional - file,,,,1
72,Handout courtesy of The Cordish Cos.,Professional - co.,,,,1
73,Stephen M. Katz / TNS,Professional - tns,,,,1
74,Dave Mandel/SHOWTIME,                              ,,,,1
75,Frank Franklin II / AP,Professional - AP,,,,4
76,J.H. Shaefer & Son / courtesy of the Enoch Pratt Free Library,Professional - library,,,,1
77,James Everell Henry / Courtesy of the Enoch Pratt Free Library,Professional - library,,,,1
78,Patrick Semansky / AP,Professional - AP,,,,17
79,Phil Davis / Capital Gazette,Professional - gazette,,,,1
80,Maps courtesy of the Urban Institute,Professional - institute,,,,1
81,Ulysses Muñoz / Baltimore Sun,Professional - baltimore sun,,,,6
82,Armando L. Sanchez/Chicago Tribune,Professional - chicago,,,,2
83,Lifetime,                              ,,,,1
84,Jabin Botsford/Washington Post,Professional - washington post,,,,1
85,Courtesy of Monument City Brewing Company,Professional - city,,,,3
86,Kevin Rector / Baltimore Sun,Professional - baltimore sun,,,,1
87,Devin Allen/handout courtesy of Under Armour,Citizen - handout,,,,2
88,Lauren Lumpkin / Capital Gazette,Professional - gazette,,,,1
89,Obtained by The Washington Post,Professional - washington post,,,,1
90,Screenshot,Professional - co.,,,,1
91,Associated Press,Professional - press,,,,1
92,Jay Adeff / U.S. Figure Skating,                              ,,,,1
93,LARRY C. PRICE /,                              ,,,,1
94,Stephanie Klein-Davis/The Roanoke Times,Professional - times,,,,1
95,Algerina Perna / The Baltimore Sun,Professional - baltimore sun,,,,1
96,ADRIAN DENNIS / AFP/Getty Images,Professional - getty,,,,1
97,Pamela Wood / The Baltimore Sun,Professional - baltimore sun,,,,2
98,Win McNamee / Getty Images,Professional - getty,,,,2
99,Lawrence Jackson / Associated Press,Professional - press,,,,1
100,Bill Mortimer / Baltimore Sun,Professional - baltimore sun,,,,1
101,J. Scott Applewhite / AP,Professional - AP,,,,2
102,Jim Watson / AFP/Getty Images,Professional - getty,,,,2
103,Olivier Douliery / TNS,Professional - tns,,,,1
104,Kenneth K. Lam/The Baltimore Sun,Professional - baltimore sun,,,,1
105,"Kenneth K. Lam, Baltimore Sun",Professional - baltimore sun,,,,1
106,Four Seasons/Joshua Paul,                              ,,,,1
107,Kathy Willen/AP,Professional - AP,,,,1
108,Baltimore Police Department,Professional - police,,,,4
109,Amy Davis / The Baltimore Sun,Professional - baltimore sun,,,,5
110,Phil Grout / For Baltimore Sun Media Group,Professional - baltimore sun,,,,4
111,Fried Fishing/Facebook,Citizen - facebook,,,,1
112,Dylan Slagle,Professional - times,,,,4
113,Alex Wong / Getty Images,Professional - getty,,,,2
114,Doug Mills / AP,Professional - AP,,,,1
115,Doug Mills/AP,Professional - AP,,,,1
116,Libby Solomon/Towson Times / Baltimore Sun Media Group,Professional - baltimore sun,,,,3
117,Ethan Miller / Getty Images,Professional - getty,,,,1
118,David J. Phillip / AP,Professional - AP,,,,1
119,Susan Walsh / AP,Professional - AP,,,,2
120,Ross D. Franklin / AP,Professional - AP,,,,1
121,Charlie Riedel / AP,Professional - AP,,,,1
122,Baltimore Sun Graphic,Professional - baltimore sun,,,,2
123,Scott Taetsch / Getty Images,Professional - getty,,,,2
124,Courtesy Photo,Professional - police,,,,1
125,LOGAN CYRUS / AFP/Getty Images,Professional - getty,,,,1
126,Brian Krista / Baltimore Sun Media Group,Professional - baltimore sun,,,,3
127,Ulysses Muñoz / The Baltimore Sun,Professional - baltimore sun,,,,8
128,Ian Feldmann / UMBC Athletics,Professional - athletics,,,,1
129,Courtesy photo/Maryland Department of Natural Resources,Professional - department,,,,2
130,Joshua McKerrow / Baltimore Sun Media Group,Professional - baltimore sun,,,,1
131,Joshua McKerrow / Capital Gazett,Professional - gazette,,,,1
132,Michael Ares / Baltimore Sun,Professional - baltimore sun,,,,1
133,Gerald Herbert / AP,Professional - AP,,,,1
134,Chris Pizzello / Invision / AP,Professional - AP,,,,1
135,Andy Pareti,                              ,,,,1
136,Photo provided by MD Film Festival,Professional - film,,,,1
137,Anna Wloch,                              ,,,,1
138,Brad Barket / Getty Images,Professional - getty,,,,1
139,Ulysses Munoz / Baltimore Sun,Professional - baltimore sun,,,,2
140,Reed Hoffmann / AP,Professional - AP,,,,1
141,Steve Luciano / AP,Professional - AP,,,,1
142,Carolyn Kaster / AP,Professional - AP,,,,2
143,Jerry Jackson / The Baltimore Sun,Professional - baltimore sun,,,,4
144,Curtis Compton / TNS,Professional - tns,,,,1
145,Kevin Winter / Getty Images,Professional - getty,,,,1
146,Patrick Smith / Getty Images,Professional - getty,,,,1
147,Lillian Reed / The Baltimore Sun,Professional - baltimore sun,,,,1
148,Wally Skalij / Los Angeles Times,Professional - times,,,,3
149,ANGELA WEISS/AFP/Getty Images,Professional - getty,,,,1
150,TIMOTHY A. CLARY / AFP/Getty Images,Professional - getty,,,,1
151,Weyman D. Swagger / Baltimore Sun file,Professional - file,,,,1
152,United Press International,Professional - international,,,,1
153,Baltimore Sun file,Professional - file,,,,1
154,Ellis Malashuk / Baltimore Sun,Professional - baltimore sun,,,,1
155,Walter McCardell / Baltimore Sun photo,Professional - baltimore sun,,,,1
156,Gene Sweeney Jr. / Baltimore  Sun,                              ,,,,1
157,Baltimore Sun file photo,Professional - file,,,,1
158,Erik S. Lesser / EPA-EFE / REX,                              ,,,,1
159,Baltimore Symphony Orchestra,                              ,,,,2
160,Jae C. Hong / AP,Professional - AP,,,,3
161,Rick Scuteri / AP,Professional - AP,,,,2
162,Daniel Slim/AFP/Getty Images,Professional - getty,,,,1
163,Courtesy photo,Professional - police,,,,2
164,Cocina Luchadoras / Handout photo,Citizen - handout,,,,1
165,Shutterstock,Professional - shutterstock,,,,1
166,Alfie Photography/Shutterstock.com,Professional - co.,,,,1
167,Baltimore County police,Professional - police,,,,1
168,Courtesy of Mark and Sandra Laken / HANDOUT,Citizen - handout,,,,1
169,Katherine Frey / Washington Post,Professional - washington post,,,,2
170,Alex Edelman/Getty Images,Professional - getty,,,,1
171,Eastern Virginia Medical School,Professional - school,,,,2
172,Steve Helber/AP,Professional - AP,,,,1
173,Gene J. Puskar / AP,Professional - AP,,,,2
174,Matt Slocum / AP,Professional - AP,,,,1
175,Harford County Sheriff's Office,Professional - sherif,,,,1
176,Joe Klamar / AFP/Getty Images,Professional - getty,,,,1
177,Charles Rex Arbogast/AP,Professional - AP,,,,1
178,Charles Tasnadi/AP,Professional - AP,,,,1
179,AP Photo,Professional - ap,,,,1
180,Libby Solomon / Baltimore Sun Media Group,Professional - baltimore sun,,,,1
181,"Dan Rodricks, Baltimore Sun",Professional - baltimore sun,,,,1
182,Kim Hairston / The Baltimore Sun,Professional - baltimore sun,,,,2
183,Capital Gazette file,Professional - file,,,,1
184,Christine Zhang/Baltimore Sun Graphic | Data: National Weather Service,Professional - baltimore sun,,,,3
185,Maddie Meyer / Getty Images,Professional - getty,,,,1
186,Elise Amendola / AP,Professional - AP,,,,1
187,Calla Kessler / The Washington Post,Professional - washington post,,,,2
188,Bill Bramhall/New York Daily News,Professional - news,,,,1
189,Andrew Harnik / AP,Professional - AP,,,,2
190,Scott Stantis,                              ,,,,1
191,Jen Rynda / Baltimore Sun Media Group,Professional - baltimore sun,,,,1
192,Nate Pesce / For Baltimore Sun Media Group,Professional - baltimore sun,,,,2
193,Ram,Professional - file,,,,1
194,Elizabeth Malby / Baltimore Sun,Professional - baltimore sun,,,,1
195,Edward Nolan / Baltimore Sun files,Professional - baltimore sun,,,,1
196,Kevin Rector / The Baltimore Sun,Professional - baltimore sun,,,,1
197,Aegis file,Professional - file,,,,1
198,Kyusung Gong / AP,Professional - AP,,,,1
199,Adam Hunger / AP,Professional - AP,,,,1
200,Brandy Truitt,                              ,,,,1
201,Guy Fieri,                              ,,,,1
202,istockphoto.com,Professional - co.,,,,1
203,Kevin Richardson / Baltimore Sun,Professional - baltimore sun,,,,10
204,Anne Arundel County Fire Department/Handout,Professional - county,,,,1
205,Jonathan Bachman / Getty Images,Professional - getty,,,,1
206,Handout / HANDOUT,Citizen - handout,,,,2
207,Joshua McKerrow / Capital Gazette,Professional - gazette,,,,1
208,Jean Pieri/ AP,Professional - AP,,,,1
209,Nati Harnik/AP,Professional - AP,,,,1
210,Gail Burton / AP,Professional - AP,,,,1
211,"Karl Merton Ferron, Baltimore Sun",Professional - baltimore sun,,,,1
212,Karl Merton Ferron / The Baltimore Sun,Professional - baltimore sun,,,,1
213,Katherine Frey / The Washington Post,Professional - washington post,,,,1
