Index,Source,P/C,,,,Count
1,"(AP Photo/Jacquelyn Martin, File)",Professional - file,,,,1
2,"(AP Photo/Carolyn Kaster, File)",Professional - file,,,,1
3,No Credit,                              ,,,,63
4,(Photo by Kevin C. Cox/Getty Images),Professional - co.,,,,3
5,Staff photo by Christopher Evans.,Professional - staff,,,,1
6,(Staff Photo By Matt Stone/MediaNews Group/Boston Herald),Professional - media,,,,16
7,(Staff Photo By Chris Christo/MediaNews Group/Boston Herald),Professional - media,,,,17
8,(AP Photo/Giovanni Auletta),Professional - ap,,,,1
9,(AP Photo/Carolyn Kaster),Professional - ap,,,,4
10,Ashland Police Department,Professional - police,,,,1
11,(AP Photo/Steve Helber),Professional - ap,,,,3
12,Staff photo by John Wilcox.,Professional - staff,,,,1
13,(Photo by Paul Connors/Media News Group/Boston Herald),Professional - news,,,,2
14,(Olivier Douliery/Abaca Press/TNS),Professional - tns,,,,1
15,(Staff Photo By Stuart Cahill/MediaNews Group/Boston Herald),Professional - media,,,,35
16,David Burd,                              ,,,,9
17,(Staff Photo By Christopher Evans/Boston Herald),Professional - boston herald,,,,2
18,No Image,                              ,,,,8
19,(Staff Photo By Jim Mahoney/MediaNews Group/Boston Herald),Professional - media,,,,11
20,(Photo by Alex Wong/Getty Images),Professional - getty,,,,4
21,(Staff photo By Nicolaus Czarnecki/MediaNews Group/Boston Herald),Professional - media,,,,29
22,(AP Photo/Brynn Anderson),Professional - ap,,,,2
23,(Photo By Faith Ninivaggi/ MediaNews Group/BostonHerald),Professional - media,,,,2
24,"(AP Photo/Jim Cole, File)",Professional - file,,,,1
25,(Photo by Joseph PREZIOSO / AFP),                              ,,,,1
26,"(FBI via AP, File)",Professional - file,,,,1
27,  Pawtucket Police photos.,Professional - police,,,,1
28,(Photo credit should read LUCY NICHOLSON/AFP/Getty Images),Professional - getty,,,,1
29,(Photo by Evening Standard/Hulton Archive/Getty Images),Professional - getty,,,,3
30,(Photo by Keystone/Getty Images),Professional - getty,,,,1
31,(Photo by John Pratt/Getty Images),Professional - getty,,,,2
32,(Photo by Evening Standard/Getty Images),Professional - getty,,,,1
33,(Photo by Henry Gris/FPG/Getty Images),Professional - getty,,,,1
34,(Photo by Bob Haswell/Daily Express/Hulton Archive/Getty Images),Professional - getty,,,,1
35,Courtesy of the Chourb family,Citizen - family,,,,1
36,(AP Photo/Steven Senne),Professional - ap,,,,8
37,(Photo By Mary Schwalm/MediaNews Group/Boston Herald),Professional - media,,,,9
38,(AP Photo/Ben Margot),Professional - ap,,,,2
39,Photo courtesy Tabor Academy.,Professional - academy,,,,2
40,(AP Photo/Peter Cosgrove),Professional - ap,,,,2
41,(Photo by Michelle Jay),                              ,,,,2
42,Jim Pierce/Northeastern Athletics.,Professional - athletics,,,,2
43,(AP Photo/J. Scott Applewhite),Professional - ap,,,,4
44,(left) and Hilary Knight skate around the ice with the American flag following yesterday’s 3-2 shootout victory against Canada.,Professional - ice,,,,1
45,(Staff Photo By Christopher Evans/MediaNews Group/Boston Herald),Professional - media,,,,46
46,(Staff Photo By Patrick Whittemore/Boston Herald),Professional - boston herald,,,,1
47,(Staff photo By Nicolaus Czarnecki),Professional - staff,,,,1
48,Matt Stone//Boston Herald,Professional - boston herald,,,,1
49,ANGELA ROWLINGS / HERALD STAFF FILE,Professional - file,,,,1
