Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,142
2,Steve Zalusky | Staff Photographer,Professional - staff,,,,5
3,Associated Press,Professional - press,,,,461
4,- Associated Press,Professional - press,,,,6
5,- Associated Press file photo,Professional - file,,,,2
6,Associated Press/William Morrow,Professional - press,,,,1
7,Courtesy of Anne Whitman Photography,                              ,,,,1
8,Associated Press file photo,Professional - file,,,,1
9,Courtesy of Chicago Botanic Garden,Professional - chicago,,,,2
10,"Denise Crew, Netflix",Professional - netflix,,,,1
11,Steve Lundy | Staff Photographer,Professional - staff,,,,63
12,No Image,                              ,,,,82
13,Courtesy of Mount Prospect,                              ,,,,4
14,Joe Lewnard | Staff Photographer,Professional - staff,,,,42
15,Courtesy of Linda M Barrett,                              ,,,,2
16,Courtesy Elgin police,Professional - police,,,,1
17,Mark Welsh | Staff Photographer,Professional - staff,,,,12
18,- Mark Welsh | Staff Photographer,Professional - staff,,,,1
19,Daily Herald file photo November 2017,Professional - file,,,,1
20,- Daily Herald file photo January 2018,Professional - file,,,,1
21,- Courtesy of Anne Stava-Murray,                              ,,,,1
22,- Joe Lewnard | Staff Photographer,Professional - staff,,,,3
23,Assocaited Press,Professional - press,,,,1
24,Patrick Kunzer | Staff Photographer,Professional - staff,,,,20
25,South Bend Tribune via AP,Professional - AP,,,,1
26,- Grammar Moses | Staff Photographer,Professional - staff,,,,1
27,Bruce Miles | Staff Photographer/2017,Professional - staff,,,,1
28,Madhu Krishnamurthy | Staff Photographer,Professional - staff,,,,1
29,Courtesy of K9s of Valor Foundation,Professional - foundation,,,,1
30,Courtesy of Lake CouNty Sheriff's Office,Professional - sherif,,,,1
31,Courtesy of Karen Lund,                              ,,,,1
32,Courtesy of Susan Anderson-Khleif,                              ,,,,2
33,Courtesy of Feld Entertainment,Professional - entertainment,,,,1
34,"Courtesy of Alex Lombardi, Hulu",Professional - hulu,,,,1
35,"- Courtesy of Alex Lombardi, Hulu",Professional - hulu,,,,1
36,Courtesy of Jim Wright,                              ,,,,1
37,Courtesy of ABC,Professional - abc,,,,1
38,Courtesy of Rob Myers,                              ,,,,3
39,Courtesy of Lexington Homes,                              ,,,,2
40,Courtesy of M/I Homes,                              ,,,,1
41,"(AP Photo/Elise Amendola, File)",Professional - file,,,,1
42,Daily Herald file photos,Professional - file,,,,1
43,Bev Horne | Staff Photographer,Professional - staff,,,,16
44,Courtesy of Corron Farm Preservation Society,                              ,,,,1
45,- Daily Herald file photo,Professional - file,,,,1
46,"- Courtesy of ""Elgin, Illinois: Wish You Were Here"" Postcard History by William E. Bennett and The",                              ,,,,1
47,- Rick West | Staff Photographer,Professional - staff,,,,1
48,- Courtesy of Long Grove Historical Society,                              ,,,,1
49,- Bob Susnjara | Staff Photographer,Professional - staff,,,,1
50,- courtesy of the Corron Farm Preservation Society,                              ,,,,1
51,John Starks | Staff Photographer,Professional - staff,,,,26
52,BRIAN HILL | Staff Photographer,Professional - staff,,,,1
53,Courtesy of UIC Athletic Communications,                              ,,,,1
54,"Mark Welsh | Staff Photographer, 2015",Professional - staff,,,,2
55,Rich Hein/Chicago Sun-Times,Professional - chicago,,,,1
56,Daily Herald file photo June 2018,Professional - file,,,,1
57,Courtesy of B96,                              ,,,,1
58,- Courtesy of Andrea Joynt,                              ,,,,2
59,- Courtesy of Anne Whitman Photography,                              ,,,,2
60,"Associated Press/Feb. 18, 2014",Professional - press,,,,1
61,Stock photo,Professional - getty,,,,1
62,"Associated Press/April 26, 2015",Professional - press,,,,1
63,Courtesy of Jamie Sentz/Jamie D Photography,                              ,,,,1
64,Courtesy of Max Kim-Bee,                              ,,,,1
65,Courtesy Jeff Turner,                              ,,,,1
66,Courtesy of Michael Brosilow,                              ,,,,1
67,- Courtesy of Michael Brosilow,                              ,,,,4
68,Courtesy of Ignescent,                              ,,,,1
69,Courtesy of Rick Aguilar Studios,Professional - studio,,,,1
70,- Courtesy of Scott Richardson,                              ,,,,1
