Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,269
2,No Image,                              ,,,,155
3,Photo: Staff Writer,Professional - staff,,,,17
4,Photo: www.whiotv.com,Professional - co.,,,,1
5,Photo: Sean Gallup/Getty Images,Professional - getty,,,,1
6,(Photo: Coca-Cola),Professional - coca-cola,,,,1
7,Photo: AP,Professional - AP,,,,2
8,Photo: Larry French/Getty Images for SiriusXM,Professional - getty,,,,1
9,Photo: Republica/Pixabay,                              ,,,,1
10,Photo: Ty Greenlees,                              ,,,,7
11,Photo: Ezeakiel Estes/ Ohio Attorney General's Office,                              ,,,,1
12,Photo: DeAndre Davis (STAFF),Professional - staff,,,,1
13,Photo: Charlotte-Mecklenburg Police Department,Professional - police,,,,1
14,Photo: JIM NOELKER / STAFF,Professional - staff,,,,1
15,Photo: MONTGOMERY COUNTY JAIL,Professional - jail,,,,19
16,Photo: STAFF FILE,Professional - file,,,,1
17,(Courtesy/family/H.H. Roberts Mortuary),Citizen - family,,,,1
18,Photo: Contributed,Citizen - contributed,,,,2
19,Photo: Lisa Powell,                              ,,,,1
20,(Contributed Photo/Montgomery County Jail),Professional - jail,,,,2
21,Photo: MARSHALL GORBY/STAFF,Professional - staff,,,,2
22,Photo: De'Andre Davis/STAFF,Professional - staff,,,,1
23,Photo: DeAndre Davis/STAFF,Professional - staff,,,,1
24,Photo: (Photo by Shannon O'Hara/Getty Images for Pizza Hut),Professional - getty,,,,1
25,(Photo by NFL via Getty Images),Professional - nfl,,,,1
26,Photo: x,Professional - news,,,,1
27,Photo: Columbus bureau,Professional - bureau,,,,2
28,(WSBTV.com),Professional - co.,,,,2
29,Photo: Columbus Bureau,Professional - bureau,,,,1
30,Photo: Montgomery County Jail,Professional - jail,,,,1
31,Photo: Mark Fisher,                              ,,,,1
32,Photo: Frederick M. Brown/Getty Images,Professional - getty,,,,1
33,Photo: Washington Bureau,Professional - bureau,,,,2
34,Photo: David Jablonski - Staff Writer,Professional - staff,,,,2
35,Photo: SARAH SILBIGER/NYT,Professional - nyt,,,,2
36,Photo courtesy Miami Valley Jails,                              ,,,,1
37,(Montgomery County Jail),Professional - jail,,,,1
38,Photo: Google Maps,Professional - google maps,,,,1
39,Photo: HANDOUT/David Jablonski/Staff,Professional - staff,,,,1
40,Photo: 3dman_eu,                              ,,,,1
41,Photo: FILE PHOTO/Staff,Professional - file,,,,1
