Index,Source,P/C,,,,Count
1,(Photo: John J. Jankowski Jr./Special to The News Journal),Professional - news,,,,5
2,"Jesse D. Garrabrant, NBAE/Getty Images",Professional - getty,,,,7
3,"Andrew D. Bernstein, NBAE/Getty Images",Professional - getty,,,,3
4,"Jerry Habraken, The News Journal",Professional - news,,,,127
5,"WILLIAM BRETZGER, The News Journal",Professional - news,,,,218
6,No Image,                              ,,,,54
7,(Photo: National Weather Service),Professional - service,,,,1
8,"(Photo: Rhyne Piggott, USAT)",                              ,,,,1
9,(Photo: Submitted photo),Citizen - submitted,,,,4
10,(Photo: The News Journal),Professional - news,,,,1
11,"(Photo: WILLIAM BRETZGER, The News Journal)",Professional - news,,,,41
12,"(Photo: Austin, Michael A (DSP))",                              ,,,,1
13,(Photo: John Jankowski),                              ,,,,10
14,"(Photo: Morgan Lee, AP)",Professional - ap,,,,2
15,"(Photo: Hans Pennink, AP)",Professional - ap,,,,1
16,"(Photo: Elaine Thompson, AP)",Professional - ap,,,,1
17,(Photo: Delaware City Fire Company),Professional - city,,,,4
18,(Photo: Courtesy of Pam Collacchi),                              ,,,,2
19,(Photo: Memorial Fire Company of Slaughter Beach),Professional - company,,,,3
20,(Photo: EMILY VARISCO/SPECIAL TO DELAWARE NEWS JOURNAL),Professional - news,,,,2
21,(Photo: Courtesy of Wilmington Police Department),Professional - police,,,,2
22,(Photo: Courtesy of New Castle County Police Department),Professional - police,,,,2
23,JOHN J. JANKOWSKI JR./SPECIAL TO THE NEWS JOURNAL,Professional - news,,,,22
24,"(Photo: Jerry Habraken, The News Journal)",Professional - news,,,,25
25,"(Photo: Jason Minto, The News Journal)",Professional - news,,,,13
26,(Photo: Jerry Smith/The News Journal),Professional - news,,,,1
27,(Photo: JASON MINTO/THE NEWS JOURNAL),Professional - news,,,,6
28,(Photo: GARY EMEIGH/SPECIAL TO THE NEWS JOURNAL),Professional - news,,,,1
29,(Photo: Submitted),Citizen - submitted,,,,6
30,(Photo: Christina Jedra/THE NEWS JOURNAL),Professional - news,,,,1
31,Getty Images,Professional - getty,,,,3
32,"Michael Parmelee, CBS",Professional - cbs,,,,4
33,Michael Parmelee/CBS,Professional - cbs,,,,1
34,CBS,Professional - cbs,,,,1
35,"Willy Sanjuan, Willy Sanjuan/Invision/AP",Professional - AP,,,,1
36,(Photo: Courtesy of the Delaware Department of Justice),Professional - delaware,,,,1
37,(Photo: Dover police),Professional - police,,,,5
38,(Photo: Wilmington police),Professional - police,,,,2
39,(Photo: PWIL),                              ,,,,1
40,(Photo: DELAWARE DEPARTMENT OF JUSTICE),Professional - delaware,,,,19
41,"(Photo: Jennifer Corbett, The News Journal)",Professional - news,,,,22
42,(Photo: Damian Giletto/The News Journal),Professional - news,,,,9
43,DELAWARE DEPARTMENT OF JUSTICE,Professional - delaware,,,,16
44,Police mug.,Professional - police,,,,7
45,No Credit,                              ,,,,11
46,The News Journal archives,Professional - news,,,,3
47,"(Photo: Alex Brandon, AP)",Professional - ap,,,,2
48,(Photo: .),Professional - co.,,,,4
49,"Daniel Sato, The News Journal",Professional - news,,,,31
50,(Photo: NWS),                              ,,,,3
51,"(Photo: Chip Somodevilla, Getty Images)",Professional - getty,,,,2
52,(Photo: THE NEWS JOURNAL/WILLIAM BRETZGER),Professional - news,,,,1
53,(Photo: Patricia Talorico/The News Journal),Professional - news,,,,3
54,(Photo: Betsy Price/The News Journal),Professional - news,,,,1
55,(Photo: File photo),Professional - file,,,,3
56,(Photo: Courtesy of Harold A. Davis/Longwood Gardens),                              ,,,,1
57,"(Photo: Suchat Pederson, The News Journal)",Professional - news,,,,4
58,(Photo: Courtesy of Matt Urban/NüPOINT Marketing),                              ,,,,1
59,"(Photo: Courtesy of Matt Urban/, NüPOINT Marketing)",                              ,,,,1
60,"Courtesy of Matt Urban/, NüPOINT Marketing",                              ,,,,17
61,(Photo: Jennifer Corbett/The News Journal),Professional - news,,,,2
62,(Photo: U.S. Department of Veterans Affairs),Professional - department,,,,1
63,"JOHANNES EISELE, AFP/Getty Images",Professional - getty,,,,2
64,"Nicholas Hunt, Getty Images",Professional - getty,,,,6
65,"Julio Cortez, AP",Professional - AP,,,,1
66,"Randy Brooke, WireImage",Professional - wireimage,,,,1
67,"(Photo: Charles Dharapak, ASSOCIATED PRESS)",Professional - press,,,,1
68,"(Photo: Regina H. Boone, Detroit Free Press)",Professional - press,,,,1
69,"(Photo: Jessica J. Trevino, Detroit Free Press)",Professional - press,,,,1
70,"(Photo: Associated Press, Family photo)",Professional - press,,,,1
71,"(Photo: Madalyn Ruggiero, Detroit Free Press)",Professional - press,,,,1
72,"(Photo: Kimberly P. Mitchell, Detroit Free Press)",Professional - press,,,,1
73,J. Scott Applewhite/AP,Professional - AP,,,,1
74,"Susan Walsh, AP",Professional - AP,,,,1
75,"Jack Gruber, USAT",                              ,,,,1
76,(Photo: David Ryder / Getty Images),Professional - getty,,,,1
77,"(Photo: Marion Curtis, AP)",Professional - ap,,,,1
78,(Photo: Courtesy of Jake Najera),                              ,,,,4
79,(Photo: Joe Purzycki and Mike Gastineau),                              ,,,,1
80,"(Photo: The News Journal/ROBERT CRAIG, The News Journal/ROBERT CRAIG)",Professional - news,,,,1
81,"(Photo: The News Journal/WILLIAM BRETZGER, The News Journal/WILLIAM BRETZGE)",Professional - news,,,,1
82,"(Photo: John Bazemore, AP)",Professional - ap,,,,4
83,"(Photo: Bill Streicher, USA TODAY Sports)",Professional - usa today sports,,,,1
84,"Matt Slocum, AP",Professional - AP,,,,26
85,(Photo: KYLE GRANTHAM/THE NEWS JOURNAL),Professional - news,,,,6
86,"(Photo: Louis Requena, MLB Photos via Getty Images)",Professional - getty,,,,1
87,"Louis Requena, MLB Photos via Getty Images",Professional - getty,,,,1
88,AP,Professional - AP,,,,7
89,"Paul Shane, AP",Professional - AP,,,,1
90,"Anonymous, AP",Professional - AP,,,,1
91,"Harold Filan, AP",Professional - AP,,,,1
92,"uncredited, AP",Professional - AP,,,,1
93,"Dave Pickoff, AP",Professional - AP,,,,1
94,Courtesy of Matt Urban/NüPOINT Marketing,                              ,,,,1
95,"(Photo: John E. Sokolowski, USA TODAY Sports)",Professional - usa today sports,,,,1
96,"John E. Sokolowski, USA TODAY Sports",Professional - usa today sports,,,,1
97,"Jeremy Brevard, USA TODAY Sports",Professional - usa today sports,,,,1
98,"Derick E. Hingle, USA TODAY Sports",Professional - usa today sports,,,,1
99,"Rick Osentoski, USA TODAY Sports",Professional - usa today sports,,,,1
100,"Brad Mills, USA TODAY Sports",Professional - usa today sports,,,,1
101,"Mike Dinovo, USA TODAY Sports",Professional - usa today sports,,,,1
102,"Erik Williams, USA TODAY Sports",Professional - usa today sports,,,,1
103,"Tommy Gilligan, USA TODAY Sports",Professional - usa today sports,,,,3
104,"Steve Mitchell, USA TODAY Sports",Professional - usa today sports,,,,1
