Index,Source,P/C,,,,Count
1,"(Photo: Romain Blanquart, Detroit Free Press)",Professional - press,,,,9
2,"(Photo: Emma McIntyre, Getty Images for the Recording A)",Professional - getty,,,,1
3,"(Photo: Kimberly P. Mitchell, Detroit Free Press)",Professional - press,,,,34
4,"(Photo: Jonathan Daniel, Getty Images)",Professional - getty,,,,1
5,"(Photo: Jon Durr, USA TODAY Sports)",Professional - usa today sports,,,,1
6,"Nam Y. Huh, AP",Professional - AP,,,,4
7,"Erin Hooley, TNS",Professional - tns,,,,6
8,"Jon Durr, Jon Durr-USA TODAY Sports",Professional - usa today sports,,,,6
9,"Jonathan Daniel, Getty Images",Professional - getty,,,,2
10,No Image,                              ,,,,84
11,"(Photo: Ryan Garza, Detroit Free Press)",Professional - press,,,,29
12,(Photo: Ellen Creager),Professional - press,,,,1
13,(Photo: Bedrock),Professional - city,,,,2
14,Jessica J. Trevino/DFP,                              ,,,,3
15,Jessica Trevino/DFP,                              ,,,,3
16,(Photo: Craighead County Sheriff's Office),Professional - sherif,,,,1
17,"(Photo: Adam Hunger, USA TODAY Sports)",Professional - usa today sports,,,,2
18,"Bill Streicher, USA TODAY Sports",Professional - usa today sports,,,,4
19,"Derick E. Hingle, USA TODAY Sports",Professional - usa today sports,,,,6
20,"Jesse Johnson, USA TODAY Sports",Professional - usa today sports,,,,4
21,"Wendell Cruz, USA TODAY Sports",Professional - usa today sports,,,,4
22,"Jayne Kamin-Oncea, USA TODAY Sports",Professional - usa today sports,,,,4
23,"(Photo: Eric Seals, Detroit Free Press)",Professional - press,,,,10
24,"(Photo: Frank Franklin II, AP)",Professional - ap,,,,2
25,"Eric Seals, Detroit Free Press",Professional - press,,,,5
26,"(Photo: Kirthmon F. Dozier, Detroit Free Press)",Professional - press,,,,71
27,"Kirthmon F. Dozier, Detroit Free Press",Professional - press,,,,136
28,(Photo: Boy Howdy: The Story of CREEM Magazine),Professional - magazine,,,,1
29,"(Photo: John Collier, Detroit Free Press)",Professional - press,,,,2
30,(Photo: Boy Howdy: The Story CREEM Magazine),Professional - magazine,,,,1
31,"(Photo: Rey Del Rio, Getty Images)",Professional - getty,,,,8
32,"(Photo: Al Goldis, AP)",Professional - ap,,,,3
33,"Al Goldis, AP",Professional - AP,,,,46
34,"Rey Del Rio, Getty Images",Professional - getty,,,,8
35,"(Photo: Steven Molina Contreras, NBC)",Professional - nbc,,,,1
