Index,Source,P/C,,,,Count
1,"[MARK WOODS/FLORIDA TIMES-UNION]"",",Professional - times,,,,4
2,No Credit,                              ,,,,74
3,"[Photo by Weddings of Hawaii]"",",                              ,,,,2
4,"""Evan Agostini/Invision/AP"",",Professional - ap,,,,2
5,"""Drew Gurian/Invision/AP"",",Professional - ap,,,,1
6,"""Jordan Strauss/Invision/AP"",",Professional - ap,,,,1
7,"[Bob Self/Florida Times-Union]"",",Professional - times,,,,49
8,"(NORMAN STUDIOS--1916)"",",Professional - studio,,,,1
9,"[Eileen Kelley/Florida Times-Union]"",",Professional - times,,,,4
10,"[National Center for Missing & Exploited Children]"",",Professional - center,,,,1
11,"[Bob Self/Florida Times-Union, file]"",",Professional - file,,,,5
12,"[Florida Times-Union, file]"",",Professional - file,,,,1
13,"[Teresa Stepzinski/Florida Times-Union]"",",Professional - times,,,,2
14,"[Teresa Stepzinski/The Florida Times-Union]"",",Professional - times,,,,2
15,"[Provided by YMCA of Florida's First Coast]"",",                              ,,,,1
16,"[Bruce Lipsky/Florida Times-Union file photo]"",",Professional - file,,,,1
17,"(Will Dickey/Florida Times-Union)"",",Professional - times,,,,4
18,"[Clay County Sheriff's Office]"",",Professional - sherif,,,,2
19,"[Bob Self/Florida Times-Union]"",
						",Professional - times,,,,4
20,"(AP Photo/Alastair Grant, Pool, File)"",",Professional - file,,,,1
21,"(AP Photo/Evan Vucci, File)"",",Professional - file,,,,3
22,"(AP Photo/Ahn Young-joon)"",",Professional - ap,,,,1
23,"(AP Photo/Carolyn Kaster)"",",Professional - ap,,,,2
24,"(AP Photo/Evan Vucci, Korea Summit Press Pool via AP, File)"",",Professional - file,,,,1
25,"(Kham/Pool Photo via AP, File)"",",Professional - file,,,,1
26,"""The Associated Press"",",Professional - press,,,,33
27,"[NIGEL COOK/DAYTONA BEACH NEWS-JOURNAL FILE PHOTO]"",",Professional - file,,,,1
28,"[Terry Brite DelVall/UF/IFAS]"",",                              ,,,,1
29,"[Terry Brite DelValle/UF/IFAS]"",",                              ,,,,2
30,"[Florida Highway Patrol]"",",                              ,,,,1
31,"Photo/courtesy of the Jacksonville Historical Society"",",                              ,,,,1
32,"[Beaches Historical Society]"",
						",                              ,,,,1
33,"[Provided by the Beaches Museum & History Park]"",
						",Professional - museum,,,,1
34,"[State of Florida archives/Barron]"",
						",Professional - archive,,,,2
35,"[Florida Times-Union archives]"",
						",Professional - archive,,,,2
36,"[State of Florida archives]"",
						",Professional - archive,,,,2
37,"[State of Florida archives/Fisher]"",
						",Professional - archive,,,,1
38,"[State of Florida archives/Stokes]"",
						",Professional - archive,,,,1
39,"[David Bauerlein/Florida Times-Union]"",",Professional - times,,,,1
40,"[Tampa Bay Times]"",",Professional - times,,,,1
41,"[SPECIAL FOR HOMES]"",",                              ,,,,12
42,"[AUSTIN AMERICAN-STATESMAN FILE PHOTO]"",",Professional - file,,,,2
43,No Image,                              ,,,,6
