Index,Source,P/C,,,,Count
1,None,Professional - gazette,,,,2
2,Kevin Mazur/Getty Images for Coachella,Professional - getty,,,,2
3,Erika Goldring/WireImage,Professional - wireimage,,,,2
4,Dimitrios Kambouris/Getty Images for Diamond Ball,Professional - getty,,,,2
5,Jerritt Clark/Getty Images for McDonald's,Professional - getty,,,,2
6,WARNER BROS. PICTURES,Professional - warner bros,,,,2
7,Getty Images for BET and Getty Images for Coachella respectively,Professional - getty,,,,2
8,FilmMagic For dcp and Invision/AP respectively,Professional - ap,,,,2
9,Jeff Kravitz/FilmMagic,                              ,,,,2
10,Emma McIntyre/Getty Images for iHeartMedia,Professional - getty,,,,1
11,(Photo: XAVIER MASCAREÑAS/ Treasure Coast News via USA TODAY Network),Professional - news,,,,1
12,(Photo: AUSTIN HUMPHREYS/The Coloradoan),                              ,,,,1
13,(Photo: TOM TINGLE/The Republic via USA TODAY Network),Professional - the republic,,,,1
14,"(Photo: RHONA WISE, AFP/Getty Images)",Professional - getty,,,,1
15,(Photo: CAMILLE FINE/USA TODAY),Professional - usa today,,,,1
16,"(Photo: (AP Photos. Scott Applewhite, left, and Rich Schultz)",Professional - ap,,,,1
17,(Photo: Hali Tauxe/Tallahassee Democrat),                              ,,,,1
18,"(Photo: Shawn Thew, EPA-EFE)",                              ,,,,1
19,(Photo: Zach Pagano/NBC/NBCU Photo Bank via Getty Images),Professional - nbc,,,,1
20,(Photo: MICHAEL LAUGHLIN/ South Florida Sun-Sentinel via AP),Professional - ap,,,,1
21,No Image,                              ,,,,53
22,(Photo: hattiesburgmemory / Flickr),Citizen - flickr,,,,1
23,(Photo: Federal court records),Professional - record,,,,1
24,(Photo: Courtesy of The Cleveland Daily Banner),                              ,,,,1
25,(Photo: Brett Kelman/The Tennessean),Professional - tennessean,,,,3
26,(Photo: File/Gannett Mississippi),Professional - file,,,,1
27,(Photo: Submitted),Citizen - submitted,,,,26
28,(Photo: Courtesy of Ryan Lackey),                              ,,,,4
29,(Photo: Milwaukee County Jail),Professional - jail,,,,1
30,Angela Peterson/Milwaukee Journal Sentinel,Professional - journal sentinel,,,,12
31,Milwaukee Police Department/Milwaukee Journal Sentinel archives,Professional - journal sentinel,,,,1
32,Milwaukee Police Department/Journal Sentinel archives,Professional - journal sentinel,,,,1
33,(Photo: Mike De Sisti / Milwaukee Journal Sentinel),Professional - journal sentinel,,,,18
34,Pool photo by Steve Helber,                              ,,,,2
35,"Drew Angerer, Getty Images",Professional - getty,,,,8
36,"Logan Cyrus, AFP/Getty Images",Professional - getty,,,,2
37,"Shelby Lum, Richmond Times-Dispatch via AP",Professional - AP,,,,2
38,"Steve Earley, The Virginian-Pilot via AP",Professional - AP,,,,2
39,"Dan Currier, EPA-EFE",                              ,,,,2
40,"Alex Edelman, Getty Images",Professional - getty,,,,2
41,"Steve Helber, AP",Professional - AP,,,,3
42,(Photo: Milwaukee Journal Sentinel),Professional - journal sentinel,,,,11
43,Michael Sears / Milwaukee Journal Sentinel,Professional - journal sentinel,,,,21
44,Courtesy Max Zaruba,                              ,,,,3
45,Courtesy of Ryan Lackey,                              ,,,,8
46,(Photo: Ritchie B. Tongo/European Press Agency),Professional - press,,,,1
47,(Photo: Jim Nelson and Mike De Sisti / Milwaukee Journal Sentinel),Professional - journal sentinel,,,,1
48,(Photo: Hsu Tsun-HSU/Getty Images),Professional - getty,,,,1
49,(Photo: File/USA TODAY NETWORK/Wisconsin),Professional - file,,,,2
50,(Photo: Google),Professional - google,,,,1
51,(Photo: Todd Ponath/Now Media Group),Professional - media,,,,1
52,"(Photo: Carrie Antlfinger, Associated Press)",Professional - press,,,,2
53,(Photo: Rafael Carranza/The Republic),Professional - the republic,,,,2
54,"Andy Marlette, Pensacola (Fla.) News Journal",Professional - news,,,,2
55,"Mike Thompson, USA TODAY",Professional - usa today,,,,3
56,"- [ ] Marc Murphy, (Louisville, Ky.) Courier Journal",Professional - journal,,,,2
57,"The cartoonist's homepage, www.usatoday.com/opinion/",Professional - co.,,,,1
58,"Doug MacGregor, The (Fort Myers, Fla.) News-Press",Professional - press,,,,1
59,"(Photo: TIMOTHY A. CLARY, AFP/Getty Images)",Professional - getty,,,,1
60,(Photo: AP),Professional - ap,,,,5
61,"2012 photo by Joe Klamar, AFP/Getty Images",Professional - getty,,,,1
62,"Ted S. Warren, AP",Professional - AP,,,,2
63,"Dia Dipasupil, Getty Images",Professional - getty,,,,1
64,"Jasper Colt, USA TODAY",Professional - usa today,,,,7
65,"Chip Somodevilla, Getty Images",Professional - getty,,,,2
66,"David Ryder, Getty Images",Professional - getty,,,,1
67,"Richard Drew, AP",Professional - AP,,,,2
68,Courtesy of TIME Magazine via newsmakers,Professional - magazine,,,,1
69,(Photo: Kareem Elgazzar),Professional - enquirer,,,,1
70,Albert Cesare,Professional - enquirer,,,,8
71,Albert Cesare / The Enquirer,Professional - enquirer,,,,1
72,"(Photo: Jacquelyn Martin, AP)",Professional - ap,,,,2
73,(Photo: Jason Getz-USA TODAY Sports),Professional - usa today sports,,,,1
74,"Greg M. Cooper, USA TODAY Sports",Professional - usa today sports,,,,5
75,"Stew Milne, USA TODAY Sports",Professional - usa today sports,,,,4
76,"Stew Milne, Stew Milne-USA TODAY Sports",Professional - usa today sports,,,,2
77,(Photo: STEPH SOLIS/ASBURY PARK PRESS),Professional - asbury park press,,,,1
78,(Photo: Courtesy of Glenn Cashion),                              ,,,,2
79,"Kyle Terada, USA TODAY Sports",Professional - usa today sports,,,,7
80,"Michael Madrid, USA TODAY Sports",Professional - usa today sports,,,,1
81,"Jeff Gross, Getty Images",Professional - getty,,,,1
82,"Eric Risberg, AP",Professional - AP,,,,1
83,"Cliff Hawkins, Getty Images",Professional - getty,,,,1
84,(Photo: ETC),                              ,,,,1
85,(Photo: Getty Images),Professional - getty,,,,4
86,(Photo: Mark Hoffman / Milwaukee Journal Sentinel),Professional - journal sentinel,,,,11
87,(Photo: HGA Architects),Professional - architect,,,,5
88,(Photo: Photo courtesy of Milwaukee Journal Sentinel),Professional - journal sentinel,,,,2
89,(Photo: Jamie Nack),                              ,,,,1
90,(Photo: Photo courtesy Aroline Schmitt family.),Citizen - family,,,,1
91,(Photo: Photo courtesy of the O'Neill family),Citizen - family,,,,3
92,Photo courtesy of the O'Neill family,Citizen - family,,,,7
93,(Photo: Rudy Gutierrez/El Paso Times file),Professional - file,,,,1
94,(Photo: JASPER COLT/USA TODAY),Professional - usa today,,,,1
95,"(Photo: Rick Jervis, USA TODAY)",Professional - usa today,,,,1
96,"(Photo: Jamie McCarthy, Getty Images)",Professional - getty,,,,1
97,Mike De Sisti / Milwaukee Journal Sentinel,Professional - journal sentinel,,,,51
