Index,Source,P/C,,,,Count
1,(Shawn Thew / EPA/Shutterstock),Professional - epa,,,,1
2,(Pool / Getty Images),Professional - getty,,,,2
3,(Noah Berger / Associated Press),Professional - press,,,,1
4,(Kent Nishimura / Los Angeles Times),Professional - times,,,,11
5,(Jim Mone / Associated Press),Professional - press,,,,2
6,(Rich Pedroncelli / Associated Press),Professional - press,,,,9
7,(Manuel Balce Ceneta / Associated Press),Professional - press,,,,1
8,(Allen J. Schaben / Los Angeles Times),Professional - times,,,,13
9,(Clay Enos / Warner Bros.),Professional - warner bros,,,,1
10,(Robert Paul / For Blizzard Entertainment),Professional - entertainment,,,,3
11,(Brandon Dill / Associated Press),Professional - press,,,,1
12,(John Gibbins / San Diego Union-Tribune),Professional - tribune,,,,1
13,"(AFP, AP, AP, AP, EPA)",Professional - ap,,,,1
14,(Getty Images),Professional - getty,,,,5
15,(Julio Cortez / Associated Press),Professional - press,,,,1
16,(Cultura RM/Gu / Getty Images),Professional - getty,,,,1
17,(Silvia Razgova),                              ,,,,1
18,(Jacquelyn Martin / AP),Professional - ap,,,,1
19,(Jim Watson / AFP-Getty Images),Professional - getty,,,,1
20,(Los Angeles Times),Professional - times,,,,27
21,(Eric Risberg / Associated Press),Professional - press,,,,3
22,(Andrew Harnik / AP),Professional - ap,,,,1
23,(Alex Brandon / Associated Press),Professional - press,,,,2
24,(Marcus Yam / Los Angeles Times),Professional - times,,,,22
25,(Samuel Goldwyn Films),                              ,,,,1
26,(Scott Kowalchyk / CBS),Professional - cbs,,,,1
27,(Tech. Sgt. Charles Vaughn / U.S. Air National Guard),                              ,,,,2
28,(Staff Sgt. Christian Jadot / U.S Air National Guard),Professional - staff,,,,2
29,(Jay L. Clendenin / Los Angeles Times),Professional - times,,,,7
30,(Maria Alejandra Cardona / Los Angeles Times),Professional - times,,,,1
31,(Clay Enos / Warner Bros. Pictures),Professional - warner bros,,,,1
32,(Joseph Daniel Fiedler / For The Times),Professional - times,,,,1
33,(Isabel Rojas-Williams / Courtesy) ,                              ,,,,1
34,(Hayne Palmour IV / San Diego Union-Tribune),Professional - tribune,,,,2
35,(Ezequiel Becerra / AFP/Getty Images),Professional - getty,,,,1
36,(Courtesy of Orion Pictures),                              ,,,,1
37,(Brian van der Brug / Los Angeles Times),Professional - times,,,,12
38,(Kevin Chang / Daily Pilot),Professional - daily pilot,,,,2
39,(Associated Press),Professional - press,,,,7
40,(Marcio Jose Sanchez / Associated Press),Professional - press,,,,2
41,(Carlos Somonte / Netflix),Professional - netflix,,,,2
42,(Victor Chavez / Getty Images for Netflix),Professional - netflix,,,,1
43,(Guillermo Arias / AFP/Getty Images),Professional - getty,,,,1
44,(Rachel Murray / Getty Images for Netflix),Professional - netflix,,,,1
45,(David Montero / Los Angeles Times),Professional - times,,,,2
46,(Matt Sayles / Invision for Fiji Water/Associated Press),Professional - press,,,,1
47,(Gary Friedman / Los Angeles Times),Professional - times,,,,3
48,(Miguel Roberts / Associated Press),Professional - press,,,,1
49,(Steve Helber / Associated Press),Professional - press,,,,6
50,(Cliff Owen / Associated Press),Professional - press,,,,3
51,(Carolyn Cole / Los Angeles Times),Professional - times,,,,17
52,(Eduardo Contreras / San Diego Union-Tribune),Professional - tribune,,,,2
53,(Cannabiniers / Two Roots Brewing Co.),Professional - co.,,,,2
54,(Al Seib / Los Angeles Times),Professional - times,,,,12
55,(Matthew Putney / Associated Press),Professional - press,,,,1
56,(Erik S. Lesser / EPA/Shutterstock),Professional - epa,,,,1
57,(Saul Loeb / AFP/Getty Images),Professional - getty,,,,2
58,(Feadship),                              ,,,,1
59,(Francine Orr / Los Angeles Times),Professional - times,,,,6
60,(Michael Reynolds / EPA-EFE / REX),                              ,,,,1
61,(Danny Raustadt / TNS),Professional - tns,,,,1
62,(Jon Schleuss / Los Angeles Times),Professional - times,,,,1
63,(John Minchillo / Associated Press),Professional - press,,,,2
64,(Cliff Owen / AP),Professional - ap,,,,1
65,(National Enquirer),Professional - enquirer,,,,1
66,(Timothy A. Clary / AFP/Getty Images),Professional - getty,,,,1
67,(Marion Curtis),Professional - ap,,,,1
68,(Lawrence K. Ho / Los Angeles Times),Professional - times,,,,1
69,(Panupong Changchai / AFP/Getty Images),Professional - getty,,,,1
70,(EPA / Shutterstock),Professional - epa,,,,1
71,(Peter Morning/Mammoth Mountain),Professional - press,,,,1
72,(Alex Edelman/CNP),Professional - cnp,,,,1
73,(Fred Dufour / AFP/Getty Images),Professional - getty,,,,1
74,(Steven Ferdman / Getty Images),Professional - getty,,,,1
75,(Mariah Tauger / Los Angeles Times),Professional - times,,,,20
76,(Harry How / Getty Images),Professional - getty,,,,2
77,(Amy Sussman / Getty Images),Professional - getty,,,,2
78,(Mark Lennihan / Associated Press),Professional - press,,,,1
79,(Saul Loeb / AFP-Getty Images),Professional - getty,,,,2
80,(Kota Endo / Associated Press),Professional - press,,,,1
81,(Reed Saxon / AP),Professional - ap,,,,1
82,(Orange County Sheriff's Department),Professional - sherif,,,,1
83,(Stephanie Keith / Getty Images),Professional - getty,,,,2
84,(Daniel Acker / Bloomberg),Professional - bloomberg,,,,1
85,(Collier's),                              ,,,,1
86,(Economic Policy Institute),Professional - institute,,,,1
87,(Eva Hambach / AFP/Getty Images),Professional - getty,,,,2
88,(Ted S. Warren / Associated Press),Professional - press,,,,2
89,(Chris Pizzello / Invision/AP),Professional - ap,,,,1
90,(Fox Photos / Getty Images),Professional - fox,,,,1
91,(Alex Wong / TNS),Professional - tns,,,,1
92,(Kirk McKoy / Los Angeles Times),Professional - times,,,,8
93,(Abaca Press),Professional - press,,,,1
94,(Drew Angerer / Getty Images),Professional - getty,,,,2
95,No Credit,                              ,,,,3
96,(Los Angeles County Sheriff's Department),Professional - sherif,,,,1
97,(Kirsty Wigglesworth / Associated Press),Professional - press,,,,1
98,(Evan Agostini / Associated Press),Professional - press,,,,1
99,(Alabama Department of Corrections),Professional - department,,,,1
100,(Christian Parley / AP),Professional - ap,,,,1
101,(Luis Sinco / Los Angeles Times),Professional - times,,,,5
102,(OnScene.TV),                              ,,,,3
103,(Realtor.com),Professional - co.,,,,1
104,(Jon Elswick / Associated Press),Professional - press,,,,1
105,(Gabrielle Lurie / The Chronicle),Professional - the chronicle,,,,2
106,(Meg Oliphant / Getty Images),Professional - getty,,,,1
107,(Becca Milfeld / Special to The Washington Post),Professional - washington post,,,,1
108,(Randy Lewis / Los Angeles Times),Professional - times,,,,8
109,(Katie Falkenberg / Los Angeles Times),Professional - times,,,,4
110,(Patrick T. Fallon / For The Times),Professional - times,,,,4
111,(David Lee / Focus Features),                              ,,,,1
112,(Mason Trinca / For The Times),Professional - times,,,,1
113,(Mason Trinca / For The Times) ,Professional - times,,,,2
114,Mason Trinca / For The Times,Professional - times,,,,2
115,(Graham Barclay / For The Times),Professional - times,,,,1
116,(Columbia Pictures),Professional - columbia,,,,2
