Index,Source,P/C,,,,Count
1,Getty Images,Professional - getty,,,,737
2,NCPD,Professional - ncpd,,,,1
3,Charles Wenzelberg/Getty Images/AP,Professional - AP,,,,1
4,Charles Wenzelberg,Professional - AP,,,,28
5,Buttecream Bakery,                              ,,,,1
6,Getty Images/iStockphoto,Professional - getty,,,,15
7,AP; Charles Wenzelberg,Professional - ap,,,,1
8,Hester and Mark Bunge,                              ,,,,2
9,Mark Bunge,                              ,,,,2
10,Paul J. Bereswill,Professional - getty,,,,37
11,Richard Harbus for New York Post,Professional - new york post,,,,1
12,Getty Images for Tribeca Film Fe,Professional - film,,,,1
13,FilmMagic,Professional - getty,,,,11
14,Ahron R. Foster,                              ,,,,1
15,Brigitte Stelzer,Professional - ap,,,,10
16,No Image,                              ,,,,291
17,Richard Harbus,Professional - new york post,,,,6
18,WireImage,Professional - wireimage,,,,23
19,AP,Professional - AP,,,,453
20,Shutterstock,Professional - shutterstock,,,,190
21,AFP/Getty Images,Professional - getty,,,,63
22,Christopher Sadowski,                              ,,,,12
23,Paul J. Bereswill; Charles Wenzelberg,Professional - getty,,,,1
24,Charles Wenzelberg/New York Post,Professional - new york post,,,,10
25,Ellis Kaplan,Citizen - facebook,,,,3
26,Angel Chevrestt,                              ,,,,5
27,iStockphoto,Professional - istock,,,,17
28,Edmund J Coppa,                              ,,,,1
29,Summit County Police,Professional - police,,,,3
30,Elder Ordonez / SplashNews.com,Professional - co.,,,,1
31,John Roca,                              ,,,,7
32,Stefano Giovannini,                              ,,,,15
33,Helayne Seidman,Professional - washington post,,,,5
34,Mark Mellone,                              ,,,,1
35,Robert Sabo,Professional - AP,,,,14
36,Nashville Police Department,Professional - police,,,,2
37,Instagram,Citizen - instagram,,,,21
38,Reuters,Professional - reuters,,,,36
39,Galveston County Sheriff's Office,Professional - sherif,,,,2
40,Composite: Shutterstock,Professional - shutterstock,,,,9
41,Coca-Cola,Professional - coca-cola,,,,2
42,Shutterstock ,Professional - shutterstock,,,,28
43,SWNS,                              ,,,,37
44,Corey Sipkin,Professional - ap,,,,14
45,GC Images,                              ,,,,6
46,NBAE/Getty Images,Professional - getty,,,,27
47,Getty Images/Westend61,Professional - getty,,,,2
48,Charles Wenzelberg (2); Paul J. Bereswill; Getty Images,Professional - getty,,,,1
49,Getty Images (2); Paul J. Bereswill; Charles Wenzelberg,Professional - getty,,,,1
50,Bill Kostroun,Professional - AP,,,,5
