Index,Source,P/C,,,,Count
1,"CreditABC, via Getty Images",Professional - getty,,,,1
2,Kevork Djansezian/Getty Images,Professional - getty,,,,1
3,Christopher Polk/Getty Images,Professional - getty,,,,1
4,Kevin Winter/Getty Images,Professional - getty,,,,2
5,Frederick M. Brown/Getty Images,Professional - getty,,,,1
6,CreditJoshua Roberts/Reuters,Professional - reuters,,,,3
7,CreditJung Yeon-Je/Agence France-Presse — Getty Images,Professional - getty,,,,1
8,CreditMolly Matalon for The New York Times,Professional - times,,,,1
9,Matt Grubb for The New York Times,Professional - times,,,,1
10,Lauren Fleishman for The New York Times,Professional - times,,,,1
11,Molly Matalon for The New York Times,Professional - times,,,,1
12,CreditAaron Bernstein/Reuters,Professional - reuters,,,,1
13,Eastern Virginia Medical School,Professional - school,,,,3
14,Parker Michels-Boyce for The New York Times,Professional - times,,,,7
15,Steve Helber/Associated Press,Professional - press,,,,6
16,Andrew Harnik/Associated Press,Professional - press,,,,4
17,CreditAgence France-Presse — Getty Images,Professional - getty,,,,3
18,"Michel Setboun/Corbis, via Getty Images",Professional - getty,,,,1
19,"Alain Mingam/Gamma-Rapho, via Getty Images",Professional - getty,,,,1
20,Arash Khamooshi for The New York Times,Professional - times,,,,16
21,No Image,                              ,,,,94
22,CreditJean Chung for The New York Times,Professional - times,,,,1
23,Jean Chung for The New York Times,Professional - times,,,,3
24,CreditGetty Images,Professional - getty,,,,2
25,CreditJames Barron/The New York Times,Professional - times,,,,1
26,James Barron/The New York Times,Professional - times,,,,2
27,Jenn Ackerman for The New York Times,Professional - times,,,,10
28,No Credit,                              ,,,,78
29,Associated Press,Professional - press,,,,10
30,United Arab Emirates News Agency,Professional - news,,,,2
31,CreditLogan Cyrus/Agence France-Presse — Getty Images,Professional - getty,,,,2
32,"CreditGeoff Forester/The Concord Monitor, via Associated Press",Professional - press,,,,1
33,CreditMatt Dunham/Associated Press,Professional - press,,,,1
34,CreditBryan Denton for The New York Times,Professional - times,,,,4
35,Bryan Denton for The New York Times,Professional - times,,,,5
36,CreditErin Schaff for The New York Times,Professional - times,,,,14
37,CreditTony Cenicola/The New York Times,Professional - times,,,,2
38,Tony Cenicola/The New York Times,Professional - times,,,,10
39,CreditThe New York Times,Professional - times,,,,1
40,The New York Times,Professional - times,,,,3
41,CreditBrown Brothers,                              ,,,,2
42,New World Pictures/Everett Collection,                              ,,,,2
43,Everett Collection,Professional - warner bros,,,,2
44,CreditSaul Martinez for The New York Times,Professional - times,,,,1
45,Saul Martinez for The New York Times,Professional - times,,,,1
46,Rebecca Bliege Bird,                              ,,,,1
47,CreditJonathan Bartlett,                              ,,,,1
48,Pete Marovich for The New York Times,Professional - times,,,,4
49,Carlos Giusti/Associated Press,Professional - press,,,,1
50,Tom Brenner for The New York Times,Professional - times,,,,13
51,CreditKevin Hagen for The New York Times,Professional - times,,,,1
52,Kevin Hagen for The New York Times,Professional - times,,,,7
53,Kamil Zihnioglu/Associated Press,Professional - press,,,,1
54,Mehdi Fedouach/Agence France-Presse — Getty Images,Professional - getty,,,,1
55,Gonzalo Fuentes/Reuters,Professional - reuters,,,,2
56,Zakaria Abdelkafi/Agence France-Presse — Getty Images,Professional - getty,,,,2
57,CreditNBC,                              ,,,,2
58,CreditVideo by Saturday Night Live,                              ,,,,1
59,CreditThomas Peter/Reuters,Professional - reuters,,,,2
60,CreditElizabeth Weinberg for The New York Times,Professional - times,,,,1
61,Sarah Silbiger/The New York Times,Professional - times,,,,19
62,"CreditFrom the Schomburg Center for Research in Black Culture, the New York Public Library",Professional - center,,,,1
63,From Jack Shainman Gallery,                              ,,,,1
64,CreditDrew Angerer/Getty Images,Professional - getty,,,,7
65,Drew Angerer/Getty Images,Professional - getty,,,,10
66,CreditNicol Biesek,                              ,,,,1
67,CreditAndrew Kasuku/Associated Press,Professional - press,,,,1
68,Hemed Manyeko,                              ,,,,1
69,Yasuyoshi Chiba/Agence France-Presse — Getty Images,Professional - getty,,,,1
70,Andrew Kasuku/Associated Press,Professional - press,,,,1
71,CreditMichelle V. Agins/The New York Times,Professional - times,,,,1
72,Michelle V. Agins/The New York Times,Professional - times,,,,1
73,"CreditNeil Hall/EPA, via Shutterstock",Professional - epa,,,,1
74,CreditKirsty Wigglesworth/Associated Press,Professional - press,,,,1
75,CreditSamyukta Lakshmi for The New York Times,Professional - times,,,,1
76,Prakash Elamakkara/Associated Press,Professional - press,,,,1
77,Samyukta Lakshmi for The New York Times,Professional - times,,,,2
78,Agence France-Presse — Getty Images,Professional - getty,,,,6
79,CreditMichael Lewis for The New York Times,Professional - times,,,,1
80,C.O. Bigelow Apothecaries,                              ,,,,1
81,Vincent Tullo for The New York Times,Professional - times,,,,1
82,CreditEmily Kask for The New York Times,Professional - times,,,,2
83,Emily Kask for The New York Times,Professional - times,,,,8
84,CreditJSC/NASA,Professional - nasa,,,,2
85,"Norman Kuring, NASA/GSFC/Suomi NPP",Professional - nasa,,,,2
86,"Michael Phillips, via Getty Images",Professional - getty,,,,2
87,CreditPhotograph by Anthony Cotsifas. Styled by Michael Reynolds,                              ,,,,1
88,Photograph by Anthony Cotsifas. Styled by Michael Reynolds,                              ,,,,2
89,CreditHeidi Younger,                              ,,,,1
90,CreditJackie Ferrentino,                              ,,,,1
91,María Medem,                              ,,,,6
92,CreditCari Vander Yacht,                              ,,,,1
93,CreditDevin Yalkin for The New York Times,Professional - times,,,,1
94,Sonny Figueroa/The New York Times,Professional - times,,,,3
95,Devin Yalkin for The New York Times,Professional - times,,,,4
96,CreditJulien Mignot for The New York Times,Professional - times,,,,2
97,Vincent Pontet,                              ,,,,1
98,"Raphael Gaillarde/Gamma-Rapho, via Getty Images",Professional - getty,,,,1
99,Julien Mignot for The New York Times,Professional - times,,,,2
100,"Etienne Laurent/EPA, via Shutterstock",Professional - epa,,,,1
101,CreditAmanda Andrade-Rhoades for The New York Times,Professional - times,,,,1
102,Amanda Andrade-Rhoades for The New York Times,Professional - times,,,,9
103,CreditSara Krulwich/The New York Times,Professional - times,,,,3
104,Christoph Niemann,                              ,,,,1
105,CreditDaniel Rodrigues for The New York Times,Professional - times,,,,1
106,Daniel Rodrigues for The New York Times,Professional - times,,,,10
107,CreditBrian Rea,                              ,,,,4
108,CreditJohnathon Kelso for The New York Times,Professional - times,,,,1
109,Johnathon Kelso for The New York Times,Professional - times,,,,7
110,CreditNik Wheeler,                              ,,,,1
111,Don McCullin,                              ,,,,9
112,CreditLars Leetaru,                              ,,,,1
113,CreditMorgan Rachel Levy for The New York Times,Professional - times,,,,1
114,Morgan Rachel Levy for The New York Times,Professional - times,,,,3
115,Christopher Capozziello for The New York Times,Professional - times,,,,1
116,CreditElizabeth Frantz for The New York Times,Professional - times,,,,5
117,Sam Hodgson for The New York Times,Professional - times,,,,4
118,Erin Schaff for The New York Times,Professional - times,,,,19
119,Stephen Crowley/The New York Times,Professional - times,,,,3
120,Tamir Kalifa for The New York Times,Professional - times,,,,12
121,CreditStephanie Keith for The New York Times,Professional - times,,,,4
122,Yana Paskova for The New York Times,Professional - times,,,,5
123,Stephen Speranza for The New York Times,Professional - times,,,,6
124,CreditSignifyin' Works and Frameline Distribution,                              ,,,,1
125,Signifyin' Works and Frameline Distribution.,                              ,,,,1
126,"University of California, Los Angeles",Professional - university,,,,1
127,Su Friedrich,                              ,,,,1
128,CreditAl Drago for The New York Times,Professional - times,,,,3
129,Al Drago for The New York Times,Professional - times,,,,1
130,Ahn Young-Joon/Associated Press,Professional - press,,,,1
131,CreditStefano Ukmar for The New York Times,Professional - times,,,,1
132,Stefano Ukmar for The New York Times,Professional - times,,,,6
133,"CreditSteve Ringman/The Seattle Times, via Associated Press",Professional - seattle times,,,,1
134,CreditPete Kiehart for The New York Times,Professional - times,,,,1
135,Dimitri Georganas/Associated Press,Professional - press,,,,1
136,CreditNeal Boenzi/The New York Times,Professional - times,,,,2
137,YLLA/Pryor Dodge,                              ,,,,1
138,Neal Boenzi/The New York Times,Professional - times,,,,1
139,Michael Evans/The New York Times,Professional - times,,,,1
140,William E. Sauro/The New York Times,Professional - times,,,,2
141,Walter Durkin/Associated Press,Professional - press,,,,1
142,Bill Cunningham/The New York Times,Professional - times,,,,2
143,John Sotomayor/The New York Times,Professional - times,,,,1
144,Eddie Hausner/The New York Times,Professional - times,,,,2
145,"CreditIllustration by Tyler Comrie; Photographs by Chloe Gudy/EyeEm, and Jamie Grill, via Getty Images",Professional - getty,,,,1
146,"Illustration by Tyler Comrie; Photograph by Jamie Grill, via Getty Images",Professional - getty,,,,1
147,CreditAssociated Press,Professional - press,,,,3
148,U.S. Army Office of the Surgeon General,                              ,,,,1
149,CreditKhalil Senosi/Associated Press,Professional - press,,,,1
150,Menahem Kahana/Agence France-Presse — Getty Images,Professional - getty,,,,3
151,Farah Abdi Warsameh/Associated Press,Professional - press,,,,1
