Index,Source,P/C,,,,Count
1,"(Photo by Will Lester, Inland Valley Daily Bulletin/SCNG)",Professional - scng,,,,42
2,No Image,                              ,,,,61
3,(AP Photo/Chris Szagola),Professional - ap,,,,11
4,"(Photo by Stan Lim, The Sun/SCNG)",Professional - scng,,,,1
5,(Photo courtesy of the Santa Ana Police Department),Professional - police,,,,5
6,(Photo Courtesy of the Santa Ana Police Department),Professional - police,,,,1
7,"(Omar Ricardo Aquije/The Post-Star via AP, File)",Professional - file,,,,1
8,(AP Photo/Damian Dovarganes),Professional - ap,,,,2
9,(AP Photo/Carolyn Kaster),Professional - ap,,,,6
10,(Glen Stubbe/Star Tribune via AP),Professional - ap,,,,1
11,(Anthony Souffle/Star Tribune via AP),Professional - ap,,,,1
12,(AP Photo/ Evan Vucci),Professional - ap,,,,3
13,"(AP Photo/Jacquelyn Martin, File)",Professional - file,,,,1
14,"(Photo by Mark Rightmire, Orange County Register/SCNG)",Professional - scng,,,,22
15,(AP Photo/Michael Dwyer),Professional - ap,,,,15
16,No Credit,                              ,,,,220
17,"(Photo by Keith Birmingham, Pasadena Star-News/SCNG)",Professional - scng,,,,42
18,"(Photo by David Crane, Los Angeles Daily News/SCNG)",Professional - scng,,,,24
19,(Photo by Austin Hargrave),                              ,,,,7
20,(Photo by Evan Agostini/Invision/AP),Professional - ap,,,,1
21,(Marvel Studios-Disney via AP),Professional - ap,,,,1
22,(Matt Kennedy/Marvel Studios-Disney via AP),Professional - ap,,,,1
23,(File Photo),Professional - file,,,,1
24,"(Photo by Jeff Gritchen, Orange County Register/SCNG)",Professional - scng,,,,74
25,"(Photo by Mindy Schauer, Orange County Register/SCNG)",Professional - scng,,,,40
26,(Photo by Southern Counties News),Professional - news,,,,4
27,(Photo courtesy Fullerton Police Department),Professional - police,,,,1
28,(Photo by OnScene.TV),                              ,,,,4
29,(Courtesy of the Anaheim Police Department),Professional - police,,,,1
30,"(AP Photo/Evan Agostini, File)",Professional - file,,,,1
31,(Photo by Kyusung Gong/Contributing Photographer),                              ,,,,33
32,(AP Photo/Mark J. Terrill),Professional - ap,,,,40
33,"(Photo by Dan Albano, Orange County Register/SCNG)",Professional - scng,,,,6
34,"(Photo by Michael Fernandez, Contributing Photographer)",Professional - file,,,,72
35,"(Photo by Paul Rodriguez, Contributing Photographer)",                              ,,,,23
36,"(Photo by Kevin Sullivan, Orange County Register/SCNG)",Professional - scng,,,,123
37,(AP Photo/Marcio Jose Sanchez),Professional - ap,,,,36
38,(Courtesy of Benoit Photo),Professional - benoit photo,,,,20
