Index,Source,P/C,,,,Count
1,Paul Drinkwater / NBCUniversal via Getty Images,Professional - getty,,,,2
2,Broward Sheriff's Office / Courtesy,Professional - sherif,,,,1
3,Katherine Frey/The Washington Post,Professional - washington post,,,,2
4,Jonathan Ferrey / Getty Images,Professional - getty,,,,1
5,Trae Patton/NBC,Professional - nbc,,,,3
6,Orlando Fire Department,Professional - department,,,,2
7,Elise Amendola / AP,Professional - AP,,,,2
8,AP,Professional - AP,,,,11
9,Robert Duyos / Sun Sentinel,Professional - sun sentinel,,,,1
10,AFP/Getty Images,Professional - getty,,,,1
11,Orlando Police Department,Professional - police,,,,3
12,Lee Jin-man / AP,Professional - AP,,,,1
13,No Image,                              ,,,,153
14,Joy Wallace Dickinson,                              ,,,,1
15,Jim Mone/AP,Professional - AP,,,,2
16,File,Professional - file,,,,15
17,No Credit,                              ,,,,171
18,Will Heath/NBC,Professional - nbc,,,,1
19,NBC / Will Heath/NBC,Professional - nbc,,,,2
20,Julio Cortez / Associated Press,Professional - press,,,,1
21,Aaron Gash/AP,Professional - AP,,,,1
22,Gerry Broome / AP,Professional - AP,,,,1
23,Steven Cannon/AP,Professional - AP,,,,1
24,Wilfredo Lee / AP file,Professional - file,,,,2
25,Wade Payne/AP,Professional - AP,,,,1
26,Sean Gardner/Getty Images,Professional - getty,,,,1
27,Jonathan Ferrey/Getty Images,Professional - getty,,,,1
28,Eric Risberg/AP,Professional - AP,,,,1
29,Alessandro Trovati / AP,Professional - AP,,,,1
30,Don Emmert/AFP/Getty Images,Professional - getty,,,,1
31,Carlos Osorio/AP,Professional - AP,,,,1
32,Joseph Prezioso/AFP/Getty Images,Professional - getty,,,,1
33,Elise Amendola/AP,Professional - AP,,,,3
34,Orange County Sheriff's Office,Professional - sherif,,,,2
35,Courtesy of Amanda Robinson,                              ,,,,3
36,Cliff Owen/AP,Professional - AP,,,,1
37,Cliff Owen / AP,Professional - AP,,,,2
38,hocus-focus / Getty Images,Professional - getty,,,,1
39,Taimy Alvarez / Sun Sentinel file,Professional - file,,,,1
40,Mike Fender,Professional - indystar,,,,1
41,Courtesy of Gary Bassing,                              ,,,,1
42,Osceola County Jail,Professional - jail,,,,2
43,J.C. Carnahan/Orlando Sentinel,Professional - orlando sentinel,,,,4
44,Orange County Jail,Professional - jail,,,,10
45,Stephen M. Dowell/Orlando Sentinel,Professional - orlando sentinel,,,,16
46,Cliff Hawkins/Getty Images,Professional - getty,,,,1
47,Sentinel file photo,Professional - file,,,,5
48,Stephen M. Dowell / Orlando Sentinel,Professional - orlando sentinel,,,,12
49,Patrick Connolly / Orlando Sentinel,Professional - orlando sentinel,,,,15
50,C-Span,Professional - c-span,,,,1
51,Clermont Police Department,Professional - police,,,,1
52,Drew Angerer/Getty Images,Professional - getty,,,,2
53,Colleen Hayes/HBO,Professional - hbo,,,,1
54,Dan Steinberg / AP,Professional - AP,,,,1
55,Highlands County Sheriff's Office,Professional - sherif,,,,3
56,AP /Brynn Anderson,Professional - ap,,,,1
57,WKMG,Professional - news,,,,4
58,Jim Carchidi /,                              ,,,,1
59,Steven Lemongello / Orlando Sentinel,Professional - orlando sentinel,,,,2
60,RomoloTavani / Getty Images/iStockphoto,Professional - getty,,,,2
