Index,Source,P/C,,,,Count
1,No Credit,                              ,,,,148
2,"""The Associated Press"",",Professional - press,,,,14
3,Greg Lovett/palmbeachpost.com,Professional - co.,,,,1
4,"[Photo courtesy of Seminole Ridge High]"",",                              ,,,,1
5,"[Photo courtesy of Seminole Ridhe High]"",",                              ,,,,1
6,"[Photo courtesy of Seminole Ridhe High]"",
						",                              ,,,,2
7,"[Photo courtesy of Seminole Ridge High]"",
						",                              ,,,,2
8,"[JAKE ELMAN/palmbeachpost.com]"",
						",Professional - co.,,,,1
9,"[JODIE WAGNER/palmbeachpost.com]"",
						",Professional - co.,,,,1
10,"[ALLEN EYESTONE/palmbeachpost.com]"",
						",Professional - co.,,,,49
11,"[ALLEN EYESTONE/palmbeachpost.com]"",",Professional - co.,,,,73
12,"[Doug Mills/The New York Times via AP, Pool]"",",Professional - ap,,,,2
13,"(Lannis Waters/The Palm Beach Post)"",",Professional - palm beach post,,,,3
14,"[Allen Eyestone /PalmBeachPost.com]"",",Professional - co.,,,,1
15,"[CHARLES TRAINOR JR./Miami Herald/TNS]"",",Professional - tns,,,,2
16,"[BRYNN ANDERSON/AP]"",",Professional - ap,,,,7
17,"[Photos courtesy of Miami Dolphins]"",",                              ,,,,3
18,"[Photos courtesy of Boston College Athletics]"",",Professional - athletics,,,,2
19,"[PHOTO BY SCOTT HALLERAN]"",",                              ,,,,2
20,"[CHRIS NELSEN/SPECIAL TO THE POST]"",",                              ,,,,4
21,"[JOSEPH FORZANO/palmbeachpost.com]"",",Professional - co.,,,,4
22,"[JOSEPH FORZANO/palmbeachpost.com]"",
						",Professional - co.,,,,6
23,"[MEGHAN MCCARTHY/palmbeachpost.com]"",",Professional - co.,,,,6
24,"[Photo provided by Palm Beach County Jail]"",",Professional - jail,,,,2
25,"[Photo provided by National Center for Missing and Exploited Children.]"",",Professional - center,,,,2
26,"[BILL INGRAM/palmbeachpost.com]"",",Professional - co.,,,,9
27,"[AP Photo/Alex Brandon]"",",Professional - ap,,,,3
28,"[AP Photo/Jacquelyn Martin, File]"",",Professional - file,,,,1
29,"(Richard Graulich / The Palm Beach Post)"",
						",Professional - palm beach post,,,,12
30,"(Bruce R. Bennett / The Palm Beach Post)"",
						",Professional - palm beach post,,,,8
31,"(Miami Herald)"",
						",Professional - miami herald,,,,7
32,"[ASANKA BRENDON RATNAYAKE/The New York Times]"",",Professional - times,,,,1
33,"[BRUCE R. BENNETT/palmbeachpost.com]"",",Professional - co.,,,,59
34,"[Provided by the Palm Beach County Sheriff's Office]"",
						",Professional - sherif,,,,8
35,"[BRUCE R. BENNETT/palmbeachpost.com]"",
						",Professional - co.,,,,28
36,"[Provided by the Palm Beach County Sheriff's Office]"",",Professional - sherif,,,,14
37,"[Family photo]"",
						",Citizen - family,,,,2
38,No Image,                              ,,,,26
39,"[Provided by West Palm Beach police]"",",Professional - police,,,,1
40,"[Photo by Scott Halleran]"",",                              ,,,,1
41,"[COURTESY OF BOX GALLERY]"",",                              ,,,,1
42,"[Photo provided.]"",",                              ,,,,1
43,"[GREG LOVETT/palmbeachpost.com]"",",Professional - co.,,,,23
44,"[Photo by PBSO]"",",                              ,,,,1
45,"[DAMON HIGGINS/palmbeachpost.com]"",",Professional - co.,,,,1
46,"[Provided]"",",                              ,,,,6
47,"[THOMAS CORDY/palmbeachpost.com]"",",Professional - co.,,,,8
48,"[RICHARD GRAULICH/palmbeachpost.com]"",",Professional - co.,,,,40
