Index,Source,P/C,,,,Count
1,Las Vegas Review-Journal,Professional - review-journal,,,,1028
2,Hunter Terry/Boulder City Review,Professional - city,,,,1
3,(Burlesque Hall of Fame),                              ,,,,1
4,(RTC traffic cam),                              ,,,,1
5,(Contributed),Citizen - contributed,,,,1
6,(New York City Police Department via AP),Professional - ap,,,,1
7,(Matthew Murphy),Professional - register,,,,1
8,(The Smith Center),Professional - center,,,,4
9,(Julieta Cervantes),Professional - times,,,,1
10,(Joan Marcus),Professional - center,,,,2
11,"(Evan Zimmerman, MurphyMade)",                              ,,,,1
12,No Credit,                              ,,,,66
13,"(AP Photo/Matt Rourke, File)",Professional - file,,,,3
14,(AP Photo/Steven Senne),Professional - ap,,,,9
15,(AP Photo/John Locher),Professional - ap,,,,4
16,(AP Photo/Eric Risberg),Professional - ap,,,,2
17,"(AP Photo/Jacquelyn Martin, File)",Professional - file,,,,1
18,(AP Photo/Carolyn Kaster),Professional - ap,,,,5
19,(AP Photo/ Evan Vucci),Professional - ap,,,,1
20,(AP Photo/J. Scott Applewhite),Professional - ap,,,,4
21,(Warner Bros. Pictures via AP),Professional - ap,,,,2
22,(Jess Miglio/Paramount Pictures via AP),Professional - ap,,,,1
23,(Getty Images),Professional - getty,,,,26
24,(Jordan Strauss/Universal Music Group via AP),Professional - ap,,,,3
25,(Nevada Highway Patrol),Professional - nevada,,,,8
26,(Courtesy),Citizen - family,,,,3
27,(AP Photo/Mark Humphrey),Professional - ap,,,,12
28,(AP Photo/Matt Slocum),Professional - ap,,,,8
29,(AP Photo/Nick Wass),Professional - ap,,,,4
30,(AP Photo/David Zalubowski),Professional - ap,,,,1
31,(AP Photo/Alex Brandon),Professional - ap,,,,3
32,(AP Photo/Gene J. Puskar),Professional - ap,,,,2
33,(Seth Wenig/AP),Professional - ap,,,,1
34,(AP Photo/Wilfredo Lee),Professional - ap,,,,14
35,(AP Photo/Andrew Harnik),Professional - ap,,,,4
36,(AP Photo/Felicia Fonseca),Professional - ap,,,,1
37,(Benji Shanahan/Arizona Daily Sun via AP),Professional - ap,,,,1
38,(Michael Quinn/National Park Service via AP),Professional - ap,,,,1
39,"(AP Photo/Matthew Putney, File)",Professional - file,,,,1
40,(AP Photo/Richard Vogel),Professional - ap,,,,1
41,(AP Photo/Don Ryan),Professional - ap,,,,1
42,(AP Photo/Rick Bowmer),Professional - ap,,,,1
43,(Max Michor/Review-Journal),Professional - review-journal,,,,1
44,(Erik Kabik Photography),                              ,,,,10
45,(tvsdesign/Design Las Vegas),                              ,,,,1
46,(Greg Jaklewicz/The Abilene Reporter-News via AP),Professional - ap,,,,2
47,(U.S. Fish & Wildlife Service),Professional - service,,,,1
48,(Deborah Wall/Review-Journal),Professional - review-journal,,,,1
49,(Jessica Terrones/Las Vegas Review Journal),Professional - review journal,,,,5
50,(NHP Southern Command via Twitter),Citizen - twitter,,,,1
51,The Vox Agency,                              ,,,,9
52,(Julia Ackley via AP),Professional - ap,,,,1
53,"(Kyle Vanderheide via AP, File)",Professional - file,,,,2
54,"(AP Photo/Alex Gallardo, File)",Professional - file,,,,2
55,(Kyle Vanderheide via AP),Professional - ap,,,,1
56,(AP Photo/Amy Taxin),Professional - ap,,,,1
57,(Paul Bersebach/The Orange County Register via AP),Professional - ap,,,,2
58,(Facebook),Citizen - facebook,,,,3
59,"(Jaclyn Martinez/Courtesy of AK Worldwide, Inc ©2019 AK Worldwide, Inc. All Rights Reserved)",Professional - inc.,,,,2
60,(Kevin Mazur/Getty Images for Park MGM Las Vegas),Professional - mgm,,,,10
61,"(Amy Harris/Invision/AP, File)",Professional - file,,,,1
62,"(John Salangsang/Invision/AP, File)",Professional - file,,,,1
63,(Robb Cohen/Invision/AP),Professional - ap,,,,1
64,"(Richard Shotwell/Invision/AP, File)",Professional - file,,,,1
65,"(Katie Darby/Invision/AP, File)",Professional - file,,,,1
66,(AP Photo/Keystone/Steffen Schmidt),Professional - ap,,,,3
67,"(AP Photo/Christopher Barth, File)",Professional - file,,,,1
68,(Photo by Jack Plunkett/Invision/AP),Professional - ap,,,,1
69,(AP Photo/Matt York),Professional - ap,,,,2
70,(Dunkin' Donuts),                              ,,,,1
71,"(Photo by Evan Agostini/Invision/AP, File)",Professional - file,,,,2
72,(Amore Taste of Chicago),Professional - chicago,,,,1
73,(Naked City Pizza),Professional - city,,,,1
74,Credit: Pop Up Pizza,                              ,,,,1
75,(Bill Hughes/Real Estate Millions),Professional - state,,,,9
76,(Darin Oswald/Idaho Statesman via AP),Professional - ap,,,,11
77,(Tim Kelly/Las Vegas Track Club),                              ,,,,7
78,(AP Photo/Paul Sancya),Professional - ap,,,,20
79,(Matt York/AP),Professional - ap,,,,1
80,(NDOT Traffic Cam),                              ,,,,1
81,(Nevada Department of Transportation),Professional - nevada,,,,3
82,(Freeport Police Department via AP),Professional - ap,,,,2
83,(Metropolitan Police Department),Professional - police,,,,3
84,(Photo by Chris Pizzello/Invision/AP),Professional - ap,,,,1
85,(Discovery Children's Museum),Professional - museum,,,,2
86,(John Schlia Photography),                              ,,,,3
87,(Dam Short Film Festival),Professional - film,,,,1
88,(Vanessa Stump),                              ,,,,1
89,(Steven Matview/Facebook),Citizen - facebook,,,,1
90,(Wilbourne family collection),Citizen - family,,,,4
91,Tricia Wilbourne,                              ,,,,1
92,John Wilbourne,                              ,,,,1
93,(Joel Keeler via AP),Professional - ap,,,,5
94,"(AP Photo/Nick Wass, File)",Professional - file,,,,3
95,(Photo by Eric Jamison/Invision/AP),Professional - ap,,,,2
96,(Bucks County District Attorney's Office/The Philadelphia Inquirer via AP),Professional - ap,,,,1
97,(Tom Donoghue),                              ,,,,3
98,(Caverton/Facebook),Citizen - facebook,,,,1
99,(CorrectionsUSA),Professional - correctionsusa,,,,1
100,(Kirsty Wigglesworth/AP file),Professional - file,,,,1
101,(London Zoo via AP),Professional - ap,,,,2
102,(Courtesy Dan Holmgren),                              ,,,,1
103,(AP Photo/Jeff Chiu),Professional - ap,,,,9
104,(U.S. Marshals Service),Professional - service,,,,1
105,(Las Vegas Review-Jouranl),                              ,,,,1
106,(AP Photo/Isaac Brekken),Professional - ap,,,,1
107,(AP Photo/Marcio Jose Sanchez),Professional - ap,,,,8
108,(AP Photo/Karl B DeBlaker),Professional - ap,,,,12
109,(Evan Vucci/AP),Professional - ap,,,,1
110,(City of Las Vegas),Professional - city,,,,5
