Index,Source,P/C,,,,Count
1,Screen grab of KCAL9 news video,Professional - news,,,,1
2,David Middlecampdmiddlecamp@thetribunenews.com,Professional - co.,,,,3
3,Daniel Kimdkim@sacbee.com,Professional - co.,,,,6
4,No Image,                              ,,,,74
5,Courtesy of Ronny Cobb,                              ,,,,1
6,Kathy WillensThe Associated Press,Professional - press,,,,1
7,No Credit,                              ,,,,51
8,David Bustamante,                              ,,,,1
9,Facebook,Citizen - facebook,,,,4
10,Sacramento Bee file,Professional - file,,,,3
11,Jae C. Hong   AP,Professional - AP,,,,2
12,Brian Baer   Special to The Sacramento Bee,Professional - sacramento bee,,,,1
13,Andres Leighton   AP,Professional - AP,,,,1
14,Rick Scuteri   AP,Professional - AP,,,,1
15,Michael WoodsAP,Professional - AP,,,,1
16,(right) posing for a Golden 1 Center fan moment with the Kings’ Jerry Reynolds in December 2018.,Professional - center,,,,1
17,John Walkerjwalker@fresnobee.com,Professional - co.,,,,1
18,Britta PedersenAP,Professional - AP,,,,1
19,Paul Kitagaki Jr.pkitagaki@sacbee.com,Professional - co.,,,,11
20,Fresno Bee file,Professional - file,,,,2
21,José Luis Villegasjvillegas@sacbee.com,Professional - co.,,,,7
22,Noah's Bagels,                              ,,,,1
23,Broadway Sacramento,Professional - broadway,,,,1
24,Sacramento State,Professional - state,,,,2
25,CRAIG KOHLRUSS   ckohlruss@fresnobee.com,Professional - co.,,,,12
26,Photo courtesy of Josephine Hernandez,                              ,,,,1
27,Sacramento County Sheriff’s Department,Professional - sherif,,,,3
28,Hector Amezcuahamezcua@sacbee.com,Professional - co.,,,,21
29,"California Department of Fish and Wildlife, via APAP",Professional - AP,,,,1
30,janderson@sacbee.com,Professional - co.,,,,1
31,Yolo County Sheriff's Office,Professional - sherif,,,,1
32,Courtesy Jennifer Wells,                              ,,,,1
33,Davis Police Department,Professional - police,,,,4
34,Randall Bentonrbenton@sacbee.com,Professional - co.,,,,3
35,Deon Roberts,                              ,,,,1
36,Lezlie Sterlinglsterling@sacbee.com,Professional - co.,,,,5
37,Screenshot via Facebook,Citizen - facebook,,,,1
38,Sacramento Fire Department,Professional - department,,,,1
39,Kaye Publicity,                              ,,,,1
40,Nick Sayers Photography,                              ,,,,1
41,Santa Cruz County Jail,Professional - jail,,,,1
42,AP,Professional - AP,,,,18
43,Getty Images/iStockphoto,Professional - getty,,,,2
44,pkitagaki@sacbee.com,Professional - co.,,,,3
45,Irvine Police Department,Professional - police,,,,1
46,mocner@miamiherald.com,Professional - co.,,,,1
47,Deke Farrowjfarrow@modbee.com,Professional - co.,,,,3
48,Randy PenchSacramento Bee file,Professional - file,,,,2
49,Noozhawk.com,Professional - co.,,,,1
50,Alex GoodlettAP,Professional - AP,,,,1
51,Stanislaus County Sheriff's Department,Professional - sherif,,,,4
52,Deke Farrow   jfarrow@modbee.com,Professional - co.,,,,1
53,Vicki Behringer,                              ,,,,1
54,Rick ScuteriAP,Professional - AP,,,,2
55,Rosalio Ahumadarahumada@modbee.com,Professional - co.,,,,2
56,KRIV   Video screengrab,                              ,,,,1
57,Hannah Wileyhwiley@sacbee.com,Professional - co.,,,,1
58,Brian BaerSpecial to The Sacramento Bee,Professional - sacramento bee,,,,1
59,Placer County Sheriff,Professional - sherif,,,,1
60,Screenshot,Professional - co.,,,,1
61,Rancho Cucamonga Police Department,Professional - police,,,,1
62,California Highway Patrol,Professional - california,,,,1
63,Courtesy photo,Professional - police,,,,1
64,Duane BurlesonAP,Professional - AP,,,,1
65,Screengrab/Fox Business,Professional - fox,,,,1
66,Jessica HillAP,Professional - AP,,,,1
67,Sacramento Bee file photo,Professional - file,,,,1
68,Credit: Lorie Leilani Shelley,                              ,,,,1
69,ThinkstockGetty Images,Professional - getty,,,,1
70,Sacramento Police Department,Professional - police,,,,2
71,"(removed by the company Feb. 5, 2019) shows part of a Nazi swastika and part of a postage stamp that features Adolf Hitler’s face with the German word “Reich.”",Professional - company,,,,1
72,CRAIG KOHLRUSSckohlruss@fresnobee.com,Professional - co.,,,,2
73,Upper Darby Police,Professional - police,,,,1
74,Oconee County Detention Center,Professional - county,,,,1
75,Doug MillsAP,Professional - AP,,,,1
76,Screen grab of Susan Nelson's Facebook post,Citizen - facebook,,,,1
77,Associated Press file,Professional - file,,,,3
78,Stephen LamGetty Images,Professional - getty,,,,1
79,Consumer Product Safety Commission,Professional - ap,,,,1
80,U.S. Consumer Product Safety Commission,                              ,,,,1
81,Instagram/Tyra Banks,Citizen - instagram,,,,1
82,Facebook video screengrab/Shania Accius,Citizen - facebook,,,,1
83,Screen grab from KTLA,Professional - ktla,,,,1
84,Markus SchreiberAP file photo,Professional - file,,,,1
85,Jeff ChiuAP,Professional - AP,,,,1
86,Photo from Colorado Parks and Wildlife,                              ,,,,1
87,Elk Grove Police Department,Professional - police,,,,2
88,Screenshot from Instagram,Citizen - instagram,,,,1
89,Shock Ink   Courtesy,                              ,,,,1
90,Invision/AP,Professional - AP,,,,1
91,Vincent Johnson,                              ,,,,1
92,Neal Martin,                              ,,,,1
93,Claire Frost,                              ,,,,1
94,Tecla Shaffer,                              ,,,,1
95,Facebook screen grab,Citizen - facebook,,,,1
96,jvillegas@sacbee.com,Professional - co.,,,,2
97,CRAIG KOHLRUSSFresno Bee file,Professional - file,,,,1
98,Siskiyou County Sheriff's Office,Professional - sherif,,,,2
99,Joe Johnstonjjohnston@thetribunenews.com,Professional - co.,,,,1
100,The Associated Press,Professional - press,,,,2
101,Carolyn Kaster   AP,Professional - AP,,,,1
102,Mark HumphreyAP,Professional - AP,,,,1
103,Santa Rosa Police Department,Professional - police,,,,1
104,Doug MillsThe New York Times,Professional - times,,,,1
105,Autumn Payne,Professional - ap,,,,2
106,Brownstein Hyatt Farber Schreck,                              ,,,,1
107,Curtis Jermany -MooD-ology,                              ,,,,1
108,LAPD,                              ,,,,1
109,Pinellas County Jail,Professional - jail,,,,1
110,Nevada County Sheriff's Office,Professional - sherif,,,,1
111,The Sacramento Bee,Professional - sacramento bee,,,,1
112,Screen grab from Twitter,Citizen - twitter,,,,1
113,Chris Pizzello   Chris Pizzello/Invision/AP,Professional - AP,,,,1
114,David RannsTelegram-Tribune,Professional - tribune,,,,1
115,"(Twitter, Rams Cheerleaders)",Citizen - twitter,,,,1
116,Matt SaylesMatt Sayles/Invision/AP,Professional - AP,,,,1
117,"(YouTube screengrab/Associated Press) Martinez, Matthew 

Martinez, Matthew",Professional - press,,,,2
118,David J. PhillipAP,Professional - AP,,,,1
119,Jae C. HongAP,Professional - AP,,,,1
120,hamezcua@sacbee.com,Professional - co.,,,,1
121,Gregory BullAP,Professional - AP,,,,1
122,Courtesy Rock and Roll Hall of Fame,                              ,,,,1
123,Jim Shea,                              ,,,,2
124,Amy SussmanAP,Professional - AP,,,,1
125,Vince BucciGetty Images,Professional - getty,,,,1
126,Kelvin KuoAP,Professional - AP,,,,1
127,Chris Bidermancbiderman@sacbee.com,Professional - co.,,,,1
128,Matt YorkAP,Professional - AP,,,,2
129,Skip ShumanSacramento Bee file,Professional - file,,,,1
130,Courtesy of the California State Railroad Museum,Professional - museum,,,,2
131,Ben MargotAP,Professional - AP,,,,1
132,Paul Kitagaki Jr.   pkitagaki@sacbee.com,Professional - co.,,,,2
133,Fred GladdisDavis (Calif.) Enterprise,                              ,,,,1
134,Twitter/KUIU,Citizen - twitter,,,,2
135,Special to The Bee,Professional - sherif,,,,3
136,TULARE COUNTY SHERIFF'S OFFICESpecial to The Bee,Professional - sherif,,,,1
137,ckohlruss@fresnobee.com,Professional - co.,,,,1
138,JOHN WALKERjwalker@fresnobee.com,Professional - co.,,,,2
139,Rich PedroncelliAP,Professional - AP,,,,4
140,Courtesy Ian Heimbuch,                              ,,,,1
141,San Mateo County District Attorney's Office,Professional - county,,,,3
142,San Mateo County Jail,Professional - jail,,,,1
143,Good Day Sacramento,                              ,,,,1
144,ASSOCIATED PRESS,Professional - press,,,,1
145,Karen Goff,                              ,,,,1
146,"(and heartache) from enigmatic Sacramento native Juli Lydell. 

Pooneh Ghana",                              ,,,,1
147,Deanna Kerr,                              ,,,,1
148,Darcey Self,                              ,,,,1
149,111th Aerial Photography Squadro111th Aerial Photography Squadron,                              ,,,,1
150,CRAIG KOHLRUSSThe Fresno Bee file,Professional - file,,,,1
151,Donald Baldwin   Courtesy of California Department of Fish and Wildlife,Professional - california,,,,1
152,Joe Johnston   jjohnston@thetribunenews.com,Professional - co.,,,,2
153,Courtesy of City of San Luis Obispo,Professional - city,,,,1
154,Dave HerasimtschukCourtesy of U.S. Fish and Wildlife Services.,Professional - service,,,,1
155,David J. Nealdneal@MiamiHerald.com,Professional - co.,,,,1
156,FDA,                              ,,,,5
157,ERIC PAUL ZAMORAThe Fresno Bee file,Professional - file,,,,1
158,Getty ImagesFile,Professional - getty,,,,1
