Index,Source,P/C,,,,Count
1,No Image,                              ,,,,124
2,Gary Robbins/Union-Tribune,Professional - tribune,,,,2
3,Getty Images,Professional - getty,,,,7
4,AFP/Getty Images,Professional - getty,,,,1
5,New York Times,Professional - times,,,,1
6,No Credit,                              ,,,,42
7,Associated Press,Professional - press,,,,4
8,John Gibbins / San Diego Union-Tribune,Professional - tribune,,,,14
9,Union-Tribune file photo by Charlie Neuman,Professional - file,,,,2
10,Alex Brandon / Associated Press,Professional - press,,,,1
11,Marcus Yam / Los Angeles Times,Professional - times,,,,2
12,Samuel Goldwyn Films,                              ,,,,1
13,J. Harry Jones / San Diego Union-Tribune,Professional - tribune,,,,1
14,Andrew Roe,                              ,,,,3
15,Nelvin C. Cepeda / San Diego Union-Tribune,Professional - tribune,,,,15
16,Jim Mone/AP,Professional - AP,,,,1
17,File photo,Professional - file,,,,21
18,courtesy photo,Professional - police,,,,1
19,"AFP, AP, AP, AP, EPA",Professional - ap,,,,1
20,Pool / Getty Images,Professional - getty,,,,1
21,Bryce Miller/San Diego Union-Tribune,Professional - tribune,,,,1
22,Sgt. Lani Pascual/USNORTHCOM,                              ,,,,1
23,Ulises Ruiz/Getty Images,Professional - getty,,,,1
24,Courtesy of Imperial County Sheriff's Office,Professional - sherif,,,,1
25,Howard Lipin/U-T,                              ,,,,2
26,John Gibbins/Union-Tribune,Professional - tribune,,,,3
27,Bill Wechter / San Diego Union-Tribune,Professional - tribune,,,,1
28,AP,Professional - AP,,,,10
29,Hayne Palmour IV / San Diego Union-Tribune,Professional - tribune,,,,16
30,Union-Tribune photo Illustration by Gloria Orbegozo,Professional - tribune,,,,1
31,Photo by Frederic J. BROWN / AFP,                              ,,,,1
32,Photo by Lester Cohen / WireImage,Professional - wireimage,,,,1
33,Bill Wechter,Professional - tribune,,,,4
34,John Bazemore / AP,Professional - AP,,,,1
35,Marcio Jose Sanchez / AP,Professional - AP,,,,1
36,Chadd Cady,Professional - tribune,,,,22
37,K.C. Alfred / San Diego Union-Tribune,Professional - tribune,,,,13
38,Courtesy photo by Caroline Bittencourt,                              ,,,,1
39,Photo by  Valerie Macon / AFP / Getty Images,Professional - getty,,,,1
40,Photo by Valerie MACON / AFP / Getty Images,Professional - getty,,,,2
41,Joseph Prezioso/AFP/Getty Images,Professional - getty,,,,1
42,Elise Amendola/AP,Professional - AP,,,,1
43,David Montero / Los Angeles Times,Professional - times,,,,2
44,Los Angeles Times,Professional - times,,,,4
45,Fred Dufour / AFP/Getty Images,Professional - getty,,,,1
46,Carolyn Kaster/AP,Professional - AP,,,,1
47,John J. Kim / TNS,Professional - tns,,,,1
48,Charlie Neuman / U-T FILE,Professional - file,,,,2
49,K.C. Alfred / U-T File,Professional - file,,,,1
50,Bill Wechter / U-T FILE,Professional - file,,,,1
51,Courtesy of San Diego County Crime Stoppers,Professional - county,,,,2
52,Courtesy of OnScene TV,                              ,,,,4
53,Photo courtesy of John M. Glionna,                              ,,,,1
54,Eduardo Contreras/Union,                              ,,,,1
55,Tom R. Smedes / AP,Professional - AP,,,,1
56,Bradley J. Fikes,                              ,,,,1
57,Courtesy Photo / U.S. Navy,Professional - navy,,,,1
58,Carolyn Cole / Los Angeles Times,Professional - times,,,,6
59,"AP Photo/John Raoux, File",Professional - file,,,,1
60,Hayne Palmour IV/U-T,                              ,,,,1
61,Denis Poroy / AP,Professional - AP,,,,1
62,Angela Weiss AFP/Getty Images,Professional - getty,,,,1
63,Feadship,                              ,,,,1
64,Sam Hodgson / San Diego Union-Tribune,Professional - tribune,,,,2
65,U-T File Photo,Professional - file,,,,1
66,Joshua Emerson Smith / The San Diego Union-Tribune,Professional - tribune,,,,2
67,Matt Sayles/Invision/AP,Professional - AP,,,,1
68,Drew Angerer / Getty Images,Professional - getty,,,,1
69,Gossamer Bio,                              ,,,,1
70,Sam Hodgson / U-T,                              ,,,,1
71,Kirsty Wigglesworth / Associated Press,Professional - press,,,,1
72,AP Photo/Steve Helber,Professional - ap,,,,1
73,Courtesy photo,Professional - police,,,,36
74,Tom Pennington / Getty Images,Professional - getty,,,,1
75,Gregory Bull / AP,Professional - AP,,,,4
76,Chadd Cady / San Diego Union-Tribune,Professional - tribune,,,,1
77,HPWREN/UCSD,Professional - ucsd,,,,2
78,Joni Kabana,                              ,,,,1
79,Courtesy Old Globe,                              ,,,,1
80,Howard Lipin / U-T,                              ,,,,1
81,Leo Correa / Associated Press,Professional - press,,,,1
82,Renato Spyrro / Associated Press,Professional - press,,,,1
83,Graham Barclay / For The Times,Professional - times,,,,1
84,Columbia Pictures,Professional - columbia,,,,1
85,Jon Elswick / Associated Press,Professional - press,,,,1
86,J. Scott Applewhite/AP,Professional - AP,,,,1
87,Andrew Harnik/AP,Professional - AP,,,,1
88,Jon Elswick / AP,Professional - AP,,,,1
89,John Gastaldo photo,                              ,,,,1
90,K.C. Alfred / The San Diego Union-Tribune,Professional - tribune,,,,1
91,Chadd Cady/U-T,                              ,,,,1
92,Photo by Karli Cadel,                              ,,,,1
93,Photo by Anna Wloch,                              ,,,,1
94,Lake Elsinore Storm,                              ,,,,1
95,Jeff Nycz / Mid-South Images,                              ,,,,1
96,Misael Virgen /,                              ,,,,1
